Dwight| Gotta clear out these file cabinets people, a lot of these are dead accounts. â€œScranton Mimeograph Corp?â€ I dont think were doing business with them any time soon. Thats odd. Â A letter from Robert Dunder. â€œA valuable artifact has come into my possession. I have hidden it until such time as a person of strong intellect may safely recover it. This golden chalice is of immeasurable historical and religious significance.â€ The Holy Grail.
Pam|  Did you send Dwight on a quest for the Holy Grail?
Jim| I think Im a little too busy these days to s---  Oh ,my God. I did send Dwight on a quest for the Holy Grail.
Jim| The Dunder Code! I completely forgot about that prank. That had to be like six or seven years ago. Stayed late every night for a month. Had a lot more free time back then.
Kevin| I dont get it.
Dwight| Aha! A lightbulb.
Kevin| A lightbul--
Dwight| A lightbulb. Okay. Okay.  Invisible ink.
Kevin| Whoa.
Dwight| â€œHigher than numbers go.â€ The ceiling above accounting!
Angela| Dwight! Down, Dwight! Dwight!
Jim|  Man, I wish I was there to see his face when he gets to the end ...
Jim| ...and finds the... fake grail? No grail?
Pam| You dont remember?
Jim| I dont.
Dwight| An â€œX.â€
Oscar| Annex. It must open something in the annex.
Dwight| Oh.
Kevin| Whoa.
Dwight| â€œSedes introiti.â€ Seat of entrance.
Dwight|
Pete| What?
Oscar| What?
Kevin| Thats a flush.
All|
All| The warehouse.
Pam|  Theres nothing down here.
Jim| Oh, I expected more from young Halpert.
Dwight| Lets just forget it. Forget it.
Nellie| So, how are we getting on with our grand social media initiative?
Erin| Well, we created a fake profile for a really cool guy named Derek McBlack.
Nellie| Wow.
Erin| Its just Pete in sunglasses.
Nellie| Oh.
Erin| And then we had him â€œLikeâ€ Dunder Mifflin.
Pete| Then we created a bunch of fake friends for Derek, and we had all of them â€œLikeâ€ Dereks â€œLikes.â€
Erin| So far, were only popular with imaginary people, but we think this is the start of something big.
Nellie| You two are geniuses. And I am a genius putting you two together.
Erin| All right.
Erin| Pete and I work well together -- not that theres anything special about Pete. It could be any guy... or girl-- not that Im into girls. Not that Im into Pete. Ugh! What was the question?
Jim| Hey.
Co-worker| Hey Jim. Peter Rowley at Bridgeport Capital requested a meeting at lunch.
Jim| Okay. Can we keep it on the early side, though? I got that thing in Scranton later.
Co-worker 2| Uh sure. No problem.
