Pam| Hey Brian, you got a sec?
Brian| Yeah, hold on a sec.
Pam| I feel awful.
Brian| Its fine. It was my first slip up in nine years of miking you. 
Erin|  Dunder Mifflin, this is Erin.
Pam| Well, thanks for being a good friend.
Brian| Sure, anytime. Uh, how about you and Jim? Everything squared away?
Pam| Yeah, mostly.
Erin| Pam, phone call.
Pam| Um, hey, say Hi to Alyssa.
Brian| Will do.
Pam| Okay. Thank you.
Brian| Sure.
Meredith| Hey, boom guy. 
Brian| Oh, hey Meredith.
Meredith| When are you gonna boom me?
Brian| Uh, listen, theyre cracking down on us talking to the subjects. Its a lame rule, but, you know, I wanna I, Ill see you later.
Meredith| Got it.
Clark| Hey, so I hear youre bringing in some people to interview for the sales job? 
Dwight| Thats right, a couple of old friends. Ballers only. Must be this cool to ride. 
Clark| Well, uh see, you raised it.
Dwight| Oh, did I? Oh, yes, I did. 
Dwight| Wallace is letting me hire a junior sales associate to sit at Jims desk while hes away in Philly. Finally Ill have someone at my desk clump who gets me. Its like, â€œReally, Jim? You dont understand the difference between a slaughterhouse and a rendering plant? Uh, remind me not to lend you any dead cows or horses.â€ Wow. 
Clark| You know what, man? I deserve this job. 
Dwight| Mm-hmm. 
Clark| I scored Stone and Son Suit Warehouse with you, and God knows, to get the Scranton White Pages with Jan, I went above and beyond and under. 
Dwight| You know what? Youre gonna get your interview, okay? I know that youre going head-to-head against some real superstars, but you got a really good chance. 
Dwight| Clark has no chance. I mean, hes up against my buddy Rolf, for Gods sake. Guy goes fishing with hand grenades. And Trevor â€“ hell make you laugh so hard, youll puke your pants. 
Clark| This sucks, you know? You put in 12 grueling weeks at a company, and what do they do? They make you compete for a promotion, like an animal. You know, I thought this was an office, not the Thunderdome. 
Dwight| Big changes coming to the old desk clump. No longer a Pam-Jim alliance against Dwight. Now it is Dwight and a friend axis against Pam. 
Jim| You couldve just called that an alliance too, right?
Dwight| I chose my words very carefully. 
Jim| Things are a little delicate with me and Pam right now. And if my working in Philly is gonna end up doubling the Dwight in her life, thats only gonna make things worse. 
Clark|  You interviewing for the sales job too?
Rolf| No. Youre interviewing for it. Im getting it. 
Clark| Well, I wouldnt be so sure about that. I mean, Ive been working here 12 weeks. Thats a full season of Homeland. A ton of things can happen in that amount of time, as weve seen. 
Rolf| Im Rolf. Rolf Ahl.
Clark| Rolf Ahl? Sounds kinda like Roald Dahl. 
Rolf| Go to hell. 
Clark| There he is. 
Dwight| Hey. Come on, buddy. Lets do this. Sorry, Rolf goes first.  You dont compare. When youre with the R-O-L-F, youre literally Rolling on the Laughing Floor. 
Rolf| Nice.
Dwight| Rolf is my best friend, and he is the man. Cool, calm, and collected 24/7. Just try and rattle Rolf. I dare you. Such a sweet guy. 
Pam| When are you talking to David Wallace?
Jim| Im talking to him this afternoon, but dont get your hopes up. 
Pam| Too late. My hopes are up. 
