Nellie| Have you seen Darryl?
Erin| Hes around here somewhere.
Nellie| Mmm. 
Erin| Yeah, Darryls here. So is Santa Claus. Its just a regular Thursday.  Neither guy is here. And, its Friday. Welcome to me and Darryls world of lies.
Erin| Nobody knows it yet, but Darryl already started working in Philly. So now, he has to sneak out of here like the sneakiest little sneaky-sneak you ever saw. And Im his helper. Its so fun.
Erin|  Darryl. Meet... bear... ull.
Darryl| How much did you pay for that?
Erin| Nothing. Won him at the carnival. Spent a ton on tickets, though. Drive safe.
Darryl| Everybody knows I go to Philly. Ive just been using sick days I saved up. But, Erin was so excited about being sneaky-sneaks, I went along with it.
Erin|  Ha, ha, ha! Darryl, you are too much!  That guys hilarious. Hes here today. 
Pam| Ive really been putting in the hours on this mural. And my boss is totally OK with it, because hes in the Bahamas and has no clue what anybody is doing. Im usually very self-critical. I hate what I paint. But, I dont know, this time I feel like its, um, its really coming together...  Oh my god!  Wha? Youve gotta be kidding me! What it... are those... are those butts?  Huh? No way. No way!
Angela| Excuse me, everyone. Is it OK if I leave early from work today? Its Phillips first birthday and the senator and I are hosting a party at our house. 
Erin| Aw, cute! So therell be a bunch of kids.
Angela| No. No children. Our house is not kid-friendly. Most of our furniture is sharp. Also, ew. It will mostly be campaign donors.
Kevin| Angela, I am prepared to donate a whopping...  8 dollars to Lipton For America to have an invitation... 
Angela| No, no, please. You know, actually, none of you could even really make the cut for this thing. Which I am so sad about.
Oscar|  Angela. Youre going to find out, so I thought Id let you know that, uh, Robert invited me too.
Angela| What?
Oscar| He said he wanted me there for support.
Angela| Im his! His... wife. 
Oscar| Angelas husband and I are in love. But, as a politician in this town, you still need the conventional blonde wife on your lawn signs. He is risking everything to have me there today.  Me.
Angela|  We agreed that you wouldnt be seen with him in public. Its humiliating for me. Well, if you get to bring a stud, maybe I do too.
Jim|  Hey.
Darryl| Hey.
Jim| We are splitting a sublet on a place near Philly.
Darryl| Just a couple of grown, sexy-ass roommates.
Jim| And, as much as I miss Pam and the kids, its, uh, kinda nice to live the bachelor life again. You know, let your hair down.
Darryl| Jim was nice enough to give me his bedroom.
Jim| Im couching it!
Darryl| Which usually means theres clothes all over the living room.
Jim| And this dude labels his food. Hes the clean one. And, Im the messy one. How much fun is this?
Darryl| I love Jim. I love that he hooked me up with a job. Its just, he uses old t-shirts as wash rags. He doesnt wash his dishes. Apparently, they need to  soak... He hooked me up with a job.
Pam|  Attention, everyone. Can I have your attention, please? Yeah, I dont know everybodys name down here, but whoever did this will you please raise your hand.  Hello? This is not over. OK? I will stay up here all day if I have to. Is that what you want?  Yeah, I will also come down if I want to. Its my choice.
Pam| I dont demand justice often. Im not like Angela, who calls a lawyer every time someone watches a YouTube video of animals doing it. But, someone should get fired over this, right? Vals no help. Andys gone. Jims out. I just feel like Im on my own here.  I mean, OK, not completely on my own. But, in terms of people who can do something. Thank you, Brian.
Jim| Hey. So, Wade wants to send people to the Sloan conference. We gotta compile a list of our target clients.
Darryl| Already on it. I ordered them by their Google trend ranking so we know who to hit first.
Jim|  Who is this guy? We are killing it.      
Darryl| Yes sir. 
Jim| Yeah!
Pam|  Conference room. Everybody. Now!
Dwight| You dont have the clearance to call a conference room meeting.
Pam| Yes, but David Wallace does. And he asked me to gather everyone to talk about stuff... Thats gonna be revealed once were in the conference room for the meeting.
Dwight| Youre telling me, David Wallace asked you to call a super secret, classified conference room meeting?
Pam| Yeah.
Dwight| Lets go everyone. Super secret, classified conference room meeting, now!
Pam|  I have terrible news. Someone defaced my mural. They painted all over it. 
Erin| I thought thats what you were doing.
Pam| Yeah, but this is different.
Erin| Oh. They used worse paint than your paint?
