Pam|  Hey. I feel so lucky were in the same city for Valentines Day.
Jim| Its like magic. Or, its like me getting on my hands and knees and begging my partners to switch a Tuesday for a Thursday.
Pam|  Alakazam!
Jim| By the way, they do need an extra day next week.
Pam| And, poof! He disappears. 
Erin|  Hey! Wanna play hookey today?
Pete| Oh, maybe. What do you have in mind?
Erin| We can do anything you want.
Erin| I really wanna have fun today because tomorrow is going to be a nightmare. Andys coming back from his stupid, dumb boat trip. Hes been rude. Hes been selfish. I think hes a big jerk. And Im breaking up with him. Bam, Andy! How do you like me now?... I hope as a friend.
Pete| Erin says shes gonna break up with Andy, but Im not sure. Hes coming back tomorrow and surprise, today, she wants to do whatever Id like. You know, when I was a kid, we had a dog who go real sick and we had to send him to a farm. And on his last day, we did everything he loved.
Erin|  Wanna play catch in the parking lot?
Pete|  Sure. 
Erin| Great.
Pete| Ill get my coat.
Erin| Perfect. 
Dwight|  Come in.
Dwight|  Andy, hi. I just made another huge sale for the company that you manage. I need you to authorize that expense report and sign off on that contract.
Dwight|  I would be happy to. It would be my pleasure, Mr. Schrute. Rick-a-dick-doo, rick-a-dick-dick-dick, rick-a-dick-doo.
Dwight| I really like Andy these days. Hes pretend and he does exactly as I tell him to. All that will change when real Andy comes back tomorrow.  Unless he comes back as pretend Dwight. In which case, were in for an epic, confusing showdown.
Kevin| Andy left a carton of milk in the fridge. So, Ive been sneaking a little bit every day for the last three months. Its been yummy. But now, Andys coming back. So, I guess its goodbye chunky, lemon milk.
Kevin| OK, Ill say it. I wish Andy had stayed on his trip.
Nellie| I say we all have one last fun boss-less day.
Meredith| Yeah, lets get some booze and some cocaine and just blow it out. No consequences.
Phyllis| Or the mini mall. They have all these Valentine Day deals. You can get 20% off if you come in with your husband or your  boyfriend. But, I mean, if you dont have one of those you can probably just bring whoever it is you use to kill your loneliness.
Stanley| Phil, Ill pretend to be your husband. Im already sick of you, so itll seem realistic.
Phyllis| Oh...
Angela| They have a nail salon there where I get my feet detailed.  They use a watch repair kit.
Kevin|  Ew! Ill be your foot buddy.
Nellie| Everyone, it is our last day here with no manager. I say we go to the mini mall. Clark, you will be my fake boyfriend so I can get the discount.
Clark| Its what I do. 
Oscar| Darryl, everyone seems to be pairing off. Do you want to pretend to be a couple so we get the...
Darryl| No... yes, yes. Why wouldnt I... wanna pretend to be gay? Got no problem with that.
Oscar| All right, itll be easy. Dont be nervous, just follow my...
