David Wallace| ...No, you lied to me Andy. You pretended to be in this office for three months and you were sailing on your boat!
Andy| I resent that. I, I never lied to you.
David| Really?  â€œHey David, all is good in Scranton PA.â€
Andy| And all was good in Scranton PA that day.
David| â€œBy the way, Oscar says hiâ€
Andy| Oscar says â€œhiâ€ all the time. He says all kinds of greetings. â€œHiâ€ â€œHelloâ€ â€œHolaâ€ Youre telling me youve never heard Oscar say â€œhiâ€?
David| Andy.
Andy| But youre calling me a liar.
David| Andy!
Andy| By the way, that reminds me, I want to ask you about some of the lies youve been telling lately.
David| Watch it Andy!
Andy| Oh, here we go, January seventh 2013.  â€œHey Andy, alls well. Been meaning to make it down there but my wifes sick.â€ Well, which is it?! Is all well or is your wife sick?! BUSTED!
David| My wife?
Andy| This has been a really tough time.
David| Yeah?
Andy| Yeah.
David| Has it?
Andy| Erin just dumped me and I cant remember any of the aha moments I had on the boat, and I know it sounds weird to say but I really miss my beard.
David| Shh.
Andy| It was like a security blan-
David| Andy.
Andy| -ket
David| Shh. Im not gonna fire you.
Andy| Youre not?
David| No.
Andy| Thats awesome.
David| I wouldnt own the company if it wasnt for you. So...I owe you that.
Andy| David, Ill be there for you. These five words I swear to you. When you breathe, I want to be here for you. Ill be there for you. Thats a poem by J.B. Jovi. I want you to have it.
David| We are even...now. Understand? Got it?
Andy| Crystal.
David| You are on very- Hey, very thin ice.
Andy| Vanilla.  Vanilla Ice. It was a band.
Andy| Good morning.
Erin| Good morning.
Andy| And how are you on this fine- 
Andy|  Ok, we ready?  Dont use that part. Last week, Erin told me that our relationship would be proceeding without me. Now I have to see her everyday at work. Which is...brutal. When people say office relationships are a good idea, they never talk about what might happen if you break up.
Andy|  Ahhh! Oooooh! ahh
Pam| He sounds like a wounded animal.
Stanley| Shouldve put him out of his misery and just fired her.
Phyllis| I cant be around sad people, it makes me sad.
Stanley| Im the same way with horny people.
Pam| Ok. 
Erin| Yes. Pete and I have started seeing each other and Andy still doesnt know. We thought that keeping it secret was more considerate to him. And hot for us. I mean I saw Petes butt. Its sick.
Pam|  Oh thats mine! Um, Ill just, Ill get it out of the way for you.
Pam| Jim set up a job interview for me today in Philly. Its um, with a real estate company, which is a great fit for me because I live in a house and I know what a bathroom is.  Im sorry, I am just very nervous because honestly this is all moving a lot faster than I expected. And, and because my resume can fit on a post-it note.
Dwight|  No, dont just let her eat the grass, shell puke it right up. OK, just put out two bowls and see which feed she prefers. Im sorry to be taking up so much of your precious time, Mose, but shes your aunt too. Fine. Ill see what I can do.
Dwight|  I need you.
Angela| Ahh! Dwight!
Dwight| And you should take breaks more often, Ive been waiting there for 45 minutes.
Angela| What? What is it?
Dwight| Its my aunt Shirley, shes on her last legs.
