Kevin| Uh oh. Shes doing it again.
Pam| Phyllis has gotten into audio books and lately shes been listening to 50 Shades of Grey.  Which, if you dont know what it is, its a book about um...
Clark| Its porn. 
Pam| Yeah.
Dwight|  Seriously. Ugh. Ok, this is unacceptable. Its officially a hostile work environment. 
Phyllis| Why?
Darryl| Somebody just needs to get her attention, tell her its not OK to do this in public. 
Pam| Be careful. I pulled my moms dog off a pillow once, and I got bit.
Meredith| Just ignore her. Sooner or later shell finish. 
Group| Ugh. Ew.
Andy| What?
Dwight| Phyllis is masturbating. In the office right now as we speak. 
Angela| Can we skip the color commentary and just have Andy go out there and fire her?
Toby| He- he cant do that.  Turns out shes allowed to have feelings of sexual arousal.  It doesnt become a violation until she physically acts on it. 
Group| No!
Oscar| Toby, how do you propose that we-
Andy|Whoa, whoa, whoa, wait a minute. Why is Phyllis so aroused?
Pam| Shes listening to 50 Shades of Grey. 
Andy| Well there you go. Thats muy caliente.
Dwight| OK, you are useless. Ill take care of this. 
Phyllis| What the hell?!
Dwight| Its OK guys, shes no longer horny. 
Andy| Excuse me, dirty birdie 
Phyllis| Wait, what?
Andy| You can have this back at the end of the day.   Oh!!
Dwight| Clark, I need your advice. Im having some lady troubles. 
Clark| Whats her name?
Dwight| Esther Ruger. 
Clark| Sweet.
Dwight| Lives on the neighboring farm. 85 acres.
Clark| Oh yeah. Keep talkin.
Dwight| Well, weve been out three times, there has been physicality but the thing is we were hanging out with her father the other night looking at a farm catalog, next thing I know he wants to lease a tractor with me. 
Clark| Oh.
Dwight|  What do you think?
Clark| The same thing that you think.
Dwight| A long term tractor lease is going to put pressure on a relationship. 
Clark| God, one of my buddies is going through the same thing right now. Something in the air. 
Angela| Here you go. And good for you Dwight, Im so glad you found someone. I bet shes got kind eyes. 
Angela| Dwight is dating a brussel sprout farmer named Esther.  Shes coming here this afternoon with her father.  Who knows? Maybe shell be pulling the horse cart! 
Pam|  Cici has been calling me Pamela. Like four times this week.
Jim| Oh man. 
Pam| I wonder if shell start calling you Jim.
Jim| Oh boy, please dont. Lets not let that happen. 
Pam|  Um.
Jim| What was I gonna- What was I gonna say?
Pam| Youre- You know your assistant told me that you have a big pitch meeting today. With Ryan Howard. How did that happen?
Jim| Not that Ryan Howard. Um, the Phillies first baseman. 
Pam| Oh, oh OK.
Jim| Yeah, yeah. Exactly. 
Pam|  Um, Ok. Well?
Jim| Yeah. So, uh, Ill uh, talk to you later?
Pam| Yeah, sounds good. Ok.
Jim| Ok great.
Pam| Ok.
Jim| Bye. 
Pam| Bye.
Kevin|  Whats going on? Oh, did Gangnam Style put out a new song?
Oscar| Theres a promo for the new documentary on the web. 
Phyllis| Play it again. 
Promo Voice|  The boss.  The workers.  The lives.  The loves.  The people. The paper. The Office An American Workplace. Coming soon on WVIA. 
Kevin| Whoa. You go to the bathroom for 45 minutes and everything changes. 
Kevin| This is a documentary? Oh, I always thought we were like specimens in a human zoo. 
Kevin|  Did you see this? 
Angela| Your screen is all black. You just unplugged your computer. 
Clark|  Oh my god, is that you and Jim?
Pam| Uh huh. 
Clark| Jeez, you fell in love with that hair? Really?  Yikes. That is awful. 
Pam| It wasnt so bad. 
Andy| Guys, are you reading the online comments? Somebody commented on my banjo playing. â€œBanjo at 019 is aightâ€ Internet, calm down! I must be really connected with this guy.  I mean thats the guys name, right? ChobbleGobbler?
Jim| Hey man, how you doin? Jim Halpert. 
Ryan Howard| Nice to meet you. Eat Fresh. 
Darryl| Hey, man. Darryl.
Ryan Howard| Hey there, Ryan. Nice to meet you. Eat Fresh.  Eat Fresh. 
Jim| Lets go to the conference room. 
Dwight| Esthers on her way up. I wonder if she wants a snack. Lets see, I know she likes apples and carrots. 
Angela| I bet she does.  I bet shell eat them right out of your hand with those big strong teeth. 
Dwight| Did I tell you about her teeth? 
Erin| Hey Dwight, you have some guests. I think theyre from the forest where we harvest our paper. 
Angela| Yes.
Dwight| Ah, the Ruger family. Welcome. 
Mr. Ruger| Fine office you have here. Sturdy walls.
Dwight| Yes. Esther, you look radiant as always. 
Esther| Thank you.  
Angela| I guess men find Esther attractive.  I mean if there are chubby chasers, then there are men that like that....thing. 
Pam| Weird to see how we used to look in those promos. Some of us have changed so much. 
Stanley|  Weve all changed.
Jim| With our firm, youll be building equity for long after theyve retired your number. 
Darryl| And we all know, baseball does not last forever. 
Ryan Howard| I look at these actors on TV and I think â€œCmon, I can do that.â€
Jim| Right? 
Ryan Howard| Watch this Eat Fresh. Now what does that make you think of?
Darryl| Subway sandwiches.
Jim| Yep. 
Ryan Howard| How? I didnt say Subway sandwiches. Its called playing the subtext. 
Jim| Wow.
Ryan Howard| I actually wrote a screenplay, its called â€œThe Big Pieceâ€
Jim| Based on his nickname. Like it already. Let me guess, its autobiographical. 
Ryan Howard| Half biopic and half superhero movie.  A mild mannered professional baseball player, Ryan Howard-
Jim| OK
Ryan Howard| -hits a home run into outer space. Ball comes back with space dust on it, which transforms him into The Big Piece. 
Darryl| The space dust does it.
Jim| Space dust. 
Darryl| Yeah.
Ryan Howard| I actually brought a- some copies of my script if you guys wanna read it together.
Jim| Sure, yeah.  Hollywood.  Alright. 
Darryl| Wow. Yeah, we gonna read it.
Jim| Ok, great. 
Kevin| Andy, are there documentary groupies?
Andy| Of course there are!
Kevin| Of course. 
Toby|  A little ironic that Im going to be kind of a TV star, because my last Chad Flendermen novel  was based on a murdered TV star. The small screen-
Nellie| Oh, I dont care. 
Oscar| Hey guys, I just found another promo. Its in Danish. I guess its gonna start airing in Denmark.
Pam| Oh my god!
Promo Announcer| 
Kevin| What was that word they said when they showed me â€œSkrald mandâ€? Whats that mean in Danish? Cool guy? 
Oscar| Dumpster Man. 
Kevin| Cool. Superhero.
Angela| What about me? â€œKlokken tre pigeâ€
Oscar| â€œThree PM Girlâ€
Angela| What? Why would they...wait a second, wait a second! What was that?  Oh! I didnt know they were filming then! 
Oscar| It looks like the camera man was hiding behind the shelves.
Phyllis| Wait. So they were filming all the time? Even when we didnt know it?
Angela| Oh my god. 
Angela| There was much more secret filming than I expected.  But I am fine with it, I mean it. I am. 
Oscar| Are you kidding me? Its like half the show is secret footage. 
Meredith| I am a very private person. I show em when I wanna show em. Who wants a taste?  Boob sauce! 
Group| No!
Oscar| Meredith! 
Angela| Come on!
Nellie| Oh my god. Do they film us at night when were sleeping?
Oscar| Yes, Erin. They film us at night when were sleeping. Cause that makes great TV!
Erin| Hey.
Angela| Oscar. 
Oscar| Im sorry sweetie. This whole thing is just freaking me out. 
Oscar| I have been very honest with you guys.  In a way that could seriously impact the political career of a very good friend of mine.  Youre not going to use any of that, are you? 
Andy| People, relax! We are killing it online. Have you guys checked the comments? SmokeThatSkinwagon says â€œYou guys are killing it!â€ I mean, were internet sensations guys!
Angela| I think we need to figure out whats going on. I might just take a little walk. 
Stanley| Yes, a little walk sounds like a good idea.  
Oscar| Ok everyone, turn off your mikes. 
Angela| We need to know more. Did their shots have sound? What exactly did they get on tape?
Erin| I sneezed into my hands without using Purell and then dipped into the candy jar.  Did they film that? 
Nellie| My first week here I sneezed directly into the candy jar because I thought Id get more  I thought Id get more screen time than anyone.
Pete| Ok, Pam. Why dont you visit your buddy, the crew guy that got fired? Find out what they got.
Pam| Brian?
Pete| Yeah.
Pam| Yeah, I guess I could. 
Stanley| Hurry Pam, I need to know how much hellfire is going to rain down on me. 
Phyllis| I thought Terry knew about Cynthia? 
Stanley| She does. But neither of them know about Lydia. 
Group| Oh!
Meredith| Wow. 
Clark| Whoa! Whoa! OK, so whats this lever do?
Ruger Sister 1| That manipulates the secondary shaft. 
Clark| Oh, the secondary shaft. Eeeh, oooga! 
Salesmen| The lift capacitys up at two thousand pounds. Thats a lot of beets.
Mr. Ruger| Lets talk terms. If you agree to a forty sixty split on this tractor, Ill store it in one of my barns. 
Dwight| Mr. Ruger, are you trying to take advantage of me because Im interested in your daughter? Fifty fifty split or no deal. 
Mr. Ruger| Esther, get in the truck. 
Dwight| Ok ok ok, wait! You win. 
Salesman| Lets get the paperwork started.
Ruger Sister 2| We should buy an auger together. 
Clark| Oh, yeah. Yeah.
Ruger Sister 1| You would be a great one to buy an auger with. 
Stanley|  Hello, honey? I just spoke to the TV repair man, he says we need to keep our TVs turned off for a couple of months. Something about the wiring. 
Andy| Oh! Seven new comments. â€œThe guy at 019 is hawt!â€  â€œHi Bongripper, its me, Andy. The guy from 019, Im glad that you enjoyed my work in that promo. I really enjoyed your comment, going to read some more comments now. Have a great day!â€ â€œHes not hawt, hes gay.â€  â€œDear JasonJasonJason, its me, Andy. Nice name. Not! Guess what? Im not gay! So you are an IDIOT. And I am hawt, according to people on this site who have a brain. Never comment on this page ever again.â€  â€œHe is hawt!â€ See, thank you, thats more like it. â€œHe is butt.â€ God dammit! Im about to lose my FREAKING MIND! Screw you TexasPoonTappa! Uh!
Dwight| Security deposit. Thats been-
Mr. Ruger| Standard.
Dwight| Right, standard. 
Clark| Hey, can I talk to you for one second?
Dwight| No.
Clark| One second. 
Dwight| No. 
Clark| One second.
Dwight| I am closing a deal on a tractor with the father of a woman I plan to inseminate. 
Clark| Dont do it.  
Dwight| What? Dont you cap that pen. Do not cap that pen! Do not! Ugh! You capped it. Wow. You are serious. Ok, youve got two minutes and then the cap comes off. 
Clark| Dude, were being conned. 
Dwight| Go on. 
Clark| These chicks are way too hot to be into us.  Esthers just pretending to like you so that youll buy her daddy a new tractor. 
Dwight| No.
Clark| Yes. Her sisters trying to seduce me into buying an auger with her. 
Dwight| What? Has the warranty expired on the auger you have now?
Clark| I dont even know what an auger is!
Dwight| No woman would ever want a man who doesnt know what an auger is. 
Mr. Ruger| Hey, you ready to sign?
Dwight| I just need a moment to consider your offer. Excuse me. 
Brian| Oh, hey!
Pam| Hey!
Brian| Hi. 
Pam| Hi, um. Im sorry, do you have a minute? Is this a bad time?
Brian| No, no, please, yeah, come on in. Its good to see you. Sorry, my place is usually not this-
Pam| Oh my gosh, please, dont. 
Brian| Yeah, no, I- actually its always like this.  Do you want to go outside? Its a little less cluttered out there. 
Pam| Sure, yeah. Yeah. 
Brian| Let me grab a couple drinks. 
Pam| OK.  Oh wow, you have a nice view. 
Brian| Alright, thats for you. 
Pam| Oh, thank you. 
Brian| Cheers.
Pam| Cheers. 
Angela|  Alright, how much have you revealed on camera about your relationship with the senator?
Oscar| They caught us kissing on Halloween.
Angela| Oh! He was dressed like Ronald Reagan! 
Oscar| Oh!
Angela| God!
Oscar| Angela! Well he kissed like Jack Kennedy! 
