Stanley|  What the hell? No. This is NOT happening.
Erin| Didnt you get the memo? Its Stairmageddon!  Come on Stanley!
Erin|Â Dwight is having maintenance done on the elevator today, and he was really on top of it. Weeks ago, he started the Stairmageddon Awareness campaign. The idea was to get us prepared, both mentally and physically, for a day that hopefully comes once in a 100 years. Its a â€œMageddon!â€
Erin| Come on! Come on, Stanley! Stay in it!
Stanley|Â  I put 17 damn years into this company, and now theyre making me climb Stair Mountain!
Erin|Â Come on!
Oscar| Our office has an unusually large number of unusually large people.
Stanley| This is an abomination.
Erin| Come on. You got this. Here.
Oscar| So when something as routine as elevator maintenance happens, and people are forced to expend cardiovascular effort, we have to compare it to the end of time.
Andy| Red alert! Red alert! The reviews are in! I repeat, the reviews are in.
Oscar| What?
Andy| I just got a text from my brother. Scranton Times Tribune.com. Theres a review of the documentary!
Phyllis|  What does it say?
Andy| I dont know, Phyllis! I just got the text and started screaming, â€œRed Alert.â€
Dwight| Well, the alert was already set to â€œRedâ€ because of Stairmageddon. You think I should set it to â€œDouble Redâ€?
Andy|Â  I think we should.
Stanley|
Oscar| â€œThe Office An American Workplace airing on PBS next month is a documentary following the employees of Scrantons own Dunder Mifflin Paper Company!â€
Everyone| Whoo!
Nellie| â€œIn this series, which will air starting in May, we get an in-depth look at many interesting local people. Theres Kevin Malone, the falstaffian accountant. Dwight Schrute, the head salesman forever chasing a manager position he will never get.â€
Dwight| What does Josh McAuliffe know about the paper business? He works for a newsthing.
Nellie| â€œAndy Bernard, the rudderless trust fund child-slash-middle manager, whose incompetence is emblematic of a declining American economy.â€
Phyllis| Ouch. Sorry, Andy, thats-.
Andy| Its okay.  The hell does he know?
Nellie| â€œA possible explanation for his lack of career focus is his surprising musical talent.â€
Andy| I want you to print that out for me.
Nellie| I will.
Andy| Now that this documentary is coming out, my days at Dunder Mifflin are probably limited. And you know what? Good. Because this is not what I wanted to do with my life. I wanted to be my generations Lisa Loeb.
Erin| â€œThough it mostly focuses on the daily realities of office life, a lurid subplot reveals the hypocrisy of a local public figure embroiled in a gay affair while preaching family values.â€
Nellie| Oh! Which public figure?
Erin| I bet its Katie Couric. Ive been saying this for years.
Phyllis| No, I think they mean more like a politician.
Stanley|  You own the building. Why cant you fix the elevator in the middle of the night? Who do I look like? Jackie Joyner-Kersee?
Dwight| Well, I did say it would be an inconvenience. You should have called me from downstairs. We couldve met in the lobby. Its time to go out on a sale! Here we go.
Stanley| Son, youve lost your mind. Im not going anywhere until you fix my elevator.
Dwight| The buyer is your sisters friend. This is the printing paper for the entire school district of Lackawanna. You are coming, and thats an order.
Stanley| You are not my damn boss and you never will be! Guess what? Never gonna happen! Pete! Iced tea. Three sugars, five creams.
Pete| Your morning 3-by-5. Coming right up.
Pam| Well, we wont be late. I love you, mom. Thanks.
Nellie| Oh, your moms watching the kids tonight. So what are you two up to?  Oh, um, Embassy Suites. â€œDo Not Disturbâ€ sign on the door. Mommy and Daddy are on the floor.
Pam|Â   I wish.
Nellie|  What, then?
Pam| Oh, nothing that exciting.
Nellie| Marriage counseling?
Pam| Hmm.
Nellie| Did you know that is the only kind of counseling I have never had?
Pam| You know, Jims kind of nervous about it, but I think it could really help.
Nellie| Mmm.
Pam| I mean, weve having issues. It cant hurt to talk about them, right?
Jim| Hey, Toby. Um, I wanted to ask you a question.
Toby| Oh, sure.
Jim| Its a little, uh, personal.
Toby| Lets do it. Lets get personal.
Jim| I wanted to talk to you about your divorce.
Toby| Whoa.
Jim| Sorry. Iâ€”no, no, no, what I meantâ€”what I meant actually wasâ€”
Toby| Oh, yeah, no, its okay. I can handle it. Um, so
Jim| You guys obviously went through some tough times leading up to it.
Toby|
Jim| Okay. I was wondering if you ever did any couples counseling.
Toby| Oh, sure, lots of times. Yeah. Wait, you and Pam arent in couples counseling, are you? Oh, God.
Jim| No, no, no, no, no. Uh, were just starting couples counseling. Uh, which doesnt sound any better.
Toby| Oh, you guys. Kelly called it. 2013. So sâ€”hey! Hey! Hey, no! No! Get outta here. Clark, get outta here.
Clark| My mistake.
Toby| Yes, it is your mistake. Hes lingering. So annoying. Im gonna kill him. How can I help? Im here.
Jim| Thats all right.
Andy| Hello, William Morris Agency. I need to speak with your best agent who represents your biggest stars. Yes, Ill hold. Im sorry. I misunderstood. Goodbye.
Angela| Thank you, Stan. Oh, honey. Â Look, I just want our life to get back to normal. Ribbon cuttings, charity balls.
Robert| Dont worry. Ive scheduled a press conference for later today. We just need to face the camera together. A beloved public servant and his devoted wife. And move on.
Angela| All right, if I have to be the good wife, Ill be the best damn wife there is. Correction. Best darn wife. Sorry, Im a better wife than that.
Dwight| Andyâ€” I need to talk to you.
Andy| Yeah, come on in. Im just on hold with another talent agency. Its insane. This promo with me playing banjo has 250 views already. And every time I click, theres more. 251. 252. I cant even keep up!
Dwight| Stanley is refusing to go out on a sales call.
Andy|  I hate people! Why do they never do what you need them to do? Stanley has to go. Thats final.
Dwight| So what Im hearing you say is, â€œMake Stanley go out on the sales call by whatever means possibleâ€?
Andy| Yes! Im sorry Im being curt, its just Im about to land a top talent agent.
Dwight| Mm-hmm. Good luck.
Andy|  Directory? Movie Star department. Back. Directory.
Dwight| For five years Ive held my instincts in check because I wanted to be made manager. Maybe its time for me to just let that thought go. Its kind of painful, but its also freeing in a way. Now its all about my instincts.
Clark| Hey, Dwight.
Dwight| Stanley, one way or another, you are gonna come with me to make this sale.
Stanley| Pass.
Clark| Hey, c-c-can you just let me out of here before whatever comes next?
Dwight| Dont worry, its just a bull tranquilizer. Nothing to be alarmed about. Its just a man pointing a bull tranquilizer at a coworker.
Stanley| Dwight, you do not learn, do you? For a threat to be credible, you haâ€”
Dwight|
Clark| Holy .
Stanley| No, you didnt. Sick of you and yourâ€”oohâ€”
Dwight|
Stanley|
Dwight| Its all right. Andy approved it.
Meredith| Man, hes really in twinkle town now.
Clark| Is he gonna be okay? I mean, werent those darts intended for an animal, like, two to three times larger than him?
Dwight| Okay, this dosage was meant for a very small bull, and Stanleys got way more body fat than they do.
Clark| You gave him three shots.
Dwight| Shh. Got about 45 minutes to get him to the client before he comes to.  Grab his feet.  Lets go!
Clark| All right.
Dwight| Move it! One, two, three.
Dwight| Hes like a manatee. Ready? Lets go again. Come on. We can do this. One, two, three!  Oh, God.Â  No wonder my elevator cables are under such strain.
Clark| We gotta get a wheelbarrow or something.
Dwight| Yes.
Dwight|  Okay, were good. Were good. Lets go. Push!
Clark| I am!
Clark| Any good weekend plans?
Dwight| I might see a movie.
Clark| Nice.
Dwight| What about you?
Clark| Uh, I dont know yet.
Dwight|  Lets take himâ€”
Clark| I was thinking about
Dwight| Lets go right to the top of the stairs, okay?
Clark| And then what?
Dwight| Okay, listen. Im kind of embarrassed to admit this, but Ive never actually done this before.
Clark| Well, if I may, youre a natural.
Dwight| Thank you. I mean, Ive rehearsed it in my head like 1,000 times, but, uh
Clark| Thats a little weird.
Dwight| I know. Evel Knievel.
Dwight|
Clark|  Thats about as good as thats gonna be.
Dwight| Okay, now heres the plan. Im gonna launch him. I need you to go to the bottom and catch him.
Clark| Catch?
Dwight| Yeah.
Clark| I cant catch him. Hes like, 250 pounds.
Dwight| You use your hands and just blunt his descent, okay? Hes gonna be moving slowly. Its onlyâ€”
Clark| Blunt?
Dwight| Its 15 feet down, its at a 45-degree angle. Get set in your haunches, its like your catching a medicineâ€”
Clark| Dude, this size of my haunchesâ€”
Dwight| Okay. Good call. He would have put a hole in your chest same as he put a hole in that wall.
Clark| We should probably call a doctor or something, dude.
Dwight|  You okay?
Jim| So how does it work? Its like, you know, the action of talking to a third party breaks up the log jam, or
Toby| Youre really there to talk to each other. I would say that the therapist is more of a facilitator.
Jim| Mm-hmm.
Toby| He might start by asking each of you, â€œWhy do you think youre here?â€
Pam| He took this job in Philly without telling me. He bought our house without telling me. At a certain point, heÂ shouldntÂ be rewarded for that.
Jim| If I didnt do certain things without telling Pam, shed be married to Roy.
Pam| I feel like hes always making these decisions for the family, and then Im left playing catch-up.
Jim| If she can just hang on for a little while longer, Iâ€”this will be so huge for our family.
Toby| Well, whats a little while?
Jim| What do you mean?
Toby| I mean, whats the end date? It must be really hard for her to sign on to be unhappy if she doesnt know when its gonna end.
Jim| Thats kind of an impossible question.
Erin| Oh, guys, its starting! Hurry!
Kevin| Ooh, theres Angela! I work with her!
Andy| Huh, yeah.  I mean, Im happy Angelas the first one getting famous, but its a little weird, no? I mean, she cant sing or act, so its actually kind of insane, if you think about it.
Phyllis| Her hair looks beautiful.
Andy| Yeah, we get it, Phyllis, she looks like a freakin movie star!
Erin| Andy!
Robert|  I would just to start by saying that there have been some rumors about my personal life that I would like to settle once and for all. As my long-suffering wife can attest I am gay.
Crowd|
Reporter 1| Senator, were always gay, or did your wife turn you gay?
Reporter 2| Question for the Senators beard.
Robert|  Ill say it again for mis amigos latinos. Yo soy homosexual.
Pete| Poor Angela.
Phyllis| Yeah. Poor Angela.
Robert| I once believed that a gay person could be somewhat straight. It wasnt until my marriage to Angela that I realized howcharmless I find the female body.
Meredith| Oof. Always hurts to hear that one.
Robert| Theres someone else I need to thank. His name is Oscar Martinez.
Andy| Come on!
Robert| Oscar is the one who opened my eyes to who I really am. For the first timeâ€”
Erin| Oscar is with the Senator too?
Kevin| Yes! And I knew it the whole time! I kept the secret. I kept the secret so good. You didnt know, you didnt know, and you didnt freaking know. But I knew!
Oscar| He knew!
Kevin| Yes, we did it!
Oscar| You did it, Kevin.
Kevin| Yes! Ohh! I did it. Ohh, I did it.
Robert| --with this new self-awareness, I was finally able to find love at long last. With my amazing Chief of Staff Wesley Silver.
Oscar| What?!
Creed| Wesley Silvers gay?
Crowd|
Angela|
