Erin| Andys coming back today! Andys coming back today! Ha! Andys coming back today. David Wallace sent him on an outward bound wilderness adventure for a whole month to make him more decisive and confident. He sent his own son too. And the counselors said they both grew up, big time.
Dwight| How was my summer? It was pretty mixed. I invented a new power drink made out of beet runoff. Mmm, mmm! So thats really good. But I got some disappointing medical news.
Doctor| Mr. Schrute, the results are in. You are not the father.
Angela| I told you
Kevin| Oh, what a summer! An emotional roller-coaster. I ran over a turtle in the parking lot, but then I saved him by gluing his shell back together. But Im not that good at puzzles.
Oscar|  That piece doesnt go there.
Kevin| So I patched him with stuff from around the office. But I couldnt get the pieces to fit right. Then one day, when I was reaching for the glue, I crushed his shell again. But I rebuilt him even better that time. But it turned out the turtle was already day. Probably when I ran over him the first time.
Pam| For us, um, nothing new, really the kids are great.
Jim| You are really good at modesty. Shes a genius.  She painted this incredible mural in the kids room. Theres a hippo leading a parade of 500 childrenâ€”
Pam| Kay, well, you had that interesting thing.
Jim| Oh, yeah
Pam|  Yes, Jims friend is starting anew company based on this idea Jim had when they were back in college.
Jim| Its sports marketing basically. But the athletes are partners.
Pam| And he wanted Jim to be a part of it too.
Jim| In Philly, so, that doesnt really work for the family. Watch this guy make a billion dollars off my idea.
Pam| He said if it takes off hes gonna buy us a new car.
Jim| An Altima or better.
Toby| Kelly Kapoor is gone. Her fiancÃ© Ravi was hired as a pediatrics professor at Miami university.
Kelly|  I dont need em anymore. I am going to Miami biotches. To hang with Lebron James and Gloria Estefan.
Toby|Miami University in Ohio. On her last day, Kelly was still a little confused about it
Kelly| Enjoy the snow losers.
Erin| Im so happy for you Kelly.
Toby| Shortly after Kelly left, Ryan quit and also moved to Ohio, for what he claimed were unrelated reasons.
Ryan| Ive actually done a lot of market research and it actually turns out that southwestern Ohio is going to be the next Silicon Valley. They call it the Silicon Prairie. Its a big university town. And, uh, thats not garbage, its out clothes.
Pam| And that was our summer.
Jim| we good?
Off-camera| Yeah
Pam| Dont you guys have everything. I mean, its just a paper company.
Off-camera| Well were more following you guys, to see how you turn out.
Pam| Oh, yeah, because we were kind of dramatic in the beginning. Well I dont think anythings gonna change in our lives now. With work and two kids theres just-nothing interesting is going to happen for us in a long, long time.
Erin| Andys coming back today!
Clark| Hey, uh, does anybody know where we throw these out?
