Erin| Oh. Hey, champions. 
Toby| Good morning. 
Clark| Quater finals in an hour.  Hope you got some sleep cause I am going to be haunting your nightmares tonight. 
Erin| I did. I got some really good sleep.
Clark| Did you? 
Erin|  Bzzz.
Dwight| Yesterday was the first round of a branch wide paper airplane contest.  It was being sponsored by Weyer-Hammer Paper in an effort to get us to sell more of their new product Airstream Deluxe A4, the Cadillac of paper. Its not so easy on the environment, if you know what I mean.  Practically made of plastic. 
Nellie| We started with sixteen brave aviators. Some use skill , others relied on showmanship  others seem not to comprehend what a paper airplane is.  And of course, there was the odd moment of heartbreak and disaster. 
Toby| Hey I left my glasses down here somewhere. Crossing through, beep beep. 
Toby| Ow! Ow!
Pam| I didnt see you! You should have yelled â€œCrossing!â€
Toby|  Im sorry!
Pam| Ok, so is that my spot?
Nellie| We are now down to an elite eight.  Well, seven and Toby.
Andy|  Be careful of that beaker, it contains dangerous acid! 
Darryl| It does not say dangerous. And theres no exclamation point. 
Andy| Well Im just trying to bring some life to it. 
Andy| Last week I got an agent and uh, this week I got a movie. HRPDC chemical handling protocols.  Its gonna be seen by tons of workers in the industrial chemical community. One of whom could have a cousin whose brothers Brad Pitt.  And boom, next thing you know, Im in Moneyballs Two.
Toby| Andy?
Andy| Go away, were running lines.
Toby| You wanted to see the gooey eye. 
Andy| Oh yeah. Alright, get over here. I am so freaked out by things going into eyes. I just- wow.  Uggggh! I cant even, Im so freaked out by that, just go. Go go go go go. 
Toby| Alright, its getting gooier so well just do it later. 
Andy| Yeah, Ok.  Alright. Where were we?
Darryl| Something full of acid. 
Andy| And remember  Do not attempt to extinguish a chemical fire with water. You will only exacerbate the flame. The dangerous flame. 
Darryl|  That was great man. Alright, Im out of here. 
Andy| W-w-w-wait. Stop stop stop. Dont go anywhere.  I just need to find more colors. Lets do it six more times. 
Jim| Hey. I just wanted to say that you woke up early with the kids and let me sleep and I really appreciate that. 
Pam| Thank you. I appreciate that you appreciate that. 
Pam| So, we had couples therapy.
Jim| No shame in that. Get it all out in the open. 
Pam| And we have homework.
Jim| Yes, we are supposed to look for every chance to acknowledge and appreciate each others sacrifices. Because I need to appreciate what Pams been doing to run the house while Im in Philly. 
Pam| And were also supposed to speak our truths. 
Jim| Mmhm.
Pam| Because if I had spoken my truth sooner about not wanting to move to Philly, then maybe we wouldnt have had this opportunity for couples therapy. 
Jim| Oh, were supposed to call everything we dont want to do â€œopportunities.â€ 
Andy| Heads up everyone. If you really need something from me today, lets get it done tomorrow.  Carla Fern got me a gig. 
Pam| Hey!
Andy| Yeah. 
Stanley| Whos Carla Fern?
Andy| Who is Carla Fern? Well, wow. Uh, shes my agent and my drill sargent. And one of my best friends. Oh, and Oscar, I already figured it out. If I have to get emotional in the film, Im just going to think about you getting dumped by the Senator. 
Oscar| Why wouldnt you use your own life? Erin just dumped you.
Andy| Little raw. Not cool Oscar.
Oscar| But you just!
Andy| Not cool. 
Nellie| Hey. Day two. Drama in the warehouse skies. This is Robert from Weyer-Hammer Paper, who will be joining us to judge the final rounds. 
Robert| Whos pumped for the quarter finals, huh?
Dwight| Im pumped!
Erin| Clarks a dead man.
Robert| Alright. Sounds like somebody wants to walk away with this. 
Angela| Oh my god!
Group| Whoa.
Angela| Nellie you didnt tell us we could win money. 
Nellie| Oh yes I did, I told you all. It was..um, cause thats an awful lot of money for me to forget. 
Stanley| Not one of us remembers you saying anything about two thousand dollars. 
Nellie| I forgot. I completely forgot. But at least now that large piece of cardboard that man was carrying around makes sense. 
Erin| Nellie, this is a competition.  Please take it seriously. 
Nellie| Oh please. 
Angela| Me? Oh, Im fine. I mean, sure, times are leaner now that Im separated from the Senator.  But my new studio apartment is just fine  for me.. and Phillip... and Tinky... and Crinklepuss, and Bandit 2, and Pawlick Baggins, and Lady Aragorn and their 10 kittens. 
Phillip| 
Angela| Come here, come here. Lets go.
Angela| I had a chance with Dwight, but I didnt take it. And if I went back now, when Im broke and he just inherited a farm, Id be one of those gold-digging tramps you read about that try to bag a farmer. 
Dwight| I offered myself to Angela and she turned me down. If she changes her mind, the next move is hers. Im with Esther now.  Shes younger than Angela, sturdier, more comfortable with the scent of a manured field. Lets be honest. When it came to manured fields, Angela was at best indifferent. 
Clark| Oh, wide wings, interesting. 
Erin| Hey. Why dont you back off?...I mean best of luck to you in the competition.
Erin| Growing up in an orphanage, you have to fight other kids. For everything. Snacks, pillows, parents. Im kinda worried about Pete seeing that side of me. I once ripped greedy Susans pigtail right off her head. Just for a handful of Crispix. 
