Jim| Im taking some time off from workâ€”well, my other workâ€”because we needed it.
Pam| Its great.
Jim| Its great.
Pam| The phone has been ringing off the hook. The guys in Philly are kind of going nuts.
Jim| But that doesnt matter. This does. Its the only thing that matters. Weve had some really nice days together.
Pam| Nice morning, too.
Jim| Beesly! Oh, my god. 
Andy| Hey. Which tie makes me look like a guy who likes sofas? My agents putting me up for a furniture commercial.
Jim| Ah, definitely blue.
Andy| Totally, right? So, Big Tuna, whats up? Back in the small pond? 
Jim| For now, yeah. I was spreading myself way too thinâ€”
Andy| Thin-sliced tuna. Carpaccio. Go on.
Jim| Uh, well, it took me a while, but I finally realized that I cant give 100% to two things at once you know.
Andy| Tell me about it, you know? Ive been trying to act and manage this branch. Half the time I dont know if Im wearing my stage makeup or my work makeup. 
Jim| Huh. Well, you know, you cant have everything so you gotta ask yourself what makes you the happiest. You just go all in for whats most important. Thats my new thing.
Oscar|  Is everything ok?
Angela| No. Everything is not okay. The county took my cats.
Kevin| Wait, all of them?
Angela| Two sacks worth. Apparently my apartment complex has rules about how many pets are too many for a studio. And while I was out picking Phillip up from daycare, they came. They came into my house.
Oscar| Thatsâ€”thats awful, Angela. Im so sorry.
Angela| Its the  that lives downstairs. Shes this uptight, judgmental shrew. You know the type.
Kevin| Ive never met anyone like that.
Angela| And theyre gone. And I have no one left. Without my cats, I am utterly and completely alone. 
Oscar| Angela, you still have your son.
Angela| I guess.
Dwight| Attention, everyone. May I have your attention? There are four new deadly weapons in this office.  Basher, Thrasher, Crasher andâ€”
Jim| Smasher!
Dwight| Smasher? No, whered you get that? Fireball. This morning after hours of combat with some of the citys best teenagers I earned my black belt in Goju Ryu martial arts. 
Dwight| I had to find a new dojo after sensei Ira and I parted ways. My new sensei, sensei Billy, thought I had more than enough training to take the test. Turns out, sensei Ira was a bit of a shyster. Sensei Billy says most students dont spend $150,000 over 20 years to get their black belt. 
Dwight| I would like to invite you all to my black belt ceremony, right here in the office at lunch, lunch not provided.
Jim| Fireball!
Dwight| Ah!  Thats how its done.
Jim| Thats pretty good. I feel safe.
David Wallace| Hey, Erin. Is Andy in?
Erin| Oh, is Andy in? Sorry, I thought you said â€œis Indianâ€ and was like, â€œIs Indian what?â€ Is Indian food good? Is Indian jewelry pretty? Is Indian hair an expensive kind of wig? Yes, to all three, by the way. 
Erin| Lately, Ive been having a lot of trouble keeping track of Andys calendar. His student film audition schedule is crazy hectic. 
Erin| Yes, theres Andy! Andy is in. Im a good receptionist, I know hes in. 
Andy| David Walrus, in his native habitat.
David Wallace| Hey, Andy. Can we go in your office and talk? 
Andy| Yeah. 
David Wallace| This isnt going to be an easy conversation. I told Andy that he was on very thin ice when he snuck away from three months to the Caribbean. Then last week he used company money to buy a top-of-the-line photo printer. In his words, â€œThe kind thats good for head shots.â€ And yesterday, he asked me to pay for cheek implants. Claimed its gonna boost office morale. Now, hes a good guy. But honestly, at some point, the ice gets too thin and you fall through. And that is when you get fired. 
David Wallace| Andyâ€”
Andy| Im gonna stop you right there. David, this documentary is going to air in two weeks. I feel like its a once-in-a-lifetime opportunity to pursue my dream.
David Wallace| Uh-huh, butâ€”
Andy| Every minute that I spend here is time not spent making audition videos for reality dating, cooking or singing shows. I got a real shot here. And Ill never be able to forgive myself if I blew it because I was too focused on my stupid paper company job. No offense.
David Wallace| So you think youve been too focused on your job?
Andy| At my last head shot sitting, I was so distracted wondering what I was missing at work that I came across totally manic. And I was going for zany. 
David Wallace| So youâ€”you want to quit Dunder Mifflin to pursue acting?
Andy| Well, no, actually. I see no reason to limit myself to just acting. I am pursuing fame of any kind. Could be singing, could be dancing. I dontâ€”it just I owe it to myself and my future fans. 
David Wallace| Uh, well, I guess I cant stand in the way of a mans dream. And it seems like you have the gift. 
Andy| Thank you, David.
David Wallace| Theres probably no way I can talk you into staying at this point, can I?
Andy| Nope. I have made up my mind. Im really sorry.
David Wallace| Well, good luck.
Andy| Thank you. Not gonna need it.
David Wallace| Okay.
David Wallace| Well that kind of worked out.
Creed| I think just anybody could be a star. My postman, the night janitor here, but Andy? No, definitely not. Charisma black hole.
Jim| Oh, Clark. Im actually here today. Surprise! So I was wondering if I could maybe have my desk back.
Clark| Right. Yeah. But, you know, Ive actually been working pretty hard here on a daily basis. So, I kind of feel like Ive earned this. I mean, you know?
Jim| You totally have. You have earned this. But maybe I could be with my wife. Kind of the whole reason that Im here.
Clark| Right. Well, Im here to sell paper. 
Pam| Wow.
Clark| All right, Jim, look, I just got made junior salesman. Right? Andâ€”and Wallace is here today. And I dont him to just think of me as a customer service rep that sits in the annex. I mean, you can get that, right? Right? And what do you need more face time with Wallace for? You trying to get a second second job here? 
Pam| its okay. You can sit in the annex.
Jim| What?
Pam| Ill come visit you.
