Erin| The tea in Nepal is very hot. 
Kevin| But the coffee in Peru is much hotter. 
Dwight| Last week I finally became permanent manager of Dunder Mifflin Scranton. My first project increase security. I got these doors from a jewelry store that had recently gone out of business. Now theyre protecting Americas real treasure, paper. Every morning I email the days security codes. Something thats been really missing from my life has been writing secret codes. Its not the KGB, but its a start.
Erin| The tea in Nepal is very hot.
Dwight| But the coffee in Peru is far hotter.
Erin| Close.
Dwight| This is Tuesday, right? The coffee in Paraguay is far hotter?
Erin| Colder.
Dwight| The coffee in Paraguay is colder?
Erin| No, I meant youre getting colder. The correct response is, â€œthe coffee in Peru is much hotter.â€
Dwight| Ah, much, ok.
Erin| But, thats three wrong, so I gotta give you the steam.  Unless you want me to break protocol?
Dwight| No, no. Give me the steam.
Dwight| Its just harmless steam to panic intruders. Id like to get harmful steam, but the prices are absurd.
Dwight|  Break protocol! Break protocol! Break protocol!
Creed|  Oh, Im saving a fortune on dry cleaning.
Philip| Mama!
Oscar| Angela, someone wants you.
Angela| Ok, coming. Hi, baby.
Oscar| Angelas divorce from the senator has been very difficult for her. When she got kicked out of her apartment, I invited her to move in with me. Ironic that its Angela whos living in the closet. Hey-o.
Oscar| Saddle shoes. With denim? I will literally call child services.
Esther| Go get â€˜em, honey.
Dwight| Oh, dont worry. Theyll get got.
Dwight| Manager of Dunder Mifflin? Check. Owner of a 1600-acre beet farm? Check. Engaged to be married to an actual milkmaid? Check on that later today. This is my grandmothers ring. It was made from a bullet I took out of her left buttock. She was a moonshiner shot by Adolph Coors. This is my grandmothers buttock bullet ring.
Andy| Hello, good morning. My name is Andrew Bernard. You might know me from a TV documentary thats premiering tonight. I also killed it in local theater and I am fresh off of a hot industrial flick. 
Check-in guy| Ok, thanks. Go ahead and get in the back of the line.
Andy| Yes!
Andy| Well, burned all my bridges at Dunder Mifflin, and time to become the next American Idol. By winning Americas Next A Cappella Sensation. On channel TBD. Its a really cool show, its like a revision of the whole American Idol, Voice, Sing-Off phenomenon. On this show, all three judges are mean!
Jim| Sales form for you to sign.
Dwight| You know what to do.  Ok
Dwight| Behind every great regional manager is a great assistant to the regional manager, and I have chosen one of the best.
Jim| Aw, thanks, man.
Dwight| Once upon a time we were natural enemies, but weve overcome our differences. Much like Germany and Italy in World Warâ€”
Jim| No.
Dwight| Good call. Together we run a no-nonsense office.
Jim| Pre-conference room meeting with Dwight went really well.
Pam| Oh, bodes well for the post-conference room meeting.
Jim| All depends on the conference room meeting itself.  Uh, okay.
Pam| Is that them again?
Jim| Yeah.
Pam| Maybe you should call back?
Jim| I will. I will.
Jim| The guys at Athlead are still bugging me about this three month roadshow thing. Meeting athletes on their home turf, building relationships. Yeah, it sounds exciting. But I said no, and thats final. I almost lost Pam over this business. Im not risking that again.
Pam| When Jim decided to come back to Scranton full-time, I was relieved, but I also feel a little guilty. I mean, hes giving up this big thing for me. But he seems happy. I mean, hes certainly been goofing around a lot. I love goofy Jim. 
Dwight| Welcome.
Jim| He welcomes you.
Dwight| Please take an agenda item.
Jim| Your agenda-taking pleases him.
Dwight| Have a seat, Phyllis. There we go. As you know, I like to begin each day with an inspirational quote. â€œSome say the only failure there is is the failure to try.â€  That is wrong. Failure of any kind is failure. Jim, over to you.
Jim| Lets not get crazy and ruin our no-nonsense streak, all right? So, for instance, if youre expecting a fax today, please dont yell out, â€œMichael J. Fax from Fax to the Future.â€ Ok? Thats nonsense.
Pam| Question.
Jim| Yes, beautiful girl in the front.
Pam| We are expecting a water delivery today at 10am. What if, as theyre delivering the water jugs, someone screams out, â€œNice jugsâ€?
Jim| Thats obviously nonsense. Nonsense. And what percentage of nonsense do we tolerate in this office?
Everyone|  Zero. No nonsense. You cant have nonsense.
Dwight|  What is going on?
Angela| Daycare wont take Phillip anymore.
Oscar| Why?
Angela| Apparently my station in life has descended to a depth even they wont forgive. So, hi.
Oscar| Hi, buddy.
Dwight| Ok. Um, new agenda item. Phillip will be joining us in the office today.
Jim| Gotta write that down. Ok, big day today. Airing of the documentary. Whos excited?
Meredith| Id better come out of this smelling like a rose. Ive been on my best behavior for nine years. If it wasnt for the cameras, I wouldve done some truly vulgar crap.
Stanley| Over the course of this documentary Ive had three affairs. If you find my body in a ditch, let me save the police some trouble my wife did it.
Dwight| Im letting you all off half an hour early to view the documentary. So you can make it up to me by working an extra half an hour tomorrow, or a minute extra for the rest of the month.
Kevin| Ooh, announcement! Some of us whose televisions got broken during an all-you-can-eat shrimp commercial will be watching tonight at Poor Richards. But note, all are welcome, not just those whose saw an all-you-can-eat shrimp commercial and charged their televisions.
Oscar| I cant believe the doc is finally going to air. When this thing started, I was still having sex with women. As was Kevin, I believe.
Creed| This airs tonight? Oh my god. If my parents see this, I am toast.
Andy| This is really huge. This is like the March on Washington but for a singing show. Can you imagine if Martin Luther King were here? And sang â€œI Dreamed a Dreamâ€ from Les Mis? With that baritone? That would be historic.
Casey| Whoo-hoo! Casey Dean! Cincinnati, Ohio!  Doctor, doctor, gimme the news, I got a great Casey Dean for you.
Andy| No!
Casey| America wants it!
Andy| No, this is my time! You dont belt on my time! I belt on my time.
Casey|  Casey Dean!
Andy|  Casey Dean!
Casey| Man, those are some nice pipes.
Andy| Yeah.
Casey| Whats your name?
Andy| Andy. Whats yours?
Angela| Why didnt you pack the apple snacks?
Oscar| Why didnt you pack the apple snacks?
Kevin| Guys.
Angela| Because whenever I pack the bag, you say I do it wrong.
Kevin| Guys.
Angela| Why dont you pack it?
Kevin| Guys.
Angela &amp; Oscar| Kevin, what?
Kevin| Do you want to see a video of a weatherman who says â€œbold frontâ€ instead of â€œcold frontâ€? Its insane.
Angela| Not now, Kevin. Cant you see were busy? Phillip needs his apple snacks.
Oscar| Seriously, Kevin. Im just gonna have to go to the store.
Angela| Ok, you go to the store.
Kevin| Philllip, Phillip, Phillip. Its all about Phillip. I hate Phillip.
Dwight| Not now! Private time!
Jim| I love Star Wars as much as the next guyâ€”
Dwight| Hey, hey! Seriously? 
Jim| My god, Im so sorry. Well this might make up for it I think I have found an enormous source of overlooked PFN.
Dwight| Which is, of course
Jim| Potential future nonsense.
Dwight| Yes, good abbreviating, Jim. That saved some time. Now, hurry up, shut the door. Break it down for me.
Jim| Im gonna need you to look at your hierarchy mobile. Youve got a regional manager.
Dwight| The power source.
Jim| Obviously, the assistant to the regional manager.
Dwight| A loyal, but bungling apostle.
Jim| But what about the assistant assistant to the regional manager?
Dwight| Someone to whisper in the ear of the consigliore.
Jim| Exactly.
Dwight| Id have to get some more wire and string, but its doable. Do you think any of them out there are capable?
Jim| Yeah, right. I mean, unless theyre willing to pass some tests.
Dwight| I like the sound of that. Who do you have in mind?
Jim| Well, I know this sounds crazy, but how would King Arthur choose the next knight of his round table?
Dwight| That doesnt sound crazy, Jim. Thats the sanest thing Ive ever heard.
Casey| Whatre you listening to?
Andy| Hmm? Um, uh, locking in my starting note. A 440.
Casey| Oh, sweet.
Andy| A cappella is all about pitch, and I am nothing if not a total pitch bitch.
Mark McGrath| Whats up, everybody? And welcome to Americas Next A Cappella Singing Sensation!
Casey| Ah! Its Mark McGrath! Oh my god! Youre gorgeous!
Mark McGrath| Thank you, thank you so much. And thank you for your patience. And we hope to see you guys within the next five to seven hours. Now, just to give you a couple parameters of the show, each of you will sing a song for thirty seconds, after which our judges will decide if they want you in their a cappella group. Now, each group will start with 90 singers, which will compete in a series of singing and physical challenges. Oh, and look out for that pesky mole!
Andy| Theres a mole?
Mark McGrath| Oops. Im not supposed toâ€”Im not supposed to say that. All right, no mole. Forget I said it, all right?
Andy| What mole? What are you talking about? I already forgot about it.
Mark McGrath| Good man right there. Ill see you guys inside. Good luck, all right?
Andy| Yeah! Pour some Sugar Ray on me! 
Casey| What? On a roll much?
Andy| I dont know where it came from.
Casey| That was amazing, man!
Andy| Yeah. Yeah, it felt good. It felt funny.
Casey| Yeah, you made a personal connection with him.
Andy| I did, I felt it.
Casey| Big time.
Pam| What are you so excited about?
Jim| Nothing.
Pam| What are you up to?
Jim| Members of the office, hear ye. 
Dwight| That means ye, Plop!
Pete| Plop? Still?
Dwight| We owe Andy that much. Am I right people?
Pete| Fine.
Jim| Today we will be testing candidates for the position of assistant to the assistant to the regional manager.
Erin| Aw, heck ya!
Pam| Nice.
Dwight| Youll always have the upper hand, when youve got a good a-arm. Trademark pending.
Jim| This is not an excuse to blow off work doing carnival-like activities. Sure, every participant will be getting a corndog, but thats for fueling only. No savoring.
Dwight| Wow, the honor. God, I envy them.
Jim| He envies you.
Dwight| You dont need to repeat right now, when Im saying it.
Jim| Alright.
Jim| By 200, Dwight will chose himself to be assistant to his own assistant, me.
Darryl| What up?
Glenn| Whats going on? How was the delivery?
Darryl| Delivered all my furniture to Philly. Hey, keep it down, though. Nobody knows Im here.
Darryl| I hate goodbyes, so last week, when I left Dunder Mifflin for good, I pulled the old Irish Exit. Just slipped out without making a big deal. No hard feelings. No feelings at all.
Jim| A good assistant knows what their superior is thinking before they even think it. Meredith, what number am I thinking of right now?
Meredith| Uh, two.
Jim| 985,000,000,000,017.
Dwight| Not even close, Meredith. Come on!
Jim| Okay, Pam. What song is running through my head right now?
Pam| Theme song from Saved by the Bell.
Jim| Oh, my god! It was the theme song to Boy Meets World.
Dwight| Wait, no, no, no, stop. Spouses can read each others minds. Youre trying to give your wife this job.
Jim| Thats exactly what I was doing. Plop, what animal am I picturing?
Pete| A horse.
Jim| Ew, the exact opposite, actually.
Pete| Whats the opposite of a horse?
Jim| Come on. 
Jim &amp; Dwight| Sea horse.
Jim| Whoa. How did you know that I was gonnaâ€”
