Dwight| The documentary series finished airing ages ago. Why is PBS sending another crew?
Camera<br/>Man| Were getting bonus footage for the DVD.
Dwight| pff, Nobody buys DVDs anymore. 
Camera<br/>Man| Itll be a pledge gift. 
Dwight| PBS. The propaganda wing of Bill and Melinda Gates and viewers like you. 
Dwight| In the past year, I have consolidated the entire Scranton paper market. We regained the white pages, the school district, Lackawanna county. We supply them all. Im getting married tomorrow afternoon, and in the morning, theres a mini-reunion. A kind of a â€œwhere are they nowâ€ panel at a local theatre. Itll be nice to see everyone again.  I havent seen Kevin since we let him go. 
Dwight|  Today marks several important milestones. Stanley, as you know, is retiring. 
Kevin| Yes! Whoo, whoo, whoo! 
Stanley| Ah, Ive been looking forward to this day since I was 18 years old. 
Meredith| Speech!
Dwight| No! And our next and most thickly frosted cake isforKevin. 
Kevin| Yes! Wait, why?
Dwight| Go ahead and just read the frosting. 
Kevin| â€œGet out.â€
Dwight| Uh-huh. 
Kevin| What does that mean?
Dwight| Its a colloquial way of saying â€œyoure fired,â€ Kevin, which you are.
Pam| What? Dwight, you cant do that. 
Dwight| The cake has spoken Pam. Sorry. 
All| What?!
Dwight| Well if anyone here can make a case for Kevin staying. 
All| Dwight
Dwight| Basedon his merit. 
Oscar| Ooh. 
Jim| Umm.
Kevin| Imgood. 
Pam| Well, Toby will stop it. Anytime anyones ever been fired, Tobys blocked it, so
Toby| Yeah. Yeah, I dont think
Dwight| Toby, wait. Wait. Hold that thought. Heres your cake.   Bye, bye Toby. 
Kevin|  At least I got chocolate. 
Jim| I bike to work now. Saves on gas, cheaper than a vasectomy and, uh, oh, yeah, its good for the environment too. 
Jim| Pam and I are great. She just recently finished her mural for the Irish cultural center. 
Crowd| Whoo! Yeah
Jim|  Can you clap! Can you clap for mom? 
Jim| And Dwight is imitating Japanese business practices for reasons he explained to us in Japanese. 
Pam|  Angela, are you ready for the wedding?
Angela|  Yes. My heart is so open, I am so at peace.  Look at Meredith. Shes disgusting. Those feet. Theyre like the paws of an orangutan. 
