Pam|  The buildings custodian is on vacation for the month and Dwight is too cheap to hire a replacement. So, instead, were living in filth. But, not for long. Because I have created the chore wheel.
Kevin|  Oh, yeah! Can I spin first?
Pam| Well, it doesnt spin. Well just move the wheel one notch each morning and you see what chore you get that day.
Kevin| A wheel is supposed to spin.
Erin| Yeah, you know, like  guh, guh, guh, guh, guh, guh, guh guh.
Pam| No, Im familiar with spinning. Its just that wouldnt work with a chore wheel because people might get the same chore-
Andy|  Bugh, boring. All she talks about is chores.
Creed| A wheel wants to spin, Pam.
Jim|  Spinning would be more fun.
Pam|  â€˜Kay.
Kevin|  Okay, thats what Im talking about! Big money, big money!  Mug duty?
Pam| Yes, you clean all the mugs in the sink.
Kevin| This sucks.
Erin| Yeah, seriously, its like everything on there is work.
Pam| I dont think you guys understand why were doing this. Its-
Kevin| Yeah, I dont think that you understand wheels.
Pam| Ive been through several rounds of development with the team and heres where we stand with the chore wheel.  Weve got prizes! Ten bucks, candy bar, manager for an hour but, there are also penalties. Like, no internet, Stanley gets your lunch. The one thing that is not on the chore wheel is chores. But they were right; its more fun this way.
Pam|  The tiny wheel actually does have chores. Its so cute no one seems to mind.
Pam|  Toilets! 
Jim|  Pam, we gotta go. Cece, go back inside. Grandmas got breakfast, OK?  We are going to Roys wedding. Yep, Roy. I think the only weird thing about going to your wifes ex-fiancÃ©s wedding on a weekday at eight AM is that its your wifes ex-fiancÃ©.
Pam|  Thanks, mom!
Jim|  A banana?
Pam| Yeah. Im afraid hes only gonna have hot dogs.
Jim| Oh, come on. Not even Roy will have hot dogs at his wedding.
Pam| Planned a wedding with him. He wanted hot dogs.
Jim|  Just so weird.
Erin|  Oh, Pete, youve got mail.
Pete| Really? I got something?
Erin| Well, its addressed to Customer Service so, its your mail.
Clark| Well, you know, Im also Customer Service.
Erin| Yeah, Im alternating. 
Pete|  Yay, another person yelling at me.
Erin| Well, it could be a nice letter. I write nice letters to companies all the time.
Pete| Thats really nice.
Clark|  Wow, Newsweek, huh? This election thing is crazy, right?
Pete|  Its open.
Erin| Oh yeah, I accidentally read it. Its not a nice letter.
Pete|  OK.
Nellie|  Get excited. The special projects fairy has arrived.
Creed| I know you dont really exist.
Nellie| Today, I launch my big charity initiative â€˜Operation Give Back. Andy has shot down all of my special projects thus far but, this one is about charity. So, Id like to see him piss on that one.
Roy|  Darryl! Ha-ha! Whats happening?
Darryl| Congratulations, baby!
Roy| Ah, thank you!
Jim|  Is this his house?
Pam| Think so.
Server|  Mimosa?
Pam|  Thank you.
Server| Would you like me to take your peel?
Pam|  Yes, thank you. 
Jim| OK.
Pam|  Whos that?
Jim| Uh, my ex-fiancÃ©.
Pam|  Ha-ha.
Jim| I started a new business with my college friend. But, Pam doesnt know. Um actually I did tell Pam and we decided â€˜no. But, then I decided yes anyway. So, Im thinking theres another conversation coming. And, its hard to know when that will be.
Nellie| With Operation Give Back, you pick the charities Dunder-Mifflin supports.
Kevin|  Oh boy! Whats happening?
Nellie| Theres four thousand dollars to give away. So, who has filled out their form? Stanley?
Stanley| American Diabetes Association.
Angela| Um, you have diabetes, Stanley.  Im sorry, is the assignment to pick a selfish charity?
Toby| I w-, uh, I would love to give uh-
Kevin|  Heifers International. Listen to this. They give a poor person like, a goat or something. Its a great prank.
Creed| I wanna work with, uh, Jimmy Carter and help build gnomes.
Nellie| Dwight, what about you?
Dwight| I will not be participating as there is no evidence that charity works.
Andy| Uh, correction, I give to a foundation that teaches homeless children nautical flag signaling. Changes lives.
Nellie| Thank you, Andy.
Andy| Im not doing it for you. Im doing it for the preservation of nautical flag signaling.
Nellie| Dwight, you will be participating.
Dwight| No thank you.
Nellie| Participation is mandatory; Dwight, but you can choose whatever cause you like.
Dwight| Fine, I chose the Global Relief Foundation.
Nellie| Great, thank you.
Dwight| Which was recently discovered to be a front for the Taliban.
Nellie|  Oh, for goodness sake, Dwight.
Dwight| Yeah. The Taliban in Afa-ghanistan.
Creed| The Taliban is the worst. Great heroine, though.
Nellie| Dwight, I cannot have the Taliban on the roster of Operation Give Back.
Dwight| Well, it looks like there wont be any Operation Give Back. Ha, ha. The nanny state is over, ladies and gentlemen. Youre welcome. 
