Fake Jim| Morning, Dwight
Dwight| Who are you?
Fake Jim| Who am I? Im Jim. Weve been working together for twelve years. Ha, Weird joke, Dwight.
Dwight| Youre not Jim. Jims not Asian
Fake Jim| You seriously never noticed? Hey, hats off to you for not seeing race.
Dwight| Alright then Jim. Ahhh, why dont you tell me about that sale that you made yesterday?
Fake Jim| Uh, Wellington systems? Sold them 10 cases of 24-pound letter stock. Or, were you talking about Krieger-Murphy? Because I didnt close that one yet, but Im hoping Ive got a voicemail from Paul Krieger waiting for me.
Voicemail| Please enter your password.
Voicemail| You have one new message.
Dwight| How did you know? No! No, no! That is sensitive information only for employees, not outsiders!
Fake Jim| Dwight, cut it out, Im trying to work.
Dwight| You dont work here! Youre not Jim!
Pam| Jim, I got us that dinner reservation. Gricos at 730.
Fake Jim| Oh great, cant wait. 
Pam| Jims at the dentist this morning. And Steve is an actor friend of ours.
Dwight| I dont know who you are, but you are not Jim. This is Jim!
Dwight| Oh myâ€”! Oh dâ€”! Oh, how didâ€”?  Huhhhhh!
Erin| Heyyy! Study buddies!
Darryl| Oh, ok.
Erin| Getting things done. Awesome!
Darryl| Its all about finding ways to make yourself more efficient. Life hacking, baby. This morning, I brushed my teeth in the shower. Saved my self 90 seconds. Which I just used to explain this to you. Damn it!
Darryl| Since Andy promoted me to assistant regional manager, Ive been trying to step my game up, you know, be more productive. In fact, you know what? Lets knock out a few more of these sound bites while were here.  Whoa! That person has really gotten him or herself into quite a predicament.
Erin|  Sâ€il vous plaitdites-MoiUgggghhh les Bleagh!
Dwight| Ah, French. Its a great language. If youre a chain-smoking acrobat.
Erin| Im just trying to fit in better with Andys family. They all speak more than one language. Usually when Im there!
Dwight| You wanna learn a really impressive second language? Try dothraki. Win over any man in my guild.
Dwight| Dothraki is the native tongue of the nomadic war-mongering horse lords of Essos as featured in the superb Home Box Office series, Game of Thrones. It has a lot of nudity. Which I fast-forward through to get to the chopped-off heads.
Dwight| I could teach you if you want. Its a lot easier than French.
Erin| Yeah!  Lets do it!
Dwight|  Atherozar!
Erin|  Oh!
Dwight| It means â€œexcellentâ€. And we have begun.
Pam| . Is everything okay?
Nellie| Hmm? Ohâ€”oh, yeah. Yeah, yeah, yeah, fine. Fine, fine, fine.  Im mean, I dâ€”I just dont wannaâ€”burden you with my massive stress freak outs!
Pam| Great.
Nellie| Its just that I am taking my drivers license test in two days, and I need to practice with an experienced driver in the car. But Ive had no time to do that, thanks to â€œDemandyâ€....  I just want to hit the open road and drive, man! Butin whos car?
Andy|  Nellie! Get your wrinkly old balls in here.
Nellie| 
Pam| Nellie, I could practice with you in my car at lunchtime.
Nellie| Oh, Pam, thank you! You are my savior!  
Nellie and Pam|  ohhhhhhhhhhhhhh!!!
Pam|  Im sorry, Im leaving you alone for lunch.
Jim| Dont worry about it. I have a thing. A thing of soup. Which Ive been wanting to try.
Nellie| This is my research into how we might produce child-proof paper that doesnt give you paper cuts. We cant. And here is a print out of your genealogy from thisisyourfamilytree.com
Andy| Executive-summary me. Hit the highlights.
Nellie| Well, it turns out, you are a distant blood relative of Michelle Obama!
Andy| As in...
Nellie| Wife of Barack, loves gardening, wants to wipe out fat children.
Andy|  Wow!
Andy| This is super-flattering. Shes the most popular person in America. This is a big day for both of us.
Andy| My fellow Americans, I have a feeling my approval rating is about to go through the roof. Turns out, I am related to Michelle Obama.
Erin| I was intimidated by Andys family before. And now I have to see the First Lady at holidays? Shes gonna be like, â€œWhats your stance on politics?â€ Or, â€œWhat is the best war to do?â€ And, I will just be like, â€œDuhhhh!â€
Andy| Alright! We gotta get rid of all this junk food. Get fit, America! Not sure if the buzz has reached the annex yet, but uh...Im related to Michelle Obama.
Pete| Yeah we noticed early on, Andy really appreciates enthusiasm.
Clark| So we decided the best way to get ahead here is to be his cheerleaders.
Clark| Oooohhhhhhhh!
Clark| Its starting to have this reverse effect, though, where I really do think the stuff he does is awesome.
Pete| Yeah, me too. Its weird. Hard to remember whats real at this point.
Clark| Just clap through it, man.
Darryl| You log in sales at ten different times. If you log â€˜em all at once, you save a lot of time. Its called batching.
Jim| That was really good, Darryl.
Darryl| Life hacking, man.
Andy| There he is!
Jim| Andy, you gotta check this out. He just showed meâ€”.
Andy|  Ahhhthathathathathta. Right now I need canned tuna, okay? Darryl, guess which talented individual, who also has a killer singing voice, is related to the First Lady?
Darryl| Tracee Ellis Ross. Daughter of the First Lady of Motown, Diana Ross.
Andy| Its me!  I am related to Michelle Obama.
Darryl| What?! Really?
Andy| I mean, its distant, but...
Darryl|  Huh ha! Thats cool, man.
Andy| Right?
Andy| Darryl said, â€œCool, man.â€ He called me as cool man.
Pam| You know, I really do think it would be worth it to pull over and just take ten minutes to eat.
Nellie| Mmmmâ€”the thing is Pam, Im gonna be eating while Im driving, so, I might as well get good at it.
Pam| Brake lights. Break lights! Break lights! Break lights!!!
Nellie| Whhooooo!
Oscar| Im just saying, what does it imply in this country when a white person shares an ancestor with a black person?
Phyllis| You think that Andys family owned slaves?
Stanley| Well somebody owned somebody. And I dont think anybody would buy an Andy.
Dwight| I throat-rip.
Erin| Foth aggendak!
Dwight| You throat-rip.
Erin| Foth aggendi!
Dwight| He/she/it throat rips.
Erin| Foth aggenda!
Dwight| More of a, barbaric growl.
Erin|  Forth aggenda!
Dwight| Louder! Youre shouting it from the back of a horse!
Erin| Wah!! Aggenda!!
Pam| Pretty crazy about Andy and Michelle Obama, huh?
Nellie|  Yeeeeahhhh! Its almost unbelievable!
Pam| What?
Nellie| Well, you know how Andy has been really salting my onions, lately.
Pam| Sure.
Nellie| Well, when he asked me to look up his ancestry online, I remembered that news story about Michelle Obama having white relatives, and I just knew he would eat that up!
Pam| So hes not related to Michelle Obama?
Nellie| Pam, I barely know how to turn on my computer.
Pam| 
Pam| Nellies pretty fearless. And I think she might be maybe even almost sort of fun.
Nellie|  Pam! .
Pam| 
Oscar| Well, if theres another explanation, I dont really see what it could possibly be. Iâ€”
Andy| Whats going on here? Im related to the first lady, okay? Get over it.  I still need weekly status reports from most of you, sooooo, can we get back to work, please? Get back to work! .
Oscar| Andy! Andy! No! I would be very polite today.
Andy| Why? Is it employees day or something? I cannot keep track of these BS holidays.
Oscar| Your connection. To Michelle Obama has certain... negative connotations. Most likely, your family wereâ€”slave owners.
Andy| Does anyone else think its possible that I come from slave owners?
Darryl| Whoa! That person has really gotten him or herself into quite a predicament.
Andy| Hey mom, its Andy. Give me a call when you get a chance gotta quick question for you, uhhhh no big deal just about Americas national shame, thanks, Bye.
Erin| Addor!
Dwight| Daraas!
Erin| Qazer!
Dwight| Daraas!   Does anyone here have fermented mares milk?
Pete| Hey Erin!
Erin| Azem choma! Chomakka-attun!
Pete| Ohâ€”okay. Sorry.
Nellie| Oh, still, it must great to have something else going on outside of work.
Pam| Yeahâ€”turn signal. Its exciting to be painting againâ€”those are the wipers. Soâ€”theâ€”itsâ€”just. There you go! Yeah.   Yeah, things get so busy with the kidsâ€”red lightâ€”that its nice to have that creative outletâ€”red light! Red light! Red! Red!
Nellie| That is brilliant, Pam. I would love to see some of your work.
Pam| Well, since were stopped at a light, uhhh, here is...the mural I did for Angelas baby.
Nellie| Thats amazing, Pam! Oh, I love the lion in the tuxedo!
Pam| Angela insisted that all the animals be fully clothed.
Andy| . Heyyy, has anyone turned in their status reports up here?
Erin| Vos!
Andy| So, no? You think maybe you could remind people? Im trying to down play the whole bossy boss thing today.
Erin| Because of your slaves.
Andy| Not my slaves, my ancestors. Maybe. Probably not.
Erin| Well, if it makes you feel any better, the dothraki word for â€œslave masterâ€, â€œattafrauk!â€, is a term of respect. Im learning how to speak dothraki! Color you impressed?
Andy| That youre learning a made-up language from HBOs Game of Thrones?  I have a lot going on today...but this was a great nerd-out!
Erin| Dwight, you didnt tell me you were teaching me a fake language.
Dwight| People laughed at Klingon at first, and now you can major in it.
Andy| Hi guys.
Phyllis| Hey boss! I am so thirsty. Could I have a scoop of water?
Andy| Yeah. You dont have to ask me.
Andy|Pam
 Good. Very good. Ohâ€”no! Here. Its, uh, a text from Andy. â€œNew special proj. Need fam tree for evbody. Really dig up dirt A.S.A.P.â€ And then in parentheses, he wrote out â€œas soon as possible.â€|Nellie
 Mm. Ugh, looks like its pretend-y time again. Write back, â€œlooking for dirt.â€|Pam
 Oh, can I help? We could say someone is related to, uhm, Tonya Harding.|Nellie
 Pam, Im related to Tonya Harding.|Pam
 Ohâ€”geeâ€”Imâ€”|Nellie
 No! Im just practicing my lyyiiinggg!  I love it.|Pam
 Brilliant!|Nellie
 What should we say about Jim?|Pam
 Ummm. Oh! Ill say hes related to Richard Nixon. Its an inside joke. He looks really Nixon-y when he wakes up.|Nellie
 My ex behaved like Nixon. All of the lying. None of the sexual charisma.  I just made a joke there.|Pam
 Im sorry. Its just, uhm, I actually do have this weird feeling that theres something Jim isnt telling me.|Nellie
 Oh no! Oh! An affair! It is always an affair!|Pam
 Jim? No.|Nellie
 . How can you be sure?|Pam
 Because he just loves me too much.|Nellie
 Youre a cocky little thing, arent you, Pam?|Andy
 Ive done a little genealogy research of my own. Turn out Im not the only one with a few skeletons in the ol family closet. For example, Phylliss great-great grandmother was responsible for spreading cholera to the United States.|Angela
 Ew.|Andy
 Kevin is related to both John Wayne Gacy and John Wayne Bobbitt.|Kevin
 And John Wayne?|Andy
 No. Not that I see here.|Kevin
 Wayne Johnson? The Rock?|Andy
 You mean Dwayne? And no. What about Jim Halpert? Uh oh! Turns out, distant relative of the reviled, Richard Nixon!|Jim
 Pam always says I look like Nixon. Thats crazy, right? I mean theres nothing there. Trueâ€” Oh no.|Andy
 Dwights grandfather was aâ€”.|Dwight
 Was a member of the Bund. Which is not technically the same thing as the Nazi party. So|Andy
 I was gonna say he was a tax evader.|Dwight
 Oh. I was joking about that whole Bund thing. Oh ho, the look on your faces! Hahhahahahahah! Hahahahahah!|Andy
 And Meredith is a blood relative of Lizzie Borden.|Meredith
 Cool! Ah! Ah! Ah! Ah! |Angela
 Stop it! Stop it! Youre frightening me!|Phyllis
 Andy, did you call this meeting just to talk junk about our families?|Kevin
 Yeah, thatâ€”youre being really mean, Andy.|Dwight
 Yeah, Andy.|Andy
 No, Im proving a point, okay? We all have ancestors who may have done horrible things in the past. But its in the past and its not our fault. So we dont have to talk about it.|Oscar
 The difference is, Andy, that youre the only be here still benefitting from the terrible things that your ancestors did.|Andy
 Mightve done. And how do you figure?|Oscar
 Your familys rich! I have to believe that a big part of the Bernard fortune was earned on the backs of slaves.|Andy
 You know, theres nothing wrong with being successful in America, Oscar! Im not gonna apologize for my familys wealth. That wealth, could one day benefit society...if capital gains are ever taxed as the same rate as earned income.|Andy
 Yo, d-dog. I need your help. Im trying to think of things I can say that make it sound like I had a more difficult childhood than I actually had.|Darryl
 Youre gonna po mouth|Andy
 Exactly. Help me po mouth, Darryl.|Darryl
 Actually, Andy, you promised me five minutes to talk about productivity suggestionsâ€”|Andy
 What if I said that my dad beat me. And, I just left out the croquet of it all. Or, I could just go all the way and just say I grew up in an apartment. Or is that too crazy?|Darryl
 That could work.|Andy
 You now, Darryl, this is textbook assistant regional manager stuff here, and I feel like Im doing all the heavy lifting. Im coming up with all the ideas here.|Darryl
 Im going for a walk.|Andy
  Okay.|Pam
 Good. Good. Andâ€”|Jim
 You doing alright, man?|Darryl
 Im done. I gotta get out of here.|Jim
 Yeah. Not the easiest day to be assistant regional manager.|Darryl
 Its not just today, its everyday. It seems like the better title I have, the stupider my job gets.|Jim
 Oh, come on, it can always get better. Right?|Darryl
 Hmm. Yeah right|Jim
 No, Im serious. Theres always something better.|Darryl
 Like what?|Jim
 Like hypothetically if I said there was another job. That you and I could both have.|Darryl
 What kind of job?|Jim
 Something cool. Like, sports marketing or... that sound something like youd be into?|Darryl
 Hell yeah!|Jim
 Right?|Darryl
 That sounds awesome!|Jim
 Ok, but wait. What if I told you that it was in Philly! So youd have to...|Darryl
 I love Philly!|Jim
 Right?|Darryl
 Its not even a thoughtâ€”|Jim
 Not even a thought!  Its not even that far away! I could still commute! Exactly. Exactly! Alright!|Darryl
 What? Wait, wait, wait? So what? This happening?|Jim
 Oh, its happening!  Lets just keep it between you and me for right now.|Darryl
 Yeah. Yeah, yeah, yeah. For sure. For sure. for sure. Man!  And Pams into it?|Jim
 We, uh, we havent talked about. But I think that shesâ€”I think she understands... what this is.|Darryl
 Oh, come on, man. I thought you had something real.|Jim
 What? No, no, no! Come on! This is real!|Darryl
 Its not real... until your wife is on board.|Pam
 So what did you want to show me?|Nellie
 That is quite an ugly wall, isnt it?|Pam
 Yeah. Its really ugly|Nellie
 Needs something, doesnt it? Im thinkinga mural.|Pam
 You mean me?|Nellie
 Yes! You! You are soo talented! Its going to be my next special project. Hiring Scrantons most dangerous young muralist to paint the warehouse wall.|Pam
 Oh my god! I love it! Uh, Iâ€”Nellie, this is brilliant!   Hey!|Jim
 Hey! Can I talk you? For a second?|Nellie
 Anything you have to say to her, you can say to me. She never loved you!|Pam
 What?! No! I-I got this.  Okay?|Nellie
  This is his fault. It is not your fault. Im gonna find you someone better, and rich.|Nellie
 And Filipino. But well break that to her later.|Nellie
  You know what this is all about.|Darryl
 Yeah. You too, huh?|Nellie
 Yeah. Go on, spill it. Tell her all the gory details, youuuu sssnake!|Darryl
