Dwight| This year I decided to really get into the spirit of Halloween.
Erin|
Dwight|  It may have been the costliest decision Ive ever made.
Dwight| My greased up head went into the pumpkin no problem, but ...
Jim| It wont budge.
Dwight| I cant get it out. Try again!
Dwight| I mean, I could try destroying the pumpkin...
Dwight|  Jim, no. No. No! No!
Dwight| But as Jim and I discovered...  No! ... any blow to the pumpkin itself could prove fatal to me.
Dwight|  At first I drove myself crazy thinking about the things I should have done differently. I never should have played that joke on Erin. I never should have hollowed out this damn pumpkin in the first place. Then I realized that I was being silly. I mean the pumpkin should rot off of my head in a month or two. Right?
Erin| Hey guys.
Pam| Hey.
Erin| Pam, what are you?
Pam| I am Dr. Cinderella.
Jim| Ceces really into princesses now. So we decided to turn them into a positive female role models.
Pam| Im an oncologist and you are a dog.
Erin| No, Im a puppy. Dang it! I was worried that would happen.
Jim| Its Okay.
Erin| Uh, Jim, youre not dressed up at all.
Jim| Sure I am. I am... one of the Men in Black guys.  Can I have your sunglasses?
Erin| Jim, come on. I thought we were past this.
Pam| So the sports marketing business that Jim told everyone about except for me?
Jim| Theres a big investment lunch today, so I decided to skip the costume.
Pam| Unless he has a secret costume that he told everyone about except for me.
Jim| Gettin a lot of mileage out of this, arent ya?
Pam| Yeah, well, get used to it, bud.
Andy| A jitterbug.  You guys look great! Just a reminder. The party is right after lunch, so make sure you get all your work done before that or throw it out. Any questions?
Angela| The senator will be joining us later.
Andy| Not a question.
Angela| No, it wasnt.
Andy| Excellent. That reminds me, has anyone seen Treble? Anyone? I could have sworn I saw some Treble somewhere.
HCT|
Andy| Oh, ladies and gentlemen, Here Comes Treble!
HCT|
Andy| Aaah!  So good!
Dwight| What lab did these little clones escape from?
Andy| My Cornell a capella group.
Pam| You were in an a capella group?
Darryl| You went to Cornell?
Andy| Yah! ah. Okay. Ha ha ha ha. But you have no idea how lucky you are because HCT is doing a set at our halloween party.
Stanley| Ugh. I dont want to sit through a whole concert of that.
Clark| I do. I love the bosss interests.
Andy| Atta boy Clark!
Meredith| Where you boys stayin? How does it work in the rooms? Do you get a privacy partition?
Andy| No. Nope. Nope nope nope. Stay away.
Andy| You know what I just realized? They might actually call me up to solo on George Michaels Faith. That was one of my signature songs. Oh, man. That would be insane. Im so not prepared.
Jim| Are you sure youre okay with me putting in this much money.
Pam| Yeah. I mean, listen if were gonna do this thing, we should do it right.
Jim| Youre the best.
Pam| I kind of am. Its crazy.
Jim| Okay. Ill see you in a little bit.
Pam| Okay.
Dwight| Jim. Look Im eating you.
Jim| Shut up.
Dwight| Ha ha. Hey Erin, look, these are Nerds. Im eating Jims.
Erin|
Dwight|  Must eat more Jims. Oink oink oink oink.
Erin|  Stop it! Stop it! Stop it!
Dwight| Oh no, Im spilling Jim all over the carpet.
Erin| Stop it stop it stop it stop it!
Dwight|  Hello little pill. What do you do?
Dwight| Dumatril is licensed to treat anxiety symptoms, such as panic attacks, excessive worrying, and fear. Translation Theres a madman in our midst.
Pam| Okay I give up. What are you?
Nellie| Im sexy Toby.
Pam|  Gross. I love it.
Dwight| Dumatril!
Nellie| Something wrong Dwight?
Dwight| Dumatril.
Nellie| Yes?
Dwight| This is a pill that I found here in the office. But its not for worms or eczema like any normal pill. Its not for any disorder of the body.  Its for a disorder of the mind.
Nellie| The mind is part of the body.
Dwight| Okay, this is a pill that combats insanity, okay? Whoever is taking it is not only insane...  They are now off their meds.
Nellie| Dwight, our co-workers health issues are really none of our business so-
Dwight| Why are you trying so hard to bury this thing, huh? Whats going on Nellie? Talk to me.
Nellie| Hm?
Nellie| Its my pill. I have an anxiety issue and Im not ashamed of that, But Im not loving the idea of Dwight having that information. I once saw him yell at Phyllis for sneezing wrong.
Nellie| Yeah, youre right. This man needs to be apprehended.
Dwight| Ill get my apprehension kit.
Andy| Ruh duh duh da dudes! Whats up?
HCT|
Andy| I know that its pathetic to re-live your college years, but cut me some slack, Okay? Because I was a freaking rock star in college. When I joined Here Comes Treble, thats when I became somebody. When I got the nickname "Boner Champ," that is when I became me.
Andy| You didnt come here to sit in a room, right? You came here for some intergenerational bro time. Well, nows your chance! Im here. You got Qs; I got As.
HCT Member 1| Did you say youve got AIDS?
Andy| No, I dont have AIDS. Thats not what I said. Next question.
Andy| You dont have any-- Any questions about the old days?  You at least want to know why they call me Boner Champ?
HCT Member 2| I thought Broccoli Rob was the Boner Champ.
Andy| Im sorry, what?
HCT Member 2| I just thought Broccoli Rob was the Boner Champ.
Andy| Broccoli Rob was Broccoli Rob. Andy Bernard is the Boner Champ.
Pete| I didnt realize that everybody here dresses up every year.
Creed| Me neither.
Creed| Its Halloween. That is really, really good timing.
Andy| I was just talking to some of the actives, and they think that youre Boner Champ.
Broccoli Rob|  Im so sorry! I dont know how that could have happened.
Andy| Did you maybe tell them that or...?
Broccoli Rob| I just-- I just started yappin about the old days, and I guess the wine coolers were flowing, and, you know, somehow things just got hinky.
Andy| Could you just call them and tell them the truth? Cause I know its really stupid, but its also really, really, really important.
Broccoli Rob| Will do. I love you, Andy.
Andy| Love you too.
Businessman 1| So the workspace looks awesome.
Jim| Wow.
Businessman 2| And the graphic designer is going to be sending in some of the logo treatments. I cant wait to see them.
Businessman 3| You guys rock.
Businessman 1| I killed it.
Businessman 2| Ive also been running the numbers and between our backers and our own investments, were looking great for a full year on this.
Jim| Oh, uh, is it too late to get in?
Businessman 3| Oh Jim, I explained everything. So youre all set.
Jim| Oh, I actually talked to my wife and wed really like to uh you know, invest - get in on the ground floor.
Businessman 2| Wow, well what level of investment were you thinking about?
Jim| We were thinking somewhere between five - ten thousand? I can do the full ten thousand. We should just -  - all in.
