Oscar|  Can you guys come with me for a minute?
Oscar| I know you saw me with the Senator. I think Im in love, possibly for the first time. So yes, Senator Lipton and I are having an affair.  I hope that I can count on your sensitivity, maturity and discretion. ...Why?
Andy| Alright, good. Yeah. Just sell it and get the best price you can, okay?
White| Or we can hope for a holiday rally?
Andy| White, Im not a day trader, Im just a first responder in a disaster.
Pam| Andys family had a total meltdown.  His dad blew through all their money and took off to Argentina with a younger woman.
Jim| And his brother, Walt Jr., locked himself in the wine cellar.
Pam| The weirdest part is Andy. The aftermath got dumped on him and the way hes been handling it is just..so..
Jim| Competent.
Pam| Right?
Andy| Are the Nards hurting? Yeah, you bet. Got kicked pretty hard. Family shattered, super sad. But, Im kinda crushing it in the damage control department. So, thats cool. I wish my dad could see me now. Of course he caused this whole mess, so,  him.
Oscar| Kevin, listen to me. Im in love with the Senator. And I need time to sort this out in a responsible matter so I need your help in keeping it a secret because this means the world to me. Ok?
Kevin| Thats beautiful. No, I totally get that.
Oscar| Can you do this, Kevin?
Kevin| I really want to. Whatever happens, always remember that.
Oscar| I dont know what that means. Hey, hey-
Pam|  Oh, great! Yeah, um, Ill get right back to you.  Hey guys! Anyone ever heard of Iris Black on the radio?
Creed| Yeah, she hosts the Dr. Laura Show.
Pam| Nope, thats Dr. Laura. Well, her show Biz Whiz wants someone from Dunder Mifflin to come on the air today. Does anybody feel particularly passionate about local business issues? 
Dwight| I do! I do. I do. I do. I do.
Dwight| The media can make you famous. And do you have any idea how easy it is to sell something when youre famous?  â€œUh, yeah wow. 10 reams of 40 pound bond at only $690 after discount? Um, whatever you say, Brad Pitt.â€ Its that easy.
Meredith| Hey, so that good looking single brother of yours? Heard hes on a downward spiral with booze.
Andy| Yeah. Hes in rehab actually.
Meredith| Which place? The one right near Philly? I could be there in an hour.
Andy| No, its in New Mexico.
Meredith| Oh...So..- how are you holding up?
Andy| Were done Meredith.
Dwight|  blah blah blah, rat tat tat tittle tattled and prattled on about the little metal bottle, she spat a bit of spittle...
Jim| Dwight!
Dwight| ...In a bitter battle..Hey, hey! Stop questioning my methods, OK? I was chosen for this task for a very good reason.
Jim| No, you chose yourself.
Dwight|  Tricky siskel spat a bit of wicked biscuit....
Andy| Alright, guys. A lot of assets here that my dad couldnt steal.  Now, first of all, there is the family boat. 43 foot Tartan Sloop. My lawyer has lined up a buyer in the Bahamas, the sale would cover the cost of a condo and living expenses for my mom.
Darryl| Sounds great.
Oscar| Perfect.
Andy| Totally, except it is a no go. This boat was the heart and soul of the family. So...what else we got? Non-boat ideas. 
Kevin| What happened?
Angela| Jammed. This day couldnt get worse. 
Kevin| Yeah, I think this day could get worse.
Angela| What does that mean?
Oscar| Kevin!
Kevin|  I dont know what youre talking about. 
Erin| She could get like sixty packages of Ramen noodles for five bucks. She could eat for a month.
Andy| Alright, whats the grand total? Did we make our nut?
Darryl| If we sell everything but the boat, your mom should be set for about six months.
Andy| Guys, you dont understand, this boats been in our family since before I was born.
Erin| Dont you guys have that place where you used to spend your summers and have all those memories?
Darryl| I worked at a Jiffy Lube.
Erin| See? I bet you wouldnt sell that Jiffy Lube for all the money in the world. Would you Darryl?
Darryl| I would if I owned it and I went broke.
Andy| Alright, uh...alright. Im gonna tell the lawyer to pull the trigger on the boat.
Andy| Yes the boat means everything to my family, but we need the money. Got the memories, dont need the boat. Cant cry about it.  What are you gonna do? Cry about it?  Excuse me.
Pam|  Oh, OK. No problem. Thanks. Hey guys, WPTU called.  The interviews off. Theyre opening a new cupcake store at the Steamtown Mall and Iris wants to cover that, so...
Nellie| Well why dont I go and tell Dwight so he can stop being such a complete nipple.
Pam| Hes gonna be disappointed.
Jim| Yes. He is. And you know what? We cannot let that happen.
Pete| Fax?
Erin| Oh yeah, just. Watermelon teeth. This isnt how I would cheer up just anyone. But, its a girlfriends job to know her man and I know Andy.  Hes seriously juvenile.
Pete| Cool. Hes like 40 though, right?
Erin| Oh no, he couldnt be more than late thirtys. Tops.
Pete| Awesome. Have fun.
Dwight| Vroom! Dunder Mifflin. Dunder Mifflin. Good. Sounds-  This is Dwight Shrute.
Pam|  Please hold for Ms. Black.
Nellie|  And welcome back to Biz Whiz. Im Iris Black. On the line we have Dunder Mifflins senior sales associate Dwight Shrute.
Dwight| Iris, thank you so much for having me.
Erin|  Hey! My teeth are all this stuff in my mouth. 
Andy| Uh, did you need something?
Erin| Oh, I just need your signature on this.
Andy| Ok.  thanks.
Angela| Kevin, were out of 11-38 forms. Did you order more?
Kevin| I... did not.
Angela| I dont know why Im surprised. Literally nothing you do could surprise me anymore.
Kevin|  Oh really, Angela? Thats interesting. Cause I do think that I could surprise you. I think that I could surprise you..oh!  I have to go to the bathroom!
Angela| That doesnt surprise me.
Oscar| That actually wasnt the worst cover. Id say at least once a week, Kevin runs out of the room shouting that he has to go to the bathroom.
Jim|  See these forms...
Kevin| I have to go to the bathroom! 
Kevin|  I have to go to the bathroom!
Kevin| 
Erin| Ok, who wants to go for a super fun lunch with a super fun girlfriend?
Andy| Look, its not that I dont want-
Erin| Ok, come on. I got someone to cover the phones, I heard on the radio about a new cupcake place we could go for dessert...perfect.
Andy| All I ever wanted to do was sail the damn thing. But dad wouldnt let me. Said â€œYou cant be a skipper until youre a man.â€ You know, Id reach for the wheel and hed smack my hand away. Well guess what? Now Im the man of the family and... were selling the damn thing. So Im never gonna have the chance.
Erin| Well, when does the boat leave, exactly?
Andy| Tonight.
Erin| Then screw lunch. Lets go for a sunset sail.
Andy| Yeah right. Its in Stamford, Connecticut. We have to leave like right now.
Erin| Ok, well then lets leave like right now.
Andy| Yeah, ok.
Erin| Yeah! OK! Lets go.
Andy| Seriously?
Erin| Of course, seriously. Get your coat on.
Andy| Alright.
Erin| Alright.
Andy| Lets do it.
Erin| Lets do it!
Dwight|  Iris, let me tell you. David Wallace is the CEO, but hes not hands on.
Nellie|  So the day-to-day operations are entirely under your command?
Dwight| Entirely is the perfect way to describe it, Iris.
Nellie| Uh, excuse me.  Im being told by my sound engineer, Steve that uh there is a clinking sound coming from your end. Does your shirt have buttons?
Dwight| Yes..?
Nellie|  Im so sorry were going to have to ask you to remove the shirt all together.
Dwight|  Now then, we were saying.  When my workers-gather-
Nellie| Oh, Im so sorry. I am told we are still having problems Mr. Shrute.  Your voice, its sounding a little feminine.
Dwight| Thats impossible.
Nellie| Are you by any chance wearing pants with a metallic zipper?
Angela| The Senator is exhausted. This campaign is wearing him out.
Oscar| Thats a tough one.
Angela| That man hes up against is so dirty. And the senators just pushing back as hard as he can.
Kevin| Please, stop.
Angela| What?
Kevin| Please, stop.
Angela| Anyways, last night he was tired and just wanted a little Mexican brought in. 
Kevin|  I cant, its too much! 
Oscar| Im in big trouble.
Kevin| Yeah, Oscars in big trouble.
Dwight|  OK, how is my voice now?
Nellie| Im getting the all clear from Steve, so Mr. Shrute, what is your response to the consumer product safety commission that says Dunder Mifflin paper is toxic?
Dwight|  This is gotcha journalism. You know what? Theyre not gonna gotch me.
