Andy|  Ah, what else? Ive seen Dirty Dancing like, ten times.  Breaks my heart every time, you know?
Everyone| Whoa!
Pam| Andy.
Andy| That Swayze sure can dance dirty.
Phyllis| Dont you have any sunblock?
Andy| No, Walter J has been hoarding it. You want to worry about a part of my body, worry about my eyes.  Theyre like two flaming meatballs in my skull.
Erin| Last week Andy set sail for the Bahamas to sell his familys boat, and he took his brother, but not me. I was kind of sad at first, but then I remembered that Bob Marley song -- No, woman. No cry.
Andy|  Check this out. Keeps my hair out of my stare, also helps me combat the glare bear. Thats what I call the sun now.
Darryl| Andy, its Darryl. Take your drawers off your head.
Andy| What else can I show you? Oh, damn it!
Erin| Oh, Andy, was.. was that your drinking water?
Andy| Yeah, it was. Thats okay though. I got this cool desalinator device. It sucks up sea water through this hose and pumps out fresh water. See, check it out.  Ow!
Everyone| Oh!
Andy| Ah! Thats not good. I better sign off. I hate to get going. I mean these skype sessions are, like, the only thing that keep me sane out here, you know? 
Darryl| Hes been sailing for two days.
Andy|  I will leave you with this. The image of a man and his boat. Burn this into your brains.
Erin|  Yeah.
Andy| No. No! Nooo! 
Erin| Andy? Andy! Andy! Andy. Oh.
Dwight|  Dwight Schrute.  Well, hi there David Wallace. Why would you ever call me when the manager is out of town?
David|  Well, I have some very exciting news.
Dwight| And you didnt call Jim - that seems significant.
Jim| Hi, David.
David| Jim, good! You should hear this too.
Dwight| No, he shouldnt.
Jim|  Go ahead David, Im listening.
Dwight| Okay, David, I want to take you off speaker but... I dont know where Id put you.
David| Guys, listen, this is big news. The Scranton White Pages just got in contact with my office the day before yesterday. Theyve apparently just dropped the supplier theyve been with for the last ten years. .
Dwight| The White Pages.
Dwight| The White Pages Do you want it? No. Do you use it? No. Does it inexplicably show up on your doorstep three times a year? Yes, yes, and yes. Theres a reason that we in the paper industry call this thing â€œthe White Whaleâ€. Look at all that sweet blubber.
David| Look, we need our top salesman running point on this and Dwight, that is you.
Dwight| Im gonna need to put you on hold for a second.  Hah! Yah! Woooo! Eat it Jim! Eat it Phyllis! Eat... wheres Stanley?
Erin| Hes in the bathroom.
Dwight| Will you run into the bathroom and tell him to eat it?
Erin| Of course.
Dwight| Yeah! Okay.  Hey David, Im back.
Erin|  Eat it Stanley!
Dwight| So uh, last I remember Tom Peterman was in charge of that account?
David| No, I spoke with the receptionist over there. Its someone new but she didnt catch her name.
Dwight| Her name?
Phyllis| No, hey, Dwight shouldnt...
Dwight| Shhh!  Thanks David! Thank you so much for calling me!
David| Good luck!
Dwight| Good luck to you. 
Phyllis| Dwight, you cant go. You have a problem with women. You cant sell to them.
Dwight| That is a damnable lie. I love women.
Phyllis| Gina Rogers at Apex Technology said you called her â€˜gy-na for your entire meeting.
Nellie| Ew. Thats not good.
Phyllis| Yeah, she said she corrected him five times.
Dwight| â€˜Gy-na said that?
Phyllis| Guys, we cant let Dwight blow this. An account this size could double our growth. That means raises, bonuses... Pizza Friday could come back.
Meredith| Hey remember that week in the 90s when we got bagels?
Creed| I miss Clinton.
Pam| Can you go instead?
Jim| I cant. I have the thing.
Jim| I have this conference call today with this company in Philly that Im helping start. Ah, first board meeting. Also, the first time Ive ever been excited about work. So, that feels... wrong.
Pete| Okay, call down. Its just me, not Tom Selleck.
Guys in breakroom| 
Kevin| Nice!
Pete| Toby got us all to participate in Movember. Its a charity for prostate cancer. You pledge money and then you grow a mustache for the month of November.
Clark| So, this is how we look now. I hope you like being turned on all the time.
Darryl| Daaaaamn! It just keeps on coming, huh?
Toby| I have very fertile hair glands.
Toby| I am so glad I got all of the dudes to do Movember. We have the dopest time back in the annex.
Clark| God!
Toby| We even go to lunch, pick up babes.
Toby|  Smile if you love mens prostates.
Angela| Hi.
Oscar| Hi.
Angela| Spring cleaning?
Oscar| More like fall cleaning. 
Angela|  I think the senator is having an affair.
Oscar|  This doesnt... Im sorry. Wha... what?
Angela| I think the senator is having an affair.
Oscar| I literally have nightmares in which what just happened happens. I wake up in a sweat. And then I make Angelas husband spoon me back to bed.
Angela| When he comes home in the morning, he has this secret little smile.
Oscar| Oh, Im sure ...thats nothing.
Angela| And hes always at the yoga studio. He never misses the noon class - its Hot Yoga with Blake.
Oscar| Angela, Blakes also a guys name so he... may be spending his afternoons with a guy named Blake. So nothing to worry about. Huh. Blake. Who is Blake?
Angela| I dont know.
Oscar| I just never heard about the senator and yoga...
Angela| Right.
Oscar| From you. Im sure its probably nothing. But whats with the yoga already?
Angela| Right?
Oscar| And Blake! All right Angela, calm down! We need to go check this out.
Angela| What?
Oscar| Angela, Ill go with you.
Phyllis| So, uh, show us how youd normally sell to a female client.
Dwight| Okay. With pleasure. Get ready to learn a few new tricks, old dog.
Pam| Youve got this Schrute.
Phyllis| Okay, you just walked into her office and begin.
Dwight| Hello.
Erin| Hello.
Dwight| May I please speak to your boss?
Phyllis| No, she is the boss.
Erin| I am? Hmm..   Hi, Im Mr. Hannon.  How can I help you?
Dwight| Okay, this isnt working for me, â€˜cause no one would ever believe that she would be a boss.
Erin| Hes absolutely right. Im really struggling.
Pam| Oh, Ill be the buyer.
Dwight| 
Pam| Hello, Mr. Schrute, nice to see you. Please have a seat.
Dwight| I never sit down during sales  meetings. I want to appear aggressive and imposing. I am going to sell to you in twelve minutes
