Oscar| Yesterday, Angela may or may not have figured out that Im having an affair with her husband. So I just have to wait and see. When she comes in, if shes cold and awkward and cruel to me, then great, its business as usual.
Oscar| Good morning. 
Angela| Oscar...  can I ask you a question?
Oscar|  Of course, ask me a que-- Â questions.
Angela| Is it cool in here to you?
Oscar|  Yes, a little bit.  Yes.
Angela| I think the thermostat is acting up again.
Oscar| Its the stupid thermostat! That thing is a catastrophe. So Im gonna, um, on your suggestion, get someone to fix it. Ill just go downstairs.
Angela| Thank you.
Oscar| No, thank you, Angela.
Oscar| She doesnt know. I shouldnt be surprised. This is a woman who married a man who is obviously a homosexual. Basically, she has her head in the sand. In a way I feel sorry for her. I guess the universe rewards true love. 
Dwight| Well, well, well, its finally happened. Pam has ceased caring.
Pam| These are my painting clothes.I think Im gonna do it. I am really gonna start painting the warehouse mural today. 
Meredith| Sure you dont want to put another coat of primer on that Pam?Queen of the primer, that one.
Jim| You got this, Beesley. Actually, do you want me to come down and help you get started?
Pam| Are you avoiding your phone call?
Jim| What? Yeah, right. As if. 
Jim| Today I will be asking David Wallace if I can start working part-time, because the sports marketing company that I started really needs me to be there. 
Pam| Last week Jim wasnt there, and they named the company Athlead.
Jim| I could have prevented that. So I have to talk to Wallace. 
Pam| Tell them your opening line.
Jim|  Hey David, how would you like a guy whos not here as much, gets paid the same amount of salary, and has bigger fish to fry in Philadelphia?
Pam| I think its good. He likes fishing.
Jim| This is gonna be awful.
Pete| One of my jobs is to input customer complaints into the computer. And when theyre in, I fill out one of these cards. But the informations already on the computer, so....why am I filling out the card? I asked Andy, and he told me to â€œchillax,â€ and then went away on a big, long boat ride. So here we are. Dont give me a pointless office chore, because I will build a little paper house. Â Fight the power.
Angela| Meet me in the old place, five minutes. I need you. 
Angela|  Ugh!
Dwight| Come on in, the waters fine. 
Angela| Dwight, its not that kind of meeting. Put your clothes back on. 
Dwight| I know. Thats not why Im naked. I always work out without my clothes. 
Angela| Just put them on! Put on your clothes. I need your help. I need someone who can operate outside of the law. Ugh.
Dwight| Oh, Im sorry, your vigilante privileges ended when you broke up with me. If Im not in your panties, I dont go vigilantes. Why dont you ask your husband?
Angela| My marriage is in danger. I dont know who I can trust. I need someone to be there for me. 
Dwight|  All right, what are we talking? Surveillance, wire-tapping?
Angela| Â Something like that.
Dwight| Yeah, the less I know, the better. I know just the guy. He was a volunteer sheriff too. Kicked off the force. 
Angela| Can you arrange a meeting?
Dwight| I can try. Im gonna use SMS text.
Angela| Okay.
Dwight| Text went through. 
Angela| Okay.
Dwight| All we can do is sit and wait. 
Angela| Okay.
Dwight|  Oh, look at that. Yeah, hes free anytime. Not a problem. 
Jim| I mean, I can handle any client issues from Philly. 
David|  Yeah, but I really need someone in the office. If theres a crisis -- the more I think about it -- 
Jim| Oh, you mean handle it in person. Oh, well, Phyllis and Stanley have agree to cover for me while Im gone.
David| They did?
Jim| Yep.
David| Oh, okay. Well, that is different. In that case, yes-- Maybe this can work. 
Jim| Oh, great.
Stanley| Why should we help you?
Jim| Because were friends.
Stanley| When is my birthday?
Jim| Unfair. Whens my birthday?
Stanley| I dont know, because were not friends. 
Jim| How about this-- You let me take you to lunch, and I make my case?
Stanley| Now were talkin.
Jim| All right.
Phyllis| Yeah.
Kevin| Make it go taller.
Pete| Thats the idea.
Kevin| No, not taller this way, taller this way. 
Pete| Well, Ive gotta build a wider base first before I can go higher.
Kevin| Youre not getting this, Peter. Â Make it go wider... up!
Pete| Will do.
Darryl|  What are yall doing?
Kevin| Me and Pete are building a tower. 
Darryl| Cool. It should be taller though, right?
Kevin| Obviously. Hes a sweet kid, Darryl. But hes not the sharpest guy in the drawer. 
Pete| Kevin, I can hear you.
Kevin| Huh?
Angela| Ow! Dwight! Ow!
Dwight| Get in the van.
Angela| God!
Trevor| Is it safe to talk?
Dwight| Well, this documentary crew has been following our every move for the past nine years, but I dont see them so I think were good.
Angela| So what are your credentials?
Trevor| I started following people around to get exercise. Turns out, Im damn good at it. 
Angela| Do you have a gun?
Dwight|  Does he own a gun? Show her.
Trevor| You tell me.
Angela| What is this?
Trevor| Its the receipt for my gun.
Angela| You dont carry it with you?
Trevor| Read the receipt. Thats a $300 gun. Someone could steal it. 
Dwight| Do you have any idea how many guns Trevors had stolen from him?
Trevor| Now I keep it in a safe.
