Jim|  Im having second thoughts about one of the shirts I packed. The blue one with the stripes.
Pam| Im sure its fine. its a blue shirt.
Jim| Well, yeah, but Im wondering if its too blue. Like, am I making a statement with the blueness?
Jim| I am leaving early today for Philly, because tomorrow is the first day of my new job. So I figure Id get in at 500, check into a hotel at about 600 so I can get a real good night of restless sleep and nervous puking.
Dwight| Uh, excuse me. Trying to get work done. Some people dont care about Jims new sports job in Phila-Whatever.
Jim| So you know my job has something to do with sports, but you dont know the end of the word "Philadelphia"?
Dwight| Philadelphia. From the greek phila meaning "Love," and adelph, meaning "Adolf." "the city that loves Adolf." Good luck with your new enterprise and dont wear the blue striped shirt. It makes your neck look like an old mop handle.
Erin| Oh...Hey, guys, the Christmas party is today. Merry Christmas everyone!
Angela| No.
Nellie| Is It?
Erin| I mean, it says "X-Mas party," but I think we all know what thats code for.
Kevin| So were not going to have a Christmas party this year? Angela, how could you do this to us?
Angela| Oh, right, like Im responsible cause Im in charge of the party planning committee.
Kevin| Well, you are the one in charge of it.
Angela| Dont blame me for something we all forgot.
Oscar| Yeah, lets not blame her for something we all forgot.
Oscar| I didnt realize how many of Angelas opinions I agreed with, until she tried to have my kneecap shattered for sleeping with her husband. She makes a lot of very sound points.
Phyllis| I knew the party was today, but nobody asked me to plan it, so I didnt. Hmm, funny how that works.
Meredith|  Were out there sweating our balls off every day, bustin our balls. We deserve a Christmas party!
Nellie| Well, then, why dont we just get some liquor and those mini-Cupcakes?
Kevin| Mini-Cupcakes? As in the mini version of regular cupcakes, which is already a mini version of cake? Honestly, where does it end with you people?
Dwight| What about an authentic Pennsylvania Dutch Christmas? Drink some gluhwein, enjoy some hasenpfeffer. Enjoy Christmas with saint Nicolas rural German companion, Belsnickel.
Jim| Yes! That, that, that! Were definitely doing that. Are we all in agreement?
Kevin| No.
Angela| No!
Jim| Done, right?
Angela| No.
Stanley| No. I want Tropical Christmas.
Meredith| Topless Christmas.
Creed| Tapas swiss miss.
Creed| Spanish tapas, and swiss miss hot cocoa--Whats so hard to understand?
Dwight| Or, who was it that suggested the authentic Pennsylvania Dutch Christmas? I think it was someone really popular.
Phyllis| We already said no.
Angela| No, no, no.
Nellie| Too weird.
Dwight|  This is me and my family celebrating Pennsylvania Dutch Christmas in 1982 on the farm. Theres me and my brother Jeb breaking the ceremonial pig rib. He doesnt come back for Christmas anymore. The sepia tint is from an app on my phone. This is the same photo, matrix style.
Jim| Im not understanding the confusion. Am I the only one who wants to try hufflepuffs and schnauzerhosen, and meet this glenpickle guy?
Angela|  Party planning cimmittee, emgergency meeting. Now.
Pam| Im on it.
Jim| Right.
Pete| Im just hoping German terrorists dont take over this Christmas party. Make me go all John McClane on their asses.
Erin| Wait, German terrorists? Thats oddly specific. And I think--I think you mean John McCain.
Pete| Die hard reference.
Erin| I havent seen it.
Pete| You havent seen die hard?
Erin| Mm-Mmm.
Pete| Why havent you seen die hard?
Erin| I dont know, I just havent.
Kevin| Come on, you had to have at least seen some of it.
Erin| No.
