ENumber	EName	Rating
3.13	The Return	0.88
5.5	Employee Transfer	0.82
5.7	Business Trip	0.83
6.6	Mafia	0.77
6.21	Happy Hour	0.86
6.25	The Chump	0.79
7.3	Andy's Play	0.82
7.13	The Seminar	0.77
7.21	Goodbye, Michael	0.97
8.1	The List	0.82
8.2	The Incentive	0.81
8.3	Lotto	0.74
8.4	Garden Party	0.8
8.5	Spooked	0.76
8.6	Doomsday	0.78
8.8	Gettysburg	0.7
8.9	Mrs. California	0.78
8.1	Christmas Wishes	0.8
8.11	Trivia	0.78
8.2	Welcome Party	0.73
8.21	Angry Andy	0.73
8.22	Fundraiser	0.71
8.24	Free Family Portrait Studio	0.78
9.3	Andy's Ancestry	0.76
9.5	Here Comes Treble	0.71
9.6	The Boat	0.78
9.15	Couples Discount	0.75
9.16	Moving On	0.83
9.2	Paper Airplane	0.8
9.21	Livin' the Dream	0.88
