0,0
Dwight Schrute,|188 episodes, 2005-2013)|
Jim Halpert,|188 episodes, 2005-2013)|
Pam Beesly,|188 episodes, 2005-2013)|
Stanley Hudson,|188 episodes, 2005-2013)|
Kevin Malone,|188 episodes, 2005-2013)|
Angela Martin,|188 episodes, 2005-2013)|
Phyllis Vance,|188 episodes, 2005-2013)|
Meredith Palmer,|187 episodes, 2005-2013)|
Creed Bratton,|180 episodes, 2005-2013)|
Oscar Martinez,|177 episodes, 2005-2013)|
Ryan Howard,|168 episodes, 2005-2013)|
Kelly Kapoor,|161 episodes, 2005-2013)|
Andy Bernard,|152 episodes, 2006-2013)|
Toby Flenderson,|142 episodes, 2005-2013)|
Michael Scott,|139 episodes, 2005-2013)|
Darryl Philbin,|120 episodes, 2005-2013)|
Erin Hannon,|102 episodes, 2009-2013)|
Gabe Lewis,|51 episodes, 2010-2013)|
Jan Levinson,|42 episodes, 2005-2013)|
David Wallace,|37 episodes, 2006-2013)|
Nellie Bertram,|34 episodes, 2011-2013)|
Roy Anderson,|31 episodes, 2005-2012)|
Karen Filippelli,|26 episodes, 2006-2011)|
Robert California,|25 episodes, 2011-2012)|
Bob Vance,|25 episodes, 2005-2013)|
Hank,|22 episodes, 2005-2013)|
Pete,|21 episodes, 2012-2013)|
Clark,|19 episodes, 2012-2013)|
Nate,|19 episodes, 2010-2013)|
Holly Flax,|17 episodes, 2008-2011)|
Todd Packer,|15 episodes, 2005-2013)|
Val,|14 episodes, 2011-2013)|
State Senator Rob Lipton,|14 episodes, 2010-2013)|
Mose,|13 episodes, 2006-2013)|
Cathy Simms,|12 episodes, 2011-2012)|
Jo Bennett,|8 episodes, 2010-2011)|
Helene,|8 episodes, 2009-2013)|
Hidetoshi Hasagawa,|8 episodes, 2009-2013)|
Josh Porter,|8 episodes, 2006)|
Charles Miner,|7 episodes, 2009)|
Carol Stills,|7 episodes, 2005-2013)|
Madge,|7 episodes, 2005-2011)|
Justin Spitzer,|7 episodes, 2006-2013)|
Hannah Smotridge-Barr,|6 episodes, 2006)|
Brian,|5 episodes, 2013)|
Donna,|5 episodes, 2010)|
Nick,|5 episodes, 2008-2010)|
Gino,|5 episodes, 2006-2011)|
Esther,|5 episodes, 2013)|
Cecelia Halpert,|5 episodes, 2012-2013)|
Deangelo Vickers,|4 episodes, 2011)|
Leo,|4 episodes, 2006-2009)|
Athlead Employee,|4 episodes, 2012-2013)|
Rolf,|4 episodes, 2009-2013)|
Isaac,|4 episodes, 2012-2013)|
Cecelia Halpert,|4 episodes, 2012-2013)|
Devon White,|4 episodes, 2005-2013)|
Katy,|3 episodes, 2005-2006)|
Lonny,|3 episodes, 2005-2007)|
A. J.,|3 episodes, 2009-2010)|
Matt,|3 episodes, 2009-2010)|
Dan Gore,|3 episodes, 2006-2007)|
Hunter,|3 episodes, 2007)|
Kenny Anderson,|3 episodes, 2007-2012)|
Jordan Garfield,|3 episodes, 2011)|
Mr. Beesly,|3 episodes, 2009-2010)|
Tony Gardner,|3 episodes, 2006-2011)|
Jake Palmer,|3 episodes, 2006-2013)|
Zeke,|3 episodes, 2013)|
Elizabeth the Stripper,|3 episodes, 2007-2013)|
Jada,|3 episodes, 2010-2012)|
Ravi,|3 episodes, 2012-2013)|
Kendall,|3 episodes, 2008-2009)|
Tom Halpert,|4 episodes, 2008-2013)|
Sensei Ira,|2 episodes, 2005-2013)|
Trevor,|2 episodes, 2012-2013)|
Vikram,|2 episodes, 2007-2009)|
Alex,|2 episodes, 2008)|
Pete Halpert,|2 episodes, 2008-2009)|
Danny Cordray,|2 episodes, 2010)|
|Walter Bernard, Jr.|,|2 episodes, 2011-2012)|
Gideon,|2 episodes, 2011)|
Young Michael Scott,|2 episodes, 2006-2007)|
Blonde Kid,|2 episodes, 2005-2006)|
Gerald Halpert,|2 episodes, 2009-2010)|
Wesley Silver,|2 episodes, 2013)|
Sadiq,|2 episodes, 2005-2007)|
Dana,|1 episode, 2006)|
Mr. Schofield,|1 episode, 2009)|
Grotti,|1 episode, 2009)|
Pam's Mom,|1 episode, 2005)|
Son,|1 episode, 2009)|
Pretzel Vendor,|1 episode, 2006)|
Ben Franklin,|1 episode, 2007)|
Mother,|1 episode, 2009)|
Clay Aiken,|2 episodes, 2013)|
Alice,|1 episode, 2009)|
Sweeney Todd,|1 episode, 2010)|
Fred Henry,|1 episode, 2011)|
Glenn,|1 episode, 2012)|
Athlead Employee,|1 episode, 2013)|
The Bartender,|1 episode, 2007)|
The Fingerlakes Guy,|1 episode, 2011)|
Mark McGrath,|1 episode, 2013)|
Aaron Rodgers,|2 episodes, 2013)|
Alice,|1 episode, 2013)|
Chet Montgomery,|1 episode, 2006)|
Clark,|1 episode, 2010)|
Merv Bronte,|1 episode, 2011)|
|Dakota, Kevin's Replacement|,|1 episode, 2013)|
Santigold,|2 episodes, 2013)|
Casey Dean,|1 episode, 2013)|
Cpl. Miller,|1 episode, 2013)|
Producer,|1 episode, 2013)|
Gabriella,|1 episode, 2013)|
The Bartender,|1 episode, 2013)|
Sconesy Cider,|1 episode, 2010)|
Caterer Greeting Guests,|1 episode, 2013)|
Seth Meyers,|1 episode, 2013)|
Athlead Office Employee,uncredited)
David Brent,uncredited)
Conan O'Brien,uncredited)
Sam,uncredited)
Boy at Table,uncredited)
Auditionee,uncredited)
Kaitlyn,uncredited)
