character,season,episode,percent
Michael,1,1,0.3537117904
Michael,2,1,0.3694581281
Michael,3,1,0.2285714286
Michael,4,1,0.2798353909
Michael,5,1,0.4470046083
Michael,6,1,0.3063583815
Michael,7,2,0.373540856
Michael,8,2,0.3533568905
Michael,9,2,0.2943262411
Michael,10,2,0.2163009404
Michael,11,2,0.4014869888
Michael,12,2,0.3171641791
Michael,13,2,0.2874015748
Michael,14,2,0.3759124088
Michael,15,2,0.2909090909
Michael,16,2,0.3140794224
Michael,17,2,0.33632287
Michael,18,2,0.3406593407
Michael,19,2,0.3471698113
Michael,20,2,0.3869731801
Michael,21,2,0.2714285714
Michael,22,2,0.2227722772
Michael,23,2,0.2512077295
Michael,24,2,0.2883895131
Michael,25,2,0.3438735178
Michael,26,2,0.2333333333
Michael,27,2,0.3424124514
Michael,28,2,0.2575342466
Michael,29,3,0.3469387755
Michael,30,3,0.3612040134
Michael,31,3,0.2786259542
Michael,32,3,0.3487394958
Michael,33,3,0.1259541985
Michael,34,3,0.2629107981
Michael,35,3,0.2653846154
Michael,36,3,0.2637130802
Michael,37,3,0.2827225131
Michael,38,3,0.22406639
Michael,39,3,0.3211009174
Michael,40,3,0.1784386617
Michael,41,3,0.231884058
Michael,42,3,0.2996108949
Michael,43,3,0.270718232
Michael,44,3,0.2419354839
Michael,45,3,0.2896551724
Michael,46,3,0.2960893855
Michael,47,3,0.2510121457
Michael,48,3,0.1962962963
Michael,49,3,0.2739726027
Michael,50,3,0.3723404255
Michael,51,3,0.2476851852
Michael,52,4,0.2669404517
Michael,53,4,0.2541133455
Michael,54,4,0.2697247706
Michael,55,4,0.3008849558
Michael,56,4,0.2932692308
Michael,57,4,0.2918149466
Michael,58,4,0.2789699571
Michael,59,4,0.3237704918
Michael,60,4,0.3156028369
Michael,61,4,0.3272727273
Michael,62,4,0.2806451613
Michael,63,4,0.3411764706
Michael,64,4,0.2393617021
Michael,65,4,0.3081395349
Michael,66,5,0.2263779528
Michael,67,5,0.2612612613
Michael,68,5,0.2925925926
Michael,69,5,0.2873134328
Michael,70,5,0.2
Michael,71,5,0.1716621253
Michael,72,5,0.2369230769
Michael,73,5,0.3020134228
Michael,74,5,0.3095975232
Michael,75,5,0.2708333333
Michael,76,5,0.1786941581
Michael,77,5,0.3435114504
Michael,78,5,0.2829736211
Michael,79,5,0.2320675105
Michael,80,5,0.1968503937
Michael,81,5,0.2866666667
Michael,82,5,0.3633440514
Michael,83,5,0.3501683502
Michael,84,5,0.329588015
Michael,85,5,0.2524271845
Michael,86,5,0.1796875
Michael,87,5,0.3260869565
Michael,88,5,0.2638888889
Michael,89,5,0.2978056426
Michael,90,5,0.3065693431
Michael,91,5,0.2014652015
Michael,92,6,0.2861445783
