ENumber	Episode_Number	Episode	Rating	Michael	Character
1	1.1	Pilot	0.76	0.3537117904	Pam
2	1.2	Diversity Day	0.83	0.3694581281	Jim
3	1.3	Health Care	0.79	0.2285714286	Dwight
4	1.4	The Alliance	0.82	0.2798353909	Jim
5	1.5	Basketball	0.84	0.4470046083	Dwight
6	1.6	Hot Girl	0.78	0.3063583815	Katy
7	2.1	The Dundies	0.86	0.373540856	Pam
8	2.2	Sexual Harassment	0.82	0.3533568905	Pam
9	2.3	Office Olympics	0.84	0.2943262411	Dwight
10	2.4	The Fire	0.84	0.2163009404	Dwight
11	2.5	Halloween	0.82	0.4014869888	Dwight
12	2.6	The Fight	0.82	0.3171641791	Dwight
13	2.7	The Client	0.85	0.2874015748	Jan
14	2.8	Performance Review	0.82	0.3759124088	Jan
15	2.9	E-Mail Surveillance	0.84	0.2909090909	Jim
16	2.1	Christmas Party	0.88	0.3140794224	Dwight
17	2.11	Booze Cruise	0.85	0.33632287	Captain Jack
18	2.12	The Injury	0.9	0.3406593407	Dwight
19	2.13	The Secret	0.83	0.3471698113	Jim
20	2.14	The Carpet	0.79	0.3869731801	Pam
21	2.15	Boys and Girls	0.82	0.2714285714	Jan
22	2.16	Valentine's Day	0.83	0.2227722772	Pam
23	2.17	Dwight's Speech	0.84	0.2512077295	Dwight
24	2.18	Take Your Daughter to Work Day	0.83	0.2883895131	Dwight
25	2.19	Michael's Birthday	0.81	0.3438735178	Dwight
26	2.2	Drug Testing	0.84	0.2333333333	Dwight
27	2.21	Conflict Resolution	0.86	0.3424124514	Dwight
28	2.22	Casino Night	0.93	0.2575342466	Jim
29	3.1	Gay Witch Hunt	0.89	0.3469387755	Dwight
30	3.2	The Convention	0.82	0.3612040134	Dwight
31	3.3	The Coup	0.85	0.2786259542	Dwight
32	3.4	Grief Counseling	0.8	0.3487394958	Dwight
33	3.5	Initiation	0.82	0.1259541985	Pam
34	3.6	Diwali	0.8	0.2629107981	Pam
35	3.7	Branch Closing	0.84	0.2653846154	Dwight
36	3.8	The Merger	0.86	0.2637130802	Dwight
37	3.9	The Convict	0.81	0.2827225131	Jim
38	3.1	A Benihana Christmas	0.87	0.22406639	Dwight
39	3.11	Back from Vacation	0.84	0.3211009174	Pam
40	3.12	Traveling Salesmen	0.86	0.1784386617	Jim
41	3.13	The Return	0.88	0.231884058	Andy
42	3.14	Ben Franklin	0.82	0.2996108949	Pam
43	3.15	Phyllis' Wedding	0.83	0.270718232	Dwight
44	3.16	Business School	0.89	0.2419354839	Pam
45	3.17	Cocktails	0.85	0.2896551724	Jan
46	3.18	The Negotiation	0.89	0.2960893855	Darryl
47	3.19	Safety Training	0.88	0.2510121457	Dwight
48	3.2	Product Recall	0.88	0.1962962963	Jim
49	3.21	Women's Appreciation	0.89	0.2739726027	Dwight
50	3.22	Beach Games	0.91	0.3723404255	Dwight
51	3.23	The Job	0.93	0.2476851852	Jim
52	4.1	Fun Run	0.88	0.2669404517	Pam
53	4.2	Dunder Mifflin Infinity	0.84	0.2541133455	Ryan
54	4.3	Launch Party	0.85	0.2697247706	Dwight
55	4.4	Money	0.88	0.3008849558	Pam
56	4.5	Local Ad	0.89	0.2932692308	Jim
57	4.6	Branch Wars	0.85	0.2918149466	Jim
58	4.7	Survivor Man	0.83	0.2789699571	Jim
59	4.8	The Deposition	0.87	0.3237704918	Jan
60	4.9	Dinner Party	0.93	0.3156028369	Jan
61	4.1	Chair Model	0.82	0.3272727273	Pam
62	4.11	Night Out	0.87	0.2806451613	Ryan
63	4.12	Did I Stutter?	0.84	0.3411764706	Dwight
64	4.13	Job Fair	0.8	0.2393617021	Pam
65	4.14	Goodbye, Toby	0.93	0.3081395349	Holly
66	5.1	Weight Loss	0.89	0.2263779528	Jim
67	5.2	Business Ethics	0.84	0.2612612613	Holly
68	5.3	Baby Shower	0.81	0.2925925926	Jan
69	5.4	Crime Aid	0.82	0.2873134328	Holly
70	5.5	Employee Transfer	0.82	0.2	Andy
71	5.6	Customer Survey	0.85	0.1716621253	Jim
72	5.7	Business Trip	0.83	0.2369230769	Andy
73	5.8	Frame Toby	0.85	0.3020134228	Dwight
74	5.9	The Surplus	0.87	0.3095975232	Pam
75	5.1	Moroccan Christmas	0.84	0.2708333333	Meredith
76	5.11	The Duel	0.87	0.1786941581	Dwight
77	5.12	Prince Family Paper	0.81	0.3435114504	Dwight
78	5.13	Stress Relief	0.96	0.2829736211	Dwight
79	5.14	Lecture Circuit: Part 1	0.83	0.2320675105	Pam
80	5.15	Lecture Circuit: Part 2	0.82	0.1968503937	Pam
81	5.16	Blood Drive	0.81	0.2866666667	Jim
