Episode_Number	Rating	Character
1.1	0.76	Pam
1.2	0.83	Jim
1.3	0.79	Dwight
1.4	0.82	Jim
1.5	0.84	Dwight
1.6	0.78	Katy
2.1	0.86	Pam
2.2	0.82	Pam
2.3	0.84	Dwight
2.4	0.84	Dwight
2.5	0.82	Dwight
2.6	0.82	Dwight
2.7	0.85	Jan
2.8	0.82	Jan
2.9	0.84	Jim
2.1	0.88	Dwight
2.11	0.85	Captain Jack
2.12	0.9	Dwight
2.13	0.83	Jim
2.14	0.79	Pam
2.15	0.82	Jan
2.16	0.83	Pam
2.17	0.84	Dwight
2.18	0.83	Dwight
2.19	0.81	Dwight
2.2	0.84	Dwight
2.21	0.86	Dwight
2.22	0.93	Jim
3.1	0.89	Dwight
3.2	0.82	Dwight
3.3	0.85	Dwight
3.4	0.8	Dwight
3.5	0.82	Pam
3.6	0.8	Pam
3.7	0.84	Dwight
3.8	0.86	Dwight
3.9	0.81	Jim
3.1	0.87	Dwight
3.11	0.84	Pam
3.12	0.86	Jim
3.13	0.88	Andy
3.14	0.82	Pam
3.15	0.83	Dwight
3.16	0.89	Pam
3.17	0.85	Jan
3.18	0.89	Darryl
3.19	0.88	Dwight
3.2	0.88	Jim
3.21	0.89	Dwight
3.22	0.91	Dwight
3.23	0.93	Jim
4.1	0.88	Pam
4.2	0.84	Ryan
4.3	0.85	Dwight
4.4	0.88	Pam
4.5	0.89	Jim
4.6	0.85	Jim
4.7	0.83	Jim
4.8	0.87	Jan
4.9	0.93	Jan
4.1	0.82	Pam
4.11	0.87	Ryan
4.12	0.84	Dwight
4.13	0.8	Pam
4.14	0.93	Holly
5.1	0.89	Jim
5.2	0.84	Holly
5.3	0.81	Jan
5.4	0.82	Holly
5.5	0.82	Andy
5.6	0.85	Jim
5.7	0.83	Andy
5.8	0.85	Dwight
5.9	0.87	Pam
5.1	0.84	Meredith
5.11	0.87	Dwight
5.12	0.81	Dwight
5.13	0.96	Dwight
5.14	0.83	Pam
5.15	0.82	Pam
5.16	0.81	Jim
5.17	0.86	Dwight
5.18	0.84	Charles
5.19	0.84	Pam
5.2	0.83	Pam
5.21	0.87	Pam
5.22	0.86	Dwight
5.23	0.91	Charles
5.24	0.83	Dwight
5.25	0.86	Dwight
5.26	0.89	Dwight
6.1	0.87	Jim
6.2	0.82	David Wallace
6.3	0.8	Jim
6.4	0.925	Dwight
6.6	0.77	Andy
6.7	0.85	Jim
6.8	0.82	Jim
6.9	0.82	Pam
6.1	0.85	Jim
6.11	0.82	Jim
6.12	0.83	Jim
6.13	0.85	Jim
6.14	0.67	Toby
6.15	0.78	David Wallace
6.16	0.82	Dwight
6.17	0.84	Jim
6.19	0.79	Jo
6.2	0.79	Jim
6.21	0.86	Andy
6.22	0.79	Erin
6.23	0.8	Dwight
6.24	0.82	Pam
6.25	0.79	Andy
6.26	0.8	Jo
7.1	0.84	Pam
7.2	0.82	Dwight
7.3	0.82	Andy
7.4	0.79	Dwight
7.5	0.78	Jim
7.6	0.82	Danny
7.7	0.74	Jim
7.8	0.79	Erin
7.9	0.78	Ryan
7.1	0.82	Dwight
7.11	0.89	Pam
7.12	0.83	Dwight
7.13	0.77	Andy
7.14	0.84	Pam
7.15	0.84	Erin
7.16	0.92	Holly
7.17	0.75	Dwight
7.18	0.92	Holly
7.19	0.79	Deangelo
7.2	0.88	Jim
7.21	0.97	Andy
7.22	0.78	Deangelo
7.23	0.87	Dwight
7.24	0.88	Jim
8.1	0.82	Andy
8.2	0.81	Andy
8.3	0.74	Andy
8.4	0.8	Andy
8.5	0.76	Andy
8.6	0.78	Andy
8.7	0.78	Pam
8.8	0.7	Andy
8.9	0.78	Andy
8.1	0.8	Andy
8.11	0.78	Andy
8.12	0.79	Erin
8.13	0.75	Jim
8.14	0.78	Dwight
8.15	0.79	Dwight
8.16	0.81	Dwight
8.17	0.79	Dwight
8.18	0.78	Dwight
8.19	0.69	Nellie
8.2	0.73	Andy
8.21	0.73	Andy
8.22	0.71	Andy
8.23	0.78	Dwight
8.24	0.78	Andy
9.1	0.78	Dwight
9.2	0.73	Jim
9.3	0.76	Andy
9.4	0.78	Jim
9.5	0.71	Andy
9.6	0.78	Andy
9.7	0.77	Dwight
9.8	0.78	Dwight
9.9	0.83	Dwight
9.1	0.77	Pam
9.11	0.8	Dwight
9.12	0.82	Pam
9.13	0.78	Dwight
9.14	0.77	Pam
9.15	0.75	Andy
9.16	0.83	Andy
9.17	0.75	Dwight
9.18	0.8	Pam
9.19	0.8	Dwight
9.2	0.8	Andy
9.21	0.88	Andy
9.22	0.93	Jim
9.23	0.97	Dwight
