ENumber	EName	Rating
1.3	Health Care	0.79
1.5	Basketball	0.84
2.3	Office Olympics	0.84
2.4	The Fire	0.84
2.5	Halloween	0.82
2.6	The Fight	0.82
2.1	Christmas Party	0.88
2.12	The Injury	0.9
2.17	Dwight's Speech	0.84
2.18	Take Your Daughter to Work Day	0.83
2.19	Michael's Birthday	0.81
2.2	Drug Testing	0.84
2.21	Conflict Resolution	0.86
3.1	Gay Witch Hunt	0.89
3.2	The Convention	0.82
3.3	The Coup	0.85
3.4	Grief Counseling	0.8
3.7	Branch Closing	0.84
3.8	The Merger	0.86
3.1	A Benihana Christmas	0.87
3.15	Phyllis' Wedding	0.83
3.19	Safety Training	0.88
3.21	Women's Appreciation	0.89
3.22	Beach Games	0.91
4.3	Launch Party	0.85
4.12	Did I Stutter?	0.84
5.8	Frame Toby	0.85
5.11	The Duel	0.87
5.12	Prince Family Paper	0.81
5.13	Stress Relief	0.96
5.17	Golden Ticket	0.86
5.22	Heavy Competition	0.86
5.24	Casual Friday	0.83
5.25	Cafe Disco	0.86
5.26	Company Picnic	0.89
6.4	Niagara	0.925
6.16	Manager and Salesman	0.82
6.23	Body Language	0.8
7.2	Counseling	0.82
7.4	Sex Ed	0.79
7.1	China	0.82
7.12	Ultimatum	0.83
7.17	Todd Packer	0.75
7.23	Dwight K. Schrute, (Acting) Manager	0.87
8.14	Special Project	0.78
8.15	Tallahassee	0.79
8.16	After Hours	0.81
8.17	Test the Store	0.79
8.18	Last Day in Florida	0.78
8.23	Turf War	0.78
9.1	New Guys	0.78
9.7	The Whale	0.77
9.8	The Target	0.78
9.9	Dwight Christmas	0.83
9.11	Suit Warehouse	0.8
9.13	Junior Salesman	0.78
9.17	The Farm	0.75
9.19	Stairmageddon	0.8
9.23	Finale	0.97
