1.2	Diversity Day	0.83
1.4	The Alliance	0.82
2.9	E-Mail Surveillance	0.84
2.13	The Secret	0.83
2.22	Casino Night	0.93
3.9	The Convict	0.81
3.12	Traveling Salesmen	0.86
3.2	Product Recall	0.88
3.23	The Job	0.93
4.5	Local Ad	0.89
4.6	Branch Wars	0.85
4.7	Survivor Man	0.83
5.1	Weight Loss	0.89
5.6	Customer Survey	0.85
5.16	Blood Drive	0.81
6.1	Gossip	0.87
6.3	The Promotion	0.8
6.7	The Lover	0.85
6.8	Koi Pond	0.82
6.1	Murder	0.85
6.11	Shareholder Meeting	0.82
6.12	Scott's Tots	0.83
6.13	Secret Santa	0.85
6.17	The Delivery: Part 1	0.84
6.2	New Leads	0.79
7.5	The Sting	0.78
7.7	Christening	0.74
7.2	Michael's Last Dundies	0.88
7.24	Search Committee	0.88
8.13	Jury Duty	0.75
9.2	Roy's Wedding	0.73
9.4	Work Bus	0.78
9.22	A.A.R.M.	0.93
