"character","count"
"Michael",9003
"Dwight",5352
"Jim",4841
"Pam",3966
"Andy",2736
"Angela",1215
"Kevin",1160
"Erin",1066
"Oscar",1015
"Ryan",988
"Darryl",872
"Phyllis",799
"Jan",735
"Toby",690
"Kelly",673
"Stanley",530
"Holly",440
"Meredith",421
"Creed",329
"David Wallace",329
"Nellie",322
"Gabe",313
"Karen",293
"Robert",253
"Charles",208
"Roy",193
"Jo",182
"Deangelo",150
"Clark",143
"Todd Packer",137
"Pete",130
"Everyone",102
"Carol",90
"Donna",83
"Katy",79
"Danny",68
"Josh",53
"Val",49
"Helene",48
"Senator Lipton",43
"Nate",41
"Bob Vance",32
"Hank",32
"AJ",31
"Captain Jack",30
"Grotti",30
"Man",29
"Ben Franklin",28
"Jessica",28
"Trevor",27
"Lester",26
"Eric",26
"Cathy",25
"Brian",25
"Mark",23
"Nick",22
"Bar Manager ",22
"Jada",22
"Irene",22
"Billy Merchant",21
"Elizabeth",20
"Woman",20
"Christian",19
"Alice",19
"Fannie",19
"Rolph",18
"Isabel ",18
"Luke",18
"Shirley",17
"Lonny",16
"Crowd",16
"Waiter",15
"Walter",15
"Mose",14
"Sweeney Todd",14
"Susan",14
"HCT",14
"Martin",13
"Phil",13
"Lawyer",13
"Julia",13
"Jordan",13
"Craig",12
"Second Cindy",12
"Diane Kelly",12
"Julie ",12
"Boat Guy",12
"Jeb",12
"Sherri",11
"Guy",11
"Both",11
"Robert Dunder",11
"Customer",11
"Financial Guy",11
"Lefevre",11
"Shane",11
"Broccoli Rob",11
"Sensei",11
"Melissa",10
"Abby",10
"Hannah",10
"Waitress",10
"Rachel",10
"Ad guy 1",10
"Diane",10
"Graphics guy",10
"Alex",10
"Isaac",10
"Vikram",10
"Nana",10
"Computron",10
"Salesman",10
"Girl",10
"Merv",10
"HCT Member 3",10
"Ira",9
"Ed",9
"Jake",9
"Lady",9
"Kenny",9
"Receptionist",9
"Justin",9
"Stephanie",9
"Mikela",9
"Hotel Employee",9
"Matt ",9
"Fred",9
"Julius Irving",9
"Zeke",9
"Cameron",9
"Devon",8
"Dana",8
"Speaker",8
"Sasha",8
"Hunter",8
"Margaret",8
"Rose",8
"Shelby",8
"Cece",8
"Walter Jr",8
"Frank",8
"Kid",7
"Harvey",7
"Uncle Al",7
"Nurse",7
"Pastor",7
"Gil",6
"Paris",6
"Larry Myers",6
"Client",6
"Lily",6
"Sam",6
"Phone Salesman",6
"Andy and Dwight",6
"Rep",6
"Keena Gifford",6
"Attendant",6
"Glenn",6
"Vet",6
"Brandon",6
"Fake Jim",6
"Jim and Pam",5
"Doctor",5
"Delivery man",5
"Kids",5
"Dealer",5
"Kellys Mom",5
"Intern",5
"Ad guy 2",5
"Girl in Club",5
"Tall Girl 1",5
"Professor",5
"Friend",5
"Marie",5
"Reid",5
"Reporter",5
"Steve",5
"Hot Dog Guy",5
"Hollys Dad",5
"Director",5
"Madge",4
"Jerome Bettis",4
"Tony",4
"Andy and Jim",4
"Priest",4
"Rolando",4
"Troy",4
"Mother",4
"Beth",4
"CPR Trainer",4
"Old Woman",4
"VRG 1",4
"Secretary",4
"Limo Driver",4
"Students",4
"Teacher",4
"Realtor",4
"Mexican Man",4
"Son",4
"Hollys Mom",4
"Old Man",4
"Andy and Darryl",4
"Ernesto",4
"Wally Amos",4
"Blogger",4
"Old Lady",4
"Esther",4
"Man on Phone",3
"Video",3
"Brenda",3
"Lab Tech",3
"Delivery Woman",3
"Pretzel guy",3
"Server",3
"Kellys Father",3
"Marcy",3
"Photographer",3
"Bartender",3
"IT Tech Guy",3
"Amy",3
"Officer 1",3
"Ronnie",3
"JIM9334",3
"Concierge",3
"Guy at table",3
"Leo",3
"Lynn",3
"VRG 2",3
"Warehouse guy 1",3
