0,0,0,0,0,0,0,0,0,0
Michael,348,1477,1542,1077,1747,1503,1206,0,0
Jim,186,622,581,459,734,671,628,534,391
Pam,142,490,548,349,609,479,565,319,430
Dwight,179,672,738,352,870,649,648,615,589
Jan,38,224,248,157,43,0,16,0,8
Michel,1,0,0,0,1,1,1,0,0
Todd Packer,3,15,0,0,0,6,5,13,14
Phyllis,10,66,85,68,152,110,136,86,77
Stanley,19,62,62,59,97,51,65,61,53
Oscar,28,66,50,47,178,116,161,150,159
Angela,16,97,174,133,191,94,150,108,234
Kevin,16,86,154,102,131,138,220,161,145
Ryan,30,141,135,164,150,92,160,108,1
Man,1,0,2,3,2,0,13,2,6
Roy,22,71,75,0,14,0,0,0,11
Meredith,13,21,30,39,80,58,66,44,67
love,1,0,0,0,0,0,0,0,0
Travel Agent,1,0,0,0,0,0,0,0,0
Man on Phone,3,0,0,0,0,0,0,0,0
Toby,11,59,102,109,64,90,93,74,87
Everybody,6,1,4,1,0,0,0,0,0
Lonny,1,3,12,0,0,0,0,0,0
Darryl,5,51,86,30,45,71,210,203,122
Katy,59,20,0,0,0,0,0,0,0
every,0,1,0,0,0,0,0,0,0
Kelly,0,79,109,52,126,100,133,68,2
Guy at bar,0,1,0,0,0,0,0,0,0
Guy At Bar,0,2,0,0,0,0,0,0,0
Pam and Jim,0,1,0,0,0,0,0,0,0
Employee,0,1,0,0,0,0,0,0,0
Chilis Employee,0,1,0,0,0,0,0,0,0
Kevins computer,0,1,0,0,0,0,0,0,0
Warehouse Guy,0,1,0,0,0,0,1,0,0
Warehouse guy,0,2,0,0,0,0,0,0,0
Warehouse guys,0,1,0,0,0,0,0,0,0
Video,0,2,1,0,0,0,0,0,0
Man in Video,0,1,0,0,0,0,0,0,0
Actor,0,2,0,0,0,0,0,0,0
You,0,1,0,0,0,0,0,0,0
Carol,0,45,30,0,0,0,0,0,0
Bill,0,2,0,0,0,0,0,0,0
Everyone,0,2,3,1,5,7,1,11,12
Crowd,0,9,5,0,0,0,0,0,2
song,0,1,0,0,0,0,0,0,0
Song,0,6,0,0,0,0,0,0,0
Sherri,0,11,0,0,0,0,0,0,0
Creed,0,43,46,50,49,29,61,19,31
Devon,0,8,0,0,0,0,0,0,0
Children,0,1,0,0,0,0,0,0,0
Kid,0,3,0,2,0,1,1,0,0
Ira,0,9,0,0,0,0,0,0,0
Ryans Voicemail,0,1,0,0,0,0,0,0,0
Christian,0,19,0,0,0,0,0,0,0
Hostess,0,1,0,0,0,1,0,0,0
and,0,1,1,0,0,0,0,0,0
Captain Jack,0,30,0,0,0,0,0,0,0
Brenda,0,3,0,0,0,0,0,0,0
Darryl and Katy,0,1,0,0,0,0,0,0,0
your,0,2,0,0,0,0,0,0,0
Jim and Pam,0,1,0,0,1,0,2,0,0
you,0,1,2,0,0,0,1,0,0
real,0,2,1,0,0,0,0,0,0
Billy Merchant,0,17,0,0,0,0,0,0,0
Doctor,0,4,0,0,0,0,0,0,1
Lab Tech,0,3,0,0,0,0,0,0,0
think,0,1,0,0,0,0,0,0,0
know,0,1,1,0,0,0,0,0,0
Dana,0,8,0,0,0,0,0,0,0
Hooters Girls,0,1,0,0,0,0,0,0,0
Phylis,0,1,0,0,1,0,0,0,0
so,0,4,3,0,0,0,0,0,0
Gil,0,2,4,0,0,0,0,0,0
terrible,0,1,0,0,0,0,0,0,0
Pam and others,0,1,0,0,0,0,0,0,0
into,0,1,0,0,0,0,0,0,0
they,0,1,0,0,0,0,0,0,0
Ed,0,9,0,0,0,0,0,0,0
Packer,0,7,19,0,0,0,0,17,0
Todd,0,1,0,0,0,0,37,0,0
Jims voicemail,0,1,0,0,0,0,0,0,0
Women,0,1,1,0,0,0,0,0,0
Madge,0,2,2,0,0,0,0,0,0
Guy,0,4,1,0,4,0,2,0,0
Men,0,1,0,0,0,0,0,0,0
Group chant,0,1,0,0,0,0,0,0,0
All the Men,0,1,0,0,0,0,0,0,0
Delivery man,0,5,0,0,0,0,0,0,0
What,0,1,0,0,0,0,0,0,0
Craig,0,12,0,0,0,0,0,0,0
Josh,0,11,42,0,0,0,0,0,0
like,0,1,0,0,0,0,0,0,0
David,0,12,62,3,127,65,12,22,24
Dan,0,1,0,0,0,0,0,0,0
something,0,1,0,0,0,0,0,0,0
but,0,1,0,0,0,0,0,0,0
Overhead,0,1,1,0,0,0,0,0,0
Speaker,0,2,0,0,0,0,0,6,0
Jim and Dwight,0,1,0,0,0,0,0,0,0
Melissa,0,10,0,0,0,0,0,0,0
Sasha,0,6,0,0,1,0,0,1,0
