"name","s1","s2","s3","s4","s5","s6","s7","s8","s9"
"Abby",0,10,0,0,0,0,0,0,0
"Actor",0,2,0,0,0,0,0,0,0
"Ad guy 1",0,0,0,10,0,0,0,0,0
"Ad guy 2",0,0,0,5,0,0,0,0,0
"AJ",0,0,0,0,8,0,23,0,0
"Alex",0,0,0,0,10,0,0,0,0
"Alice",0,0,0,0,0,0,0,0,19
"Alien",0,0,1,0,0,0,0,0,0
"All but Oscar",0,0,0,0,0,0,1,0,0
"All Girls",0,0,0,1,0,0,0,0,0
"All Men",0,1,0,0,0,0,0,0,0
"Alonzo",0,0,0,0,0,0,0,1,0
"Amanda",0,0,0,0,0,0,0,1,0
"Amy",0,0,0,3,0,0,0,0,0
"Andy",0,0,234,125,408,416,470,657,426
"Andy and Dwight",0,0,0,0,0,6,0,0,0
"Andy and Erin",0,0,0,0,0,0,1,0,0
"Andy and Jim",0,0,4,0,0,0,0,0,0
"Angela",16,97,174,133,191,111,151,108,234
"Announcer",0,0,1,0,0,0,0,0,0
"Archivist",0,0,0,0,0,0,0,2,0
"Artist",0,0,1,0,0,0,0,0,0
"Astrid",0,0,0,0,0,0,3,0,0
"Attendant",0,0,0,0,0,0,6,0,0
"Audience",0,0,0,0,0,0,0,1,0
"Aunt Shirley",0,0,0,0,0,0,0,0,3
"Bar Manager ",0,0,0,0,0,22,0,0,0
"Bartender",0,0,1,2,0,0,0,0,0
"Bass Player",0,0,0,0,0,0,2,0,0
"Ben",0,0,0,4,0,0,0,0,0
"Ben Franklin",0,0,24,0,0,0,0,0,0
"Bert",0,0,0,0,0,0,0,2,0
"Beth",0,0,0,0,4,0,0,0,0
"Bill",0,2,0,0,0,0,0,0,0
"Billy Merchant",0,21,0,0,0,0,0,0,0
"Blogger",0,0,0,0,0,0,0,4,0
"Blogger 2",0,0,0,0,0,0,0,1,0
"Boat Guy",0,0,0,0,0,0,0,0,12
"Bob Vance",0,3,10,1,12,2,0,4,0
"Boom Box",0,0,0,0,0,0,1,0,0
"Both",0,0,2,0,1,4,2,1,1
"Bouncer ",0,0,0,0,0,1,0,0,0
"Brandon",0,0,0,0,0,0,0,6,0
"Brenda",0,3,0,0,0,0,0,0,0
"Brian",0,0,0,0,0,0,0,0,25
"Broccoli Rob",0,0,0,0,0,0,0,0,11
"Businessman 1",0,0,0,0,0,0,0,0,2
"Businessman 2",0,0,0,0,0,0,0,0,3
"Businessman 3",0,0,0,0,0,0,0,0,3
"Buyer",0,0,2,0,0,0,0,0,0
"Calvin",0,0,0,0,0,0,0,3,0
"Cameron",0,0,0,0,0,0,0,0,9
"Captain Jack",0,30,0,0,0,0,0,0,0
"Carla Fern",0,0,0,0,0,0,0,0,3
"Carol",0,45,30,0,0,0,15,0,0
"Cathy",0,0,0,0,0,0,0,25,0
"Cece",0,0,0,0,0,0,1,7,0
"Charles",0,0,0,0,209,0,0,0,0
"Chef",0,0,2,0,0,0,0,0,0
"Chelsea",0,0,0,0,0,0,0,1,0
"Child",0,0,2,0,0,0,0,0,0
"Children",0,1,0,0,0,0,0,0,0
"Chilis Employee",0,1,0,0,0,0,0,0,0
"Christian",0,19,0,0,0,0,0,0,0
"Cindy",0,0,2,0,0,0,0,0,0
"Clark",0,0,0,0,0,0,0,0,143
"Cleaning lady",0,0,0,1,0,0,0,0,0
"Client",0,0,0,0,2,0,1,3,0
"College Student",0,0,1,0,0,0,0,0,0
"Computron",0,0,0,0,0,10,0,0,0
"Concierge",0,0,0,0,3,0,0,0,0
"Concierge Marie",0,0,0,0,2,0,0,0,0
"Council",0,0,0,1,0,0,0,0,0
"Cousin Mose",0,0,1,0,0,0,0,0,0
"CPR Trainer",0,0,0,0,4,0,0,0,0
"Craig",0,12,0,0,0,0,0,0,0
"Credit card rep",0,0,0,0,0,1,0,0,0
"Creed",0,43,46,50,49,30,61,19,31
"Crowd",0,9,5,0,0,0,0,0,2
"Curtis",0,0,0,0,0,0,0,3,0
"Customer",0,0,0,0,5,4,2,0,0
"Dan",0,1,0,0,0,0,0,0,0
"Dan Gore",0,0,1,0,0,0,0,0,0
"Dana",0,8,0,0,0,0,0,0,0
"Danny",0,0,0,0,0,0,68,0,0
"Darryl",5,51,87,30,45,97,232,203,122
"Darryl and Andy",0,0,0,0,0,0,1,3,0
"Darryl and Katy",0,1,0,0,0,0,0,0,0
"David Brent",0,0,0,0,0,0,2,0,0
"David Wallace",0,12,62,7,159,74,12,22,72
"Dealer",0,5,0,0,0,0,0,0,0
"Deangelo",0,0,0,0,0,0,150,0,0
"Delivery Boy",0,2,0,0,0,0,0,0,0
"Delivery man",0,5,0,0,0,0,0,0,0
"Delivery Woman",0,3,0,0,0,0,0,0,0
"Deliveryman",0,0,0,0,0,1,0,0,0
"Devon",0,8,0,0,0,0,0,0,0
"Diane",0,0,0,10,0,0,0,0,0
"Diane Kelly",0,0,0,12,0,0,0,0,0
"Director",0,0,0,0,0,0,0,0,5
"DJ",0,0,0,0,0,0,3,0,0
"Doctor",0,4,0,0,0,0,0,0,1
"Donna",0,0,0,0,0,74,7,0,0
"Donna Muraski",0,0,0,0,0,0,0,2,0
"Doug",0,0,0,0,0,0,1,0,0
"Drummer",0,0,0,0,0,0,0,1,0
"Dwight",179,672,739,352,874,683,649,615,589
"Dwight and Erin",0,0,0,0,0,0,1,0,0
"Ed",0,9,0,0,0,0,0,0,0
"Elderly Woman",0,0,0,0,0,0,0,1,0
"Elizabeth",0,0,17,3,0,0,0,0,0
"Ellen",0,0,0,0,0,0,0,2,0
"Employee",0,1,0,0,0,0,0,0,0
"Employees",0,0,0,0,1,0,0,0,0
"Eric",0,0,0,0,0,26,0,0,0
"Erin",0,0,0,0,53,203,268,265,277
"Erin and Irene",0,0,0,0,0,0,0,1,0
"Ernesto",0,0,0,0,0,0,0,4,0
"Esther",0,0,0,0,0,0,0,0,4
"Everyone",6,4,13,4,9,12,15,21,15
"Fake Jim",0,0,0,0,0,0,0,0,6
"Fake Stanley",0,0,0,0,0,1,0,0,0
"Fannie",0,0,0,0,0,0,0,0,19
"Financial Guy",0,0,0,0,11,0,0,0,0
"Frank",0,0,0,0,0,0,0,0,8
"Fred",0,0,0,0,0,0,10,0,0
"Friend",0,0,0,0,5,0,0,0,0
"Gabe",0,0,0,0,0,49,197,47,20
"German Minister",0,0,0,0,0,0,0,0,3
"Gil",0,2,4,0,0,0,0,0,0
"Girl",0,0,0,0,0,0,6,4,0
"Girl at table ",0,0,0,0,0,2,0,0,0
"Girl in Club",0,0,0,5,0,0,0,0,0
"Girls",0,0,1,0,0,0,0,0,0
"girls",0,0,0,1,0,0,0,0,0
"Glen",0,0,0,0,0,1,0,4,1
"GPS",0,0,0,2,0,0,0,0,0
"Graphics guy",0,0,0,10,0,0,0,0,0
"Grotti",0,0,0,0,0,30,0,0,0
"Guy",0,4,1,0,4,0,2,0,0
"Guy at bar",0,1,0,0,0,0,0,0,0
"Guy At Bar",0,2,0,0,0,0,0,0,0
"Guy at table",0,0,0,0,3,0,0,0,0
"Guy buying doll",0,0,0,0,1,0,0,0,0
"Guy in audience",0,0,0,0,2,0,0,0,0
"Gwenneth",0,0,0,0,0,2,0,0,0
"Gym Instructor",0,0,0,0,0,1,0,0,0
"Gym instructor",0,0,0,0,0,2,0,0,0
"Hank",0,0,0,6,17,1,5,0,3
"Hannah",0,0,10,0,0,0,0,0,0
"Harvey",0,0,7,0,0,0,0,0,0
"HCT",0,0,0,0,0,0,0,0,14
"HCT Member 1",0,0,0,0,0,0,0,0,1
"HCT Member 2",0,0,0,0,0,0,0,0,2
"HCT Member 3",0,0,0,0,0,0,0,0,10
"Helene",0,0,0,0,0,37,9,0,2
"Henry",0,0,0,0,0,0,0,0,3
"Holly",0,0,0,69,129,0,242,0,0
"Hollys Dad",0,0,0,0,0,0,5,0,0
"Hollys Mom",0,0,0,0,0,0,4,0,0
"Hooters Girls",0,1,0,0,0,0,0,0,0
"Hostess",0,1,0,0,0,1,0,0,0
"Hot Dog Guy",0,0,0,0,0,0,5,0,0
"Hotel Employee",0,0,0,0,0,9,0,0,0
"Hunter",0,0,8,0,0,0,0,0,0
"Hunters CD",0,0,0,1,0,0,0,0,0
"Intern",0,0,0,5,0,0,0,0,0
"Ira",0,9,0,0,0,0,0,0,0
"Irene",0,0,0,0,0,0,0,22,0
"Isaac",0,0,0,0,7,0,0,0,3
"Isabel ",0,0,0,0,0,18,0,0,0
"IT Tech Guy",0,0,0,3,0,0,0,0,0
"Jada",0,0,0,0,0,0,22,0,0
"Jake",0,8,0,0,0,0,0,1,0
"Jan",38,224,248,158,43,0,16,0,8
"Jeb",0,0,0,0,0,0,0,0,12
"Jerome Bettis",0,0,4,0,0,0,0,0,0
"Jessica",0,0,0,0,3,0,0,25,0
"Jessica Alba",0,0,0,0,2,0,0,0,0
"Jim",186,622,581,459,736,704,628,534,391
"Jim and Dwight",0,1,0,0,0,0,0,0,0
"Jim and Pam",0,2,0,0,1,0,2,0,0
"JIM9334 ",0,0,0,0,3,0,0,0,0
"Jims voicemail",0,1,0,0,0,0,0,0,0
"Jo",0,0,0,0,0,129,53,0,0
"Jordan",0,0,0,0,0,0,13,0,0
"Josh",0,11,42,0,0,0,0,0,0
"Julia",0,0,0,0,13,0,0,0,0
"Julie ",0,0,0,0,0,12,0,0,0
"Julius",0,0,0,0,0,0,0,0,9
"Justin",0,0,0,9,0,0,0,0,0
"Justine",0,0,0,0,0,0,2,0,0
"Karen",0,0,246,25,22,0,0,0,0
"Katy",59,20,0,0,0,0,0,0,0
"Keena Gifford",0,0,0,0,0,6,0,0,0
"Kelly",0,79,109,52,126,104,133,68,2
"Kelly and Erin",0,0,0,0,0,1,0,0,0
"Kellys Father",0,0,3,0,0,0,0,0,0
"Kellys Mom",0,0,5,0,0,0,0,0,0
"Kendall",0,0,0,0,2,0,0,0,0
"Kenny",0,0,8,0,0,0,0,0,1
"Kevin",16,86,154,102,131,145,220,161,145
"Kevins computer",0,1,0,0,0,0,0,0,0
"Kid",0,3,0,2,0,1,1,0,0
"Kids",0,2,0,0,0,2,1,0,0
"Lab Tech",0,3,0,0,0,0,0,0,0
"Lady",0,0,2,0,0,0,2,5,0
"Lady Blogger",0,0,0,0,0,0,0,1,0
"Larry Myers",0,0,0,6,0,0,0,0,0
"Lawyer",0,0,0,0,2,11,0,0,0
"Lefevre",0,0,0,0,0,11,0,0,0
"Leo",0,0,0,0,3,0,0,0,0
"Lester",0,0,0,26,0,0,0,0,0
"Lily",0,0,0,0,6,0,0,0,0
"Limo Driver",0,0,0,0,0,2,0,0,2
"Linda",0,0,0,0,2,0,0,0,0
"Little Girl",0,0,0,0,0,0,2,0,0
