character,count
Michael,9048
Dwight,5577
Jim,5019
Pam,4077
Andy,2906
Angela,1258
Kevin,1207
Erin,1111
Oscar,1036
Ryan,1005
Darryl,915
Phyllis,830
Jan,750
Toby,714
Kelly,689
Stanley,544
Meredith,459
Holly,452
David,421
Nellie,363
Creed,336
Gabe,334
Robert,301
Karen,290
Charles,209
Roy,205
Clark,196
Jo,182
Deangelo,150
Pete,143
ToddPacker,137
Everyone,104
Carol,90
Donna,81
Katy,79
Danny,68
Josh,53
Val,50
Helene,48
Nate,45
SenatorLipton,43
Jessica,38
Hank,32
Trevor,31
CaptainJack,30
Grotti,30
Man,29
Cathy,29
Host,28
Lester,26
Eric,26
Brian,25
BenFranklin,24
BillyMerchant,23
Mark,23
AJ,23
Nick,22
BarManager,22
Jada,22
Irene,22
Elizabeth,20
Woman,20
Christian,19
Bob,19
PrinceGrandfather,19
Alice,19
Fannie,19
Mose,18
Isabel,18
Luke,18
Shirley,17
Lonny,16
Crowd,16
Group,16
Receptionist,16
Waiter,15
Walter,15
SweeneyTodd,14
Susan,14
HCT,14
BobVance,13
Martin,13
Lawyer,13
Julia,13
Jordan,13
Harry,13
Zeke,13
Craig,12
SecondCindy,12
DianeKelly,12
Julie,12
BoatGuy,12
Rolf,12
Jeb,12
Sherri,11
Guy,11
Both,11
RobertDunder,11
Customer,11
FinancialGuy,11
Lefevre,11
Shane,11
BroccoliRob,11
SuitStoreFather,11
Sensei,11
Melissa,10
Abby,10
Hannah,10
Waitress,10
Rachel,10
Adguy1,10
Diane,10
Graphicsguy,10
Alex,10
PoliceOfficer1,10
Isaac,10
Vikram,10
Nana,10
FrontDeskClerk,10
Computron,10
Salesman,10
Girl,10
Merv,10
HCTMember3,10
Businesspartner,10
AthleadEmployee,10
SuitStoreSon,10
Wolf,10
Ira,9
Ed,9
Jake,9
Lady,9
Kenny,9
Phil,9
Justin,9
Stephanie,9
Rolph,9
Mikela,9
Matt,9
HotelEmployee,9
Fred,9
Julius,9
Cameron,9
Devon,8
Dana,8
Speaker,8
Sasha,8
Hunter,8
Margaret,8
Rose,8
AndyandDwight,8
Shelby,8
Cece,8
Frank,8
MichaelandDwight,7
Kid,7
Harvey,7
UncleAl,7
Nurse,7
Pastor,7
VideoMichael,7
Worker,6
Song,6
DwightandMichael,6
Gil,6
Deliveryman,6
Paris,6
LarryMyers,6
Client,6
PoliceOfficer2,6
Lily,6
Sam,6
PhoneSalesman,6
Rep,6
KeenaGifford,6
Attendant,6
Vet,6
Brandon,6
FakeJim,6
Madge,5
JimandPam,5
Doctor,5
Kids,5
Dealer,5
KellysMom,5
Intern,5
Adguy2,5
GirlinClub,5
TallGirl1,5
Girlin2ndclub,5
Professor,5
Friend,5
Marie,5
Reid,5
Reporter,5
Steve,5
Justine,5
HotDogGuy,5
HollysDad,5
Glenn,5
Melvina,5
PartyPhotographer,5
Director,5
JeromeBettis,4
Tony,4
AndyandJim,4
Priest,4
BusinessStudent1,4
Rolando,4
Ben,4
Troy,4
PhilMaguire,4
Mother,4
Beth,4
PrinceGranddaughter,4
CPRTrainer,4
OldWoman,4
VRG1,4
Secretary,4
LimoDriver,4
Students,4
Teacher,4
Realtor,4
MexicanMan,4
Son,4
HollysMom,4
WalterJr,4
OldMan,4
Ernesto,4
WallyAmos,4
Blogger,4
OldLady,4
Colin,4
Esther,4
ManonPhone,3
WarehouseGuy,3
Video,3
Brenda,3
LabTech,3
DeliveryWoman,3
Pretzelguy,3
Server,3
KellysFather,3
Marcy,3
Photographer,3
BusinessStudent2,3
Bartender,3
ITTechGuy,3
Amy,3
DepositionReporter,3
Officer1,3
Ronnie,3
JIM9334,3
Receptionitis15,3
Concierge,3
Guyattable,3
Leo,3
Lynn,3
VRG2,3
ManfromBuffalo,3
Warehouseguy1,3
Windowtreatmentguy,3
Astrid,3
Malechurchmember,3
DJ,3
TattooArtist,3
Curtis,3
AndyandDarryl,3
ParkRanger,3
Oscarsfriend,3
StonewallHost,3
Calvin,3
Businessman2,3
Businessman3,3
Molly,3
Dennis,3
Gabor,3
GermanMinister,3
Henry,3
AuntShirley,3
CarlaFern,3
Warehouseworker,2
GuyAtBar,2
Warehouseguy,2
Actor,2
Hostess,2
Women,2
Overhead,2
DeliveryBoy,2
BillysGirlfriend,2
Chef,2
Cindy,2
Otherwaitress,2
Buyer,2
Randy,2
BusinessStudent3,2
Child,2
GPS,2
Officer2,2
Manonphone,2
Guyinaudience,2
ConciergeMarie,2
Linda,2
PrinceGrandmother,2
JessicaAlba,2
DwightandErin,2
Ty,2
Kendall,2
WomanfromBuffalo,2
Gwenneth,2
VoiceonCDplayer,2
Girlattable,2
Gyminstructor,2
Usher,2
Doug,2
Meridith,2
RoboticVoice,2
LittleGirl,2
BassPlayer,2
Member,2
Bookstoreemployee,2
DavidBrent,2
Rory,2
Warren,2
Ellen,2
Bert,2
Archivist,2
Narrator,2
OfficerFoley,2
Paramedic,2
DonnaMuraski,2
Others,2
Voicemail,2
HCTMember2,2
Businessman1,2
Nailstylist2,2
Nailmanager,2
TravelAgent,1
Teammates,1
Guyatbar,1
OtherGuyatBar,1
Employee,1
ChilisEmployee,1
Kevinscomputer,1
Warehouseguys,1
ManinVideo,1
RedheadedActress,1
