"character","s1","s2","s3","s4","s5","s6","s7","s8","s9"
"3rdAthleadEmployee",0,0,0,0,0,0,0,0,1
"4thAthleadEmployee",0,0,0,0,0,0,0,0,1
"Abby",0,10,0,0,0,0,0,0,0
"Actor",0,2,0,0,0,0,0,0,0
"Adguy1",0,0,0,10,0,0,0,0,0
"Adguy2",0,0,0,5,0,0,0,0,0
"AJ",0,0,0,0,8,0,15,0,0
"Alex",0,0,0,0,10,0,0,0,0
"Alice",0,0,0,0,0,0,0,0,19
"Alien",0,0,1,0,0,0,0,0,0
"AllbutOscar",0,0,0,0,0,0,1,0,0
"AllGirls",0,0,0,1,0,0,0,0,0
"AllMen",0,1,0,0,0,0,0,0,0
"Alonzo",0,0,0,0,0,0,0,1,0
"Amanda",0,0,0,0,0,0,0,1,0
"Amy",0,0,0,3,0,0,0,0,0
"Andy",0,0,230,125,408,417,472,794,460
"AndyandDarryl",0,0,0,0,0,0,0,3,0
"AndyandDwight",0,0,0,0,0,5,0,0,0
"AndyandErin",0,0,0,0,0,0,1,0,0
"AndyandJim",0,0,4,0,0,0,0,0,0
"AndyandMichael",0,0,1,0,0,0,0,0,0
"Angela",19,97,174,133,191,111,151,124,258
"AngelaandDwight",0,0,0,1,0,0,0,0,0
"AngelaandKelly",0,0,0,0,1,0,0,0,0
"Announcer",0,0,1,0,0,0,0,0,0
"Archivist",0,0,0,0,0,0,0,2,0
"Artist",0,0,1,0,0,0,0,0,0
"Astrid",0,0,0,0,0,0,3,0,0
"AthleadCoworker",0,0,0,0,0,0,0,0,1
"AthleadEmployee",0,0,0,0,0,0,0,0,10
"Attendant",0,0,0,0,0,0,6,0,0
"Audience",0,0,0,0,0,0,0,1,0
"AuntShirley",0,0,0,0,0,0,0,0,3
"BarManager",0,0,0,0,0,22,0,0,0
"Bartender",0,0,1,2,0,0,0,0,0
"BassPlayer",0,0,0,0,0,0,2,0,0
"Ben",0,0,0,4,0,0,0,0,0
"BenFranklin",0,0,24,0,0,0,0,0,0
"Bert",0,0,0,0,0,0,0,2,0
"Beth",0,0,0,0,4,0,0,0,0
"BillyMerchant",0,23,0,0,0,0,0,0,0
"BillysGirlfriend",0,2,0,0,0,0,0,0,0
"Blogger",0,0,0,0,0,0,0,4,0
"Blogger2",0,0,0,0,0,0,0,1,0
"BoatGuy",0,0,0,0,0,0,0,0,12
"BobVance",0,3,10,1,12,2,0,4,0
"Bookstoreemployee",0,0,0,0,0,0,2,0,0
"BoomBox",0,0,0,0,0,0,1,0,0
"Both",0,0,2,0,1,4,2,1,1
"Bouncer",0,0,0,0,0,1,0,0,0
"Brandon",0,0,0,0,0,0,0,6,0
"Brenda",0,3,0,0,0,0,0,0,0
"Brian",0,0,0,0,0,0,0,0,25
"BroccoliRob",0,0,0,0,0,0,0,0,11
"Businessman1",0,0,0,0,0,0,0,0,2
