Michael,Rating,Episode
0.3537117904,0.76,Pilot
0.3694581281,0.83,Diversity Day
0.2285714286,0.79,Health Care
0.2798353909,0.82,The Alliance
0.4470046083,0.84,Basketball
0.3063583815,0.78,Hot Girl
0.373540856,0.86,The Dundies
0.3533568905,0.82,Sexual Harassment
0.2943262411,0.84,Office Olympics
0.2163009404,0.84,The Fire
0.4014869888,0.82,Halloween
0.3171641791,0.82,The Fight
0.2874015748,0.85,The Client
0.3759124088,0.82,Performance Review
0.2909090909,0.84,E-Mail Surveillance
0.3140794224,0.88,Christmas Party
0.33632287,0.85,Booze Cruise
0.3406593407,0.9,The Injury
0.3471698113,0.83,The Secret
0.3869731801,0.79,The Carpet
0.2714285714,0.82,Boys and Girls
0.2227722772,0.83,Valentine's Day
0.2512077295,0.84,Dwight's Speech
0.2883895131,0.83,Take Your Daughter to Work Day
0.3438735178,0.81,Michael's Birthday
0.2333333333,0.84,Drug Testing
0.3424124514,0.86,Conflict Resolution
0.2575342466,0.93,Casino Night
0.3469387755,0.89,Gay Witch Hunt
0.3612040134,0.82,The Convention
0.2786259542,0.85,The Coup
0.3487394958,0.8,Grief Counseling
0.1259541985,0.82,Initiation
0.2629107981,0.8,Diwali
0.2653846154,0.84,Branch Closing
0.2637130802,0.86,The Merger
0.2827225131,0.81,The Convict
0.22406639,0.87,A Benihana Christmas
0.3211009174,0.84,Back from Vacation
0.1784386617,0.86,Traveling Salesmen
0.231884058,0.88,The Return
0.2996108949,0.82,Ben Franklin
0.270718232,0.83,Phyllis' Wedding
0.2419354839,0.89,Business School
0.2896551724,0.85,Cocktails
0.2960893855,0.89,The Negotiation
0.2510121457,0.88,Safety Training
0.1962962963,0.88,Product Recall
0.2739726027,0.89,Women's Appreciation
0.3723404255,0.91,Beach Games
0.2476851852,0.93,The Job
0.2669404517,0.88,Fun Run
0.2541133455,0.84,Dunder Mifflin Infinity
0.2697247706,0.85,Launch Party
0.3008849558,0.88,Money
0.2932692308,0.89,Local Ad
0.2918149466,0.85,Branch Wars
0.2789699571,0.83,Survivor Man
0.3237704918,0.87,The Deposition
0.3156028369,0.93,Dinner Party
0.3272727273,0.82,Chair Model
0.2806451613,0.87,Night Out
0.3411764706,0.84,Did I Stutter?
0.2393617021,0.8,Job Fair
0.3081395349,0.93,"Goodbye, Toby"
0.2263779528,0.89,Weight Loss
0.2612612613,0.84,Business Ethics
0.2925925926,0.81,Baby Shower
0.2873134328,0.82,Crime Aid
0.2,0.82,Employee Transfer
0.1716621253,0.85,Customer Survey
0.2369230769,0.83,Business Trip
0.3020134228,0.85,Frame Toby
0.3095975232,0.87,The Surplus
0.2708333333,0.84,Moroccan Christmas
0.1786941581,0.87,The Duel
0.3435114504,0.81,Prince Family Paper
0.2829736211,0.96,Stress Relief
0.2320675105,0.83,Lecture Circuit: Part 1
0.1968503937,0.82,Lecture Circuit: Part 2
0.2866666667,0.81,Blood Drive
0.3633440514,0.86,Golden Ticket
0.3501683502,0.84,New Boss
0.329588015,0.84,Two Weeks
0.2524271845,0.83,Dream Team
0.1796875,0.87,Michael Scott Paper Company
0.3260869565,0.86,Heavy Competition
0.2638888889,0.91,Broke
0.2978056426,0.83,Casual Friday
0.3065693431,0.86,Cafe Disco
0.2014652015,0.89,Company Picnic
0.2861445783,0.87,Gossip
0.2686567164,0.82,The Meeting
0.2838283828,0.8,The Promotion
0.2336956522,0.925,Niagara
0.3456090652,0.77,Mafia
0.2698412698,0.85,The Lover
0.2664576803,0.82,Koi Pond
0.310626703,0.82,Double Date
0.2712550607,0.85,Murder
0.265917603,0.82,Shareholder Meeting
0.2566037736,0.83,Scott's Tots
0.2844311377,0.85,Secret Santa
0.3358778626,0.67,The Banker
0.3106060606,0.78,Sabre
0.2305084746,0.82,Manager and Salesman
0.1872,0.84,The Delivery: Part 1
0.1863799283,0.79,St. Patrick's Day
0.3024911032,0.79,New Leads
0.2061281337,0.86,Happy Hour
0.1869918699,0.79,Secretary's Day
0.262195122,0.8,Body Language
0.2987012987,0.82,The Cover-Up
0.2515337423,0.79,The Chump
0.2734693878,0.8,Whistleblower
0.2567567568,0.84,Nepotism
0.1156716418,0.82,Counseling
0.1877729258,0.82,Andy's Play
0.2741433022,0.79,Sex Ed
0.2179487179,0.78,The Sting
0.2077464789,0.82,Costume Contest
0.2587412587,0.74,Christening
0.1856060606,0.79,Viewing Party
0.2142857143,0.78,WUPHF.com
0.1806451613,0.82,China
0.2170283806,0.89,Classy Christmas
0.2351097179,0.83,Ultimatum
0.1302816901,0.77,The Seminar
0.135483871,0.84,The Search
0.2073863636,0.84,PDA
0.4583333333,0.92,Threat Level Midnight
0.1821086262,0.75,Todd Packer
0.2482758621,0.92,Garage Sale
0.2786885246,0.79,Training Day
0.3167938931,0.88,Michael's Last Dundies
0.3525835866,0.97,"Goodbye, Michael"
0,0.78,The Inner Circle
0,0.87,"Dwight K. Schrute, (Acting) Manager"
0,0.88,Search Committee
0,0.82,The List
0,0.81,The Incentive
0,0.74,Lotto
0,0.8,Garden Party
0,0.76,Spooked
0,0.78,Doomsday
0,0.78,Pam's Replacement
0,0.7,Gettysburg
0,0.78,Mrs. California
0,0.8,Christmas Wishes
0,0.78,Trivia
0,0.79,Pool Party
0,0.75,Jury Duty
0,0.78,Special Project
0,0.79,Tallahassee
0,0.81,After Hours
0,0.79,Test the Store
0,0.78,Last Day in Florida
0,0.69,Get the Girl
0,0.73,Welcome Party
0,0.73,Angry Andy
0,0.71,Fundraiser
0,0.78,Turf War
0,0.78,Free Family Portrait Studio
0,0.78,New Guys
0,0.73,Roy's Wedding
0,0.76,Andy's Ancestry
0,0.78,Work Bus
0,0.71,Here Comes Treble
0,0.78,The Boat
0,0.77,The Whale
0,0.78,The Target
0,0.83,Dwight Christmas
0,0.77,Lice
0,0.8,Suit Warehouse
0,0.82,Customer Loyalty
0,0.78,Junior Salesman
0,0.77,Vandalism
0,0.75,Couples Discount
0,0.83,Moving On
0,0.75,The Farm
0,0.8,Promos
0,0.8,Stairmageddon
0,0.8,Paper Airplane
0,0.88,Livin' the Dream
0,0.93,A.A.R.M.
0.003898635478,0.97,Finale
