ENumber	EName	Rating
1.1	Pilot	0.76
2.1	The Dundies	0.86
2.2	Sexual Harassment	0.82
2.14	The Carpet	0.79
2.16	Valentine's Day	0.83
3.5	Initiation	0.82
3.6	Diwali	0.8
3.11	Back from Vacation	0.84
3.14	Ben Franklin	0.82
3.16	Business School	0.89
4.1	Fun Run	0.88
4.4	Money	0.88
4.1	Chair Model	0.82
4.13	Job Fair	0.8
5.9	The Surplus	0.87
5.14	Lecture Circuit: Part 1	0.83
5.15	Lecture Circuit: Part 2	0.82
5.19	Two Weeks	0.84
5.2	Dream Team	0.83
5.21	Michael Scott Paper Company	0.87
6.9	Double Date	0.82
6.24	The Cover-Up	0.82
7.1	Nepotism	0.84
7.11	Classy Christmas	0.89
7.14	The Search	0.84
8.7	Pam's Replacement	0.78
9.1	Lice	0.77
9.12	Customer Loyalty	0.82
9.14	Vandalism	0.77
9.18	Promos	0.8
