episodes,Michael,Dwight,Jim,Pam,Andy,Angela,Kevin,Erin,Oscar,Ryan,Darryl,Phyllis,Jan,Toby,Kelly,Stanley,Meredith,Holly,David,Nellie
1,0.3537117904,0.1266375546,0.1572052402,0.1790393013,0,0.004366812227,0.004366812227,0,0.01310043668,0.03493449782,0,0.008733624454,0.05240174672,0,0,0.02183406114,0,0,0,0
2,0.3694581281,0.08374384236,0.1231527094,0.05911330049,0,0.0197044335,0.039408867,0,0.06403940887,0.0197044335,0,0,0,0.009852216749,0.009852216749,0.02463054187,0,0,0,0
3,0.2285714286,0.2530612245,0.1714285714,0.1306122449,0,0.02040816327,0.02448979592,0,0.03673469388,0.004081632653,0,0,0.07346938776,0,0,0.02448979592,0.01224489796,0,0,0
4,0.2798353909,0.1934156379,0.2016460905,0.09053497942,0,0.02880658436,0.01234567901,0,0.05761316872,0.01646090535,0,0.02057613169,0,0.01646090535,0,0.008230452675,0.04115226337,0,0,0
5,0.4470046083,0.09216589862,0.09216589862,0.06451612903,0,0.01382488479,0.004608294931,0,0.009216589862,0.03686635945,0.06912442396,0.01843317972,0,0,0,0.01382488479,0,0,0,0
6,0.3063583815,0.08092485549,0.1589595376,0.1300578035,0,0.008670520231,0.01445086705,0,0.00289017341,0.03468208092,0,0,0.02312138728,0.02023121387,0,0.008670520231,0,0,0,0
7,0.373540856,0.1245136187,0.1245136187,0.1595330739,0,0.003891050584,0.003891050584,0,0.007782101167,0.007782101167,0.003891050584,0.03891050584,0.03501945525,0,0.02723735409,0.03112840467,0,0,0,0
8,0.3533568905,0.03886925795,0.05653710247,0.09540636042,0,0.007067137809,0.02120141343,0,0,0.003533568905,0.03180212014,0.02120141343,0.03886925795,0.09187279152,0,0.003533568905,0.003533568905,0,0,0
9,0.2943262411,0.195035461,0.195035461,0.1170212766,0,0.02127659574,0.03191489362,0,0.03546099291,0.01773049645,0,0.007092198582,0,0,0,0.01063829787,0.003546099291,0,0,0
10,0.2163009404,0.2037617555,0.1598746082,0.06896551724,0,0.05329153605,0.01567398119,0,0.01253918495,0.1253918495,0,0.01880877743,0,0,0.01253918495,0.01567398119,0.01253918495,0,0,0
11,0.4014869888,0.1226765799,0.1115241636,0.1003717472,0,0.04832713755,0.007434944238,0,0.02602230483,0.003717472119,0,0.01115241636,0,0,0.01115241636,0.01115241636,0,0,0,0
12,0.3171641791,0.2388059701,0.1828358209,0.09328358209,0,0.01119402985,0.01119402985,0,0,0.0671641791,0,0,0,0.01865671642,0.01119402985,0.01119402985,0,0,0,0
13,0.2874015748,0.08661417323,0.157480315,0.125984252,0,0,0.003937007874,0,0.0157480315,0.02362204724,0,0.0157480315,0.1811023622,0.003937007874,0.003937007874,0,0,0,0,0
14,0.3759124088,0.1532846715,0.09489051095,0.1094890511,0,0.01824817518,0.01459854015,0,0.003649635036,0.003649635036,0,0.003649635036,0.1897810219,0.003649635036,0.007299270073,0.01459854015,0,0,0,0
15,0.2909090909,0.1236363636,0.1927272727,0.1381818182,0,0.04727272727,0.02909090909,0,0.02181818182,0.007272727273,0,0.01454545455,0,0,0.003636363636,0.007272727273,0,0,0,0
16,0.3140794224,0.1407942238,0.09025270758,0.06137184116,0,0.03249097473,0.03971119134,0,0.02888086643,0.05415162455,0.03971119134,0.01805054152,0,0.01083032491,0.02888086643,0.01805054152,0.03610108303,0,0,0
17,0.33632287,0.09865470852,0.130044843,0.07623318386,0,0.004484304933,0,0,0.004484304933,0.008968609865,0.0134529148,0.01793721973,0,0,0.01793721973,0.03587443946,0.0134529148,0,0,0
18,0.3406593407,0.1648351648,0.1510989011,0.1565934066,0,0.01373626374,0.005494505495,0,0.008241758242,0.03571428571,0,0.008241758242,0,0.01923076923,0.002747252747,0.01098901099,0.002747252747,0,0,0
19,0.3471698113,0.1433962264,0.1886792453,0.1018867925,0,0.01886792453,0.03018867925,0,0.03396226415,0.02641509434,0,0,0,0.01132075472,0.01886792453,0.01132075472,0,0,0,0
20,0.3869731801,0.09578544061,0.1034482759,0.1072796935,0,0.007662835249,0.02681992337,0,0.01915708812,0.04980842912,0.01149425287,0.003831417625,0,0.003831417625,0.03831417625,0.007662835249,0,0,0,0
21,0.2714285714,0.04285714286,0.07857142857,0.08928571429,0,0.01785714286,0.01428571429,0,0,0.007142857143,0.09642857143,0.03214285714,0.1964285714,0,0.03214285714,0.003571428571,0.01785714286,0,0,0
22,0.2227722772,0.09405940594,0.07920792079,0.1138613861,0,0.0198019802,0.02475247525,0,0.009900990099,0.0198019802,0,0.01485148515,0.07920792079,0,0.06435643564,0,0.009900990099,0,0.05940594059,0
23,0.2512077295,0.2367149758,0.1690821256,0.09178743961,0,0.0193236715,0.0193236715,0,0.01449275362,0.03381642512,0,0.0193236715,0,0.0193236715,0.02415458937,0.02415458937,0,0,0,0
24,0.2883895131,0.0861423221,0.06367041199,0.07865168539,0,0.01498127341,0.01872659176,0,0.003745318352,0.03745318352,0.003745318352,0,0,0.04868913858,0.02247191011,0.02247191011,0.007490636704,0,0,0
25,0.3438735178,0.1699604743,0.08695652174,0.1027667984,0,0.04743083004,0.05533596838,0,0.02766798419,0.01185770751,0,0.00790513834,0.01976284585,0.03162055336,0.01581027668,0.01185770751,0.00395256917,0,0,0
26,0.2333333333,0.3333333333,0.09523809524,0.07142857143,0,0.02857142857,0.02857142857,0,0.02857142857,0.03333333333,0,0.01428571429,0,0.02380952381,0.02380952381,0.02857142857,0,0,0,0
27,0.3424124514,0.1284046693,0.1089494163,0.09338521401,0,0.046692607,0.01167315175,0,0.03501945525,0.01556420233,0,0.046692607,0,0.08560311284,0.007782101167,0.01556420233,0,0,0,0
28,0.2575342466,0.08493150685,0.1397260274,0.1150684932,0,0.01369863014,0.04383561644,0,0.01095890411,0.002739726027,0.02191780822,0.01917808219,0.1095890411,0.01095890411,0.002739726027,0.002739726027,0.002739726027,0,0,0
29,0.3469387755,0.1224489796,0.07482993197,0.04081632653,0.03401360544,0.02721088435,0.006802721088,0,0.1088435374,0.006802721088,0,0.02040816327,0.04761904762,0.0612244898,0.006802721088,0.006802721088,0,0,0,0
