Characters,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Season8,Season9
Total lines,1483,5912,6317,5315,7747,7609,7272,6878,7292
Michael,0.3256911665542819,0.3119079837618403,0.2681652683235713,0.2854186265286924,0.26629663095391765,0.2607438559600473,0.1916941694169417,0.0,0.00027427317608337906
Dwight,0.1368846931894808,0.13903924221921515,0.1275922114927972,0.1019755409219191,0.13372918549115786,0.10605861479826521,0.09667216721672167,0.134195987205583,0.15496434448710916
Jim,0.153068105192178,0.1266914749661705,0.1074877315181257,0.11514581373471308,0.10868723376791016,0.1219608358522802,0.09433443344334433,0.12009305030532132,0.10970927043335162
Pam,0.11193526635198921,0.10419485791610285,0.09403197720436916,0.09219190968955786,0.08997031108816315,0.09278486003417007,0.0842959295929593,0.06833381797034022,0.10065825562260011
Andy,0.0,0.0,0.04764920056989077,0.03725305738476011,0.062217632631986576,0.07057431988434748,0.07618261826182618,0.1574585635359116,0.08488754799780582
Angela,0.015509103169251517,0.02266576454668471,0.03134399240145639,0.036500470366886174,0.027107267329288757,0.017742147456958863,0.021864686468646866,0.023698749636522246,0.05197476686780033
Kevin,0.016183412002697236,0.02097428958051421,0.025486781700174134,0.02634054562558796,0.020524073835032915,0.029570245761598106,0.033003300330033,0.035184646699621985,0.03634119583104772
Erin,0.0,0.0,0.0,0.0,0.006841357945010972,0.039164147719805496,0.041804180418041806,0.05859261413201512,0.05142622051563357
Oscar,0.028320971004720162,0.015561569688768605,0.009498179515592845,0.015804327375352777,0.025945527300890666,0.022867656722302537,0.02709020902090209,0.03373073567897645,0.04031815688425672
Ryan,0.024949426837491573,0.02774018944519621,0.022479024853569732,0.05211665098777046,0.020265909384277785,0.016033644368510975,0.02378987898789879,0.027188136086071533,0.0021941854086670325
Darryl,0.010114632501685773,0.010656292286874154,0.011872724394491056,0.010912511759172154,0.009423002452562283,0.011039558417663294,0.031215621562156216,0.045216632742076185,0.03414701042238069
Phyllis,0.007417397167902899,0.015054127198917456,0.015513693208801646,0.01730950141110066,0.021814896088808572,0.017873570771454857,0.01993949394939494,0.017592323349810993,0.01714207350521119
Jan,0.02562373567093729,0.03958051420838971,0.03910083900585721,0.038005644402634056,0.005550535691235317,0.0,0.0023377337733773377,0.0,0.004388370817334065
Toby,0.008766014834794335,0.017422192151556156,0.016305208168434383,0.024270931326434618,0.008519426874919323,0.013142331449599158,0.013201320132013201,0.015411456818842687,0.017004936917169502
Kelly,0.0013486176668914363,0.015899864682002707,0.019312965015038784,0.01730950141110066,0.01923325158125726,0.015639374425023,0.020764576457645765,0.017446932247746436,0.0019199122325836533
Stanley,0.016183412002697236,0.013024357239512856,0.010131391483299034,0.014299153339604891,0.013682715890021945,0.009462478643711395,0.009900990099009901,0.012212852573422507,0.013576522216127263
Meredith,0.008766014834794335,0.0052435723951285524,0.0049073927497229695,0.008842897460018815,0.013037304763134116,0.01077671178867131,0.009625962596259627,0.0119220703692934,0.016044980800877674
Holly,0.0,0.0,0.0,0.012793979303857008,0.028656254033819543,0.0,0.03644114411441144,0.0,0.0
David,0.0,0.0020297699594046007,0.00854836156403356,0.0005644402634054562,0.01639344262295082,0.01485083453804705,0.0016501650165016502,0.003780168653678395,0.003428414701042238
Nellie,0.0,0.0,0.0,0.0,0.0,0.0,0.0012376237623762376,0.033294562372782784,0.03730115194733955
Creed,0.0,0.008457374830852503,0.00854836156403356,0.012605832549388523,0.006583193494255841,0.004994085950847681,0.008938393839383938,0.00479790636813027,0.007131102578167855
Gabe,0.0,0.0,0.0,0.0,0.0,0.011302405046655277,0.029015401540154015,0.01715615004361733,0.0027427317608337905
Robert,0.0,0.0,0.0,0.0,0.0,0.0,0.0023377337733773377,0.0577202675196278,0.0012342292923752057
