character_ID,character,season,sentiment
1,Michael,1,-0.00935393
1,Michael,2,-0.07159895
1,Michael,3,-0.05620675
1,Michael,4,-0.06893245
1,Michael,5,-0.05341745
1,Michael,6,-0.10482115
1,Michael,7,-0.0926035
1,Michael,9,0
2,Dwight,1,-0.127782
2,Dwight,2,-0.0779486
2,Dwight,3,-0.125038
2,Dwight,4,-0.149926
2,Dwight,5,-0.18912
2,Dwight,6,-0.172306
2,Dwight,7,-0.102059
2,Dwight,8,-0.16077
2,Dwight,9,-0.109464
3,Jim,1,-0.0114493
3,Jim,2,0.0287872
3,Jim,3,-0.0429595
3,Jim,4,-0.0713513
3,Jim,5,-0.0882208
3,Jim,6,-0.0370793
3,Jim,7,-0.0721086
3,Jim,8,-0.0988087
3,Jim,9,-0.0587108
4,Pam,1,-0.235845
4,Pam,2,-0.13035
4,Pam,3,-0.0730858
4,Pam,4,-0.031714
4,Pam,5,-0.0709442
4,Pam,6,-0.144688
4,Pam,7,-0.0932614
4,Pam,8,0.00419192
4,Pam,9,-0.0663093
5,Andy,3,0.0302702
5,Andy,4,0.0753643
5,Andy,5,-0.0801052
5,Andy,6,-0.0729314
5,Andy,7,-0.0755147
5,Andy,8,0.00159412
5,Andy,9,-0.0763053
6,Angela,1,-0.238218
6,Angela,2,-0.167963
6,Angela,3,-0.205267
6,Angela,4,-0.366816
6,Angela,5,-0.208584
6,Angela,6,-0.191829
6,Angela,7,-0.1638
6,Angela,8,-0.10252
6,Angela,9,-0.163103
7,Erin,5,0.037503
7,Erin,6,-0.0636845
7,Erin,7,-0.0475003
7,Erin,8,-0.103882
7,Erin,9,-0.124351
8,Toby,1,0.166426
8,Toby,2,-0.247076
8,Toby,3,-0.0230543
8,Toby,4,-0.0239126
8,Toby,5,-0.148314
8,Toby,6,-0.160039
8,Toby,7,-0.262832
8,Toby,8,-0.214262
8,Toby,9,-0.202652
