0|0|0
Season2-Episode02SexualHarassment.csv|[' I wish Todd Packer was here because he would love this. I wonder if anybody else would like to do this. Hey! Um... we have to watch, uh, Tobys video that hes showing us in order to brainwash us and I was wondering if anybody would like to join in? Going to be fun. Got my great pizza. Whataya say? Jim?', ' No, thanks. Im good.', ' Thats what she said. Pam?', ' Uh... my mothers coming.']|Michael
Season2-Episode010ChristmasParty.csv|[' Did it work?', '  Well, sort of. Why did you get it so big?', ' A, thats what she said, and B, I wanted it to be impressive. The biggest day of the year deserves the biggest tree of the year.', ' But what are we going to do with this hacked off part?']|Michael
Season2-Episode012TheInjury.csv|[' Ok, what kinda machine is that?', ' Does the skin look red and swollen?', ' Thats what she said.', ' Thats my joke, damnit Dwight.']|Dwight
Season2-Episode017Dwight'sSpeech.csv|[' Ok, cool.', ' I have a ton of stuff to do for the wedding. And I have to do it in the office. And that can be kind of awkward. Um... just because people can get all weird about wedding stuff. Then... I just... I dont want to offend... Angela... or someone.', ' Thats what she said!', ' Ha! I dont get it.']|Michael
Season2-Episode021ConflictResolution.csv|[' How many of you have at one time gone to Toby to complain about another employee?  And... did you get what you wanted, or were you merely listened to, you forget about your problem, and you move on?  That is outrageous! I love this place... and it pains me to see all of the negativity festering...  Okay, today we are going to get everything out of these files and into the open, where it can be resolved. Alright, how about the Phyllis/Angela dispute?', ' You already did me.', ' Thats what she said.  The thing is, Angela... you are in here an awful lot. You have complained about everybody in the office, except Dwight, which is odd because everyone else has had run ins with Dwight. Toby, by the way, what does "redacted" mean? There is a file full of complaints in here marked "redacted"... ?', ' Yeah, it just means whoever complained came to me later and withdrew it, so I took their name off.']|Michael
Season3-Episode01GayWitchHunt.csv|['    Oh come on!  Dwight!  Come on, man!', '  We are not in the playground anymore.  There are new rules.  We have to be mature.  But we cant lose the spirit of child like wonder.  What is love...  anyway?  Maybe its supposed to break all the rules.  Like me and Jan.  Or Oscar... and some guy.  Life is short.  When two people find each other, what should stand in their way?', '  I am glad that today spurred social change.  Thats part of my job as regional manager.  But you know what?  Even if it didnt, at least we put this matter to bed.  ...thats what she said.  Or he said.', '  Oh, theres Gill.  Oscars roommate.  I wonder if he knows?']|Michael
Season3-Episode02TheConvention.csv|[' I, uh... I am going to be a father.', ' What was Oprah about?', ' Angelina Jolie was on. And she adopted a baby from Asia, and she said that it changed her life. And that really inspired me. So, I want you to look into seeing how much a little Chinese baby would cost.', ' Thats a really big decision.']|Michael
Season3-Episode02TheConvention.csv|[' Michael, its not about... I transferred because of Pam.', ' Oh my God. You dont even know. Shes single now.', ' No, I just... I heard something about that. Its just, I kind of put it all on the line. Twice, actually. And she said no. Twice.', ' Im sorry, man. Im sorry. Hey, you know what? I will talk to her.']|Jim
Season3-Episode03TheCoup.csv|['  Yeah. You know what the craziest part of this is? She demoted me to your job!', ' Gahh!', ' And she said that you should be expecting a call later from corporate, and that um, I guess that means that you are going to be acting manager of Dunder Mifflin, Scranton.', ' I cant believe this news.  That--- wow.']|Michael
Season3-Episode010ABenihanaChristmas.csv|[' Nah, you rock. Tell you what, if you want it, its yours.', ' Thanks! I, I wanna give you something.', ' Oh.  Thats what she said.', ' Hello? I would like everybody to meet my new girlfriend.']|Michael
Season3-Episode011BackFromVacation.csv|[' Jan called. Shes coming in later to talk to you.', ' Did she say what its about?', ' Thats all she said.', ' Ole ole - ole ole... Ole ole - ole ole. People in the party - hot hot hot']|Pam
Season3-Episode012TravelingSalesmen.csv|[' Michael, I cannot tell you what I was doing there. But you have to trust me, I would never do anything to hurt you or this company.', ' Ok, you know what? I want you to think about your future in this company. I want you to think about it long and hard.', ' Thats what she said.', ' Dont. Dont you dare. I want to know what you were doing this morning by the end of the day.']|Dwight
Season3-Episode017Cocktails.csv|[' I am on my way. I should be there in about 15...', ' Lets just blow this party off.', ' Thats what she said.', ' Am I on speaker phone?']|Michael
Season3-Episode017Cocktails.csv|[' Whats this over the "i"?', ' Its a heart.', ' Why is this so hard? Thats what she said. Oh my God. What am I saying?', ' I love this woman!']|Jan
Season3-Episode020ProductRecall.csv|['  William Dolittle at your service.  A.K.A., Will Do.', ' Yeah, Im definitely gonna go alone.', ' No, no.  I need two men on this.  Thats what she said.  No time!  But she did.  NO TIME!  Guys, get on this.  Dwight, I want you to be in charge of the press conference.', ' Yes!  You are entering the "No Spin Zone!"']|Michael
Season4-Episode02DunderMifflinInfinity.csv|[' Its not a surprise to me. Pam is the office mattress.', ' Jim Halperts off the market. Guess who just became the best looking single guy in the office?', ' Hey. Can you make that straighter? Thats what she said.', ' Did you plan it?']|Michael
Season4-Episode02DunderMifflinInfinity.csv|[' Its not a surprise to me. Pam is the office mattress.', ' Jim Halperts off the market. Guess who just became the best looking single guy in the office?', ' Hey. Can you make that straighter? Thats what she said.', ' Did you plan it?']|Michael
Season4-Episode04Money.csv|[' Ahh, still lame. Okay. All right. Thank you, Ryan, for that wonderful introduction. Okay, um, today were gonna be talking... about...PowerPoint! PowerPoint! PowerPoint! PowerPoint!', ' Yes I forgot about Ryans presentation. And yes, it would have been nice to do well with the first presentation he had given me. But you know what else would have been nice? Winning the lottery.', ' And the best way to start is to hit start. And up comes the toolbar, thats what she said. What we have to do here is go to Run, and then you look up to PowerPoint. And we are in. We are going to register. You hit register--- Updates are ready. I should update. Um, estimated time 12 minutes, so this should take 5 or 10 minutes.', ' Is this the first time you ever opened PowerPoint?']|Michael
Season4-Episode05LocalAd.csv|['  Break me off a piece of that Grey Poupon.', ' Andy, Andy, this is a pivotal scene in the ad. And if we dont get this, if we dont nail it, were going to lose the whole triumph of the moment. The triumph of the will. Now, God, what? What Phyllis?', '  Well, I got in line to buy Sue Graftons book and when it came to my turn I asked if she wanted to be in the ad and she said no thank you, but I wasnt supposed to take no for an answer.', ' Thata girl.']|Phyllis
Season4-Episode07SurvivorMan.csv|[' Uh huh. Yeah, just wait. Ten years, youll figure it out.', ' Well, I dont think Ill be here in ten years.', ' Thats what I said. Thats what she said.', ' Thats what who said?']|Michael
Season4-Episode07SurvivorMan.csv|[' Thats what who said?', ' I never know. I just say it. I say stuff like that, you know, to lighten the tension. When things sort of get hard.', ' Thats what she said.', ' Hey! Nice. Really good. Bravo, my young ward.']|Jim
Season4-Episode08TheDeposition.csv|[' Six years and two months.', ' And you were directly under her the entire time?', ' Thats what she said.', ' Excuse me?']|Michael
Season4-Episode08TheDeposition.csv|[' Thats what she said.', ' Excuse me?', ' Thats what she said.', ' Ms. Levinson told you she was your direct superior?']|Michael
Season4-Episode08TheDeposition.csv|[' No wait, I dont understand. Whos on record on saying this?', ' With all due respect, Im in the middle of a line of questioning. Now Mr. Scott, what did you say Ms. Levinson said? Regarding your employment status with respect to her corporate position.', ' Come again? Thats what she said? I dont know what youre talking about.', ' Okay, if I may, he was just telling a joke before, so can we move on to another question?']|Michael
Season4-Episode08TheDeposition.csv|[' Uh, yes.', ' Can you go back to where this digression began?', '  Mr. Schneider And you were directly under her the entire time? Mr. Scott Thats what she said.', ' Well, delivery is all wrong. Shes butchering it.']|Deposition Reporter
Season4-Episode012DidIStutter?.csv|[' Thats also not true.', ' And... go.  Force it in as deep as you can.', '  Thats what she said.', ' Today is a very special day for me. And its really not about me, its about my grandkids, its about my great grandkids... I can come back here when Im 100, and I can find that piece of cement and say, "Thats me. Look kids, your daddy left that face hole..." I dunno, its a good feeling.']|Michael
Season5-Episode04CrimeAid.csv|[' Okay, this is the moment that you have all been waiting for. Our first item up for bids tonight is something that I consider to be very boss indeed.  It is a Yoga lesson from Holly Flax! Yoga! And I would like to start the bidding off at 300 dollars.  300 dollars do I hear 300 dollars? 300 dollars. Hey, batter batter batter, hey batter, swing batter, 300 dollars, 300 dollars, 300 dollars. Anybody, 300 dollars. 400 dollars. Who wants for 400- Do I see somebody in the back? Is there somebody in the back? Do I see somebody in the back? 400-450  Sold! For 300 dollars to me!  What the hell is that?', ' Its the only gavel I could find.', ' It squeaks when you bang it, thats what she said. Lets hear it for me! Right? A bargain at any price!', ' Hey Mike, do my thing.']|Michael
Season5-Episode05EmployeeTransfer.csv|[' Ive dated almost four women, and you are so far above them, it is stupid.', ' Michael. Dont. Dont. Dont make it harder than it has to be.', ' Thats what she said.', ' Holly thinks that this relationship is over. Well, you know what? I am not gonna give up that easy. Im gonna make this way harder than it needs to be.']|Michael
Season5-Episode06CustomerSurvey.csv|[' The reason that I got bad customer reviews is because I didnt! There is a massive conspiracy going on here, and I know youre involved.', ' Dwight, get out of my nook!', '  Thats what she said! Thats what she said! Thats what she said!', ' Good one.']|Pam
Season5-Episode016BloodDrive.csv|[' What?', ' He made non-refundable deposits on his honeymoons, so hes just knocking them off one at a time.  I think today hes hot air ballooning and later hes got a couples massage.', ' My worst breakup was with Stacy.  It was a Sunday morning, we were reading the paper, and I said "Oh my God, I think the Eagles could clinch the NFC East!" and she said that were done.', ' You know what guys? I dont think we need to do this.']|Kevin
Season5-Episode017GoldenTicket.csv|[' I just want to say that this golden ticket idea is one of the most brilliant signs of initiative I have ever seen at this company and how about a big round of applause for Mr. Dwight Schrute?', ' Alright Dwight. This is huge.', ' Thats what she said!', ' Hey, Dwight, great idea. Dwight, Dwight, great idea. Howd you come up with that idea?']|Dwight
Season6-Episode018NewLeads.csv|[' You dont get it.', ' You need to get back on top.', ' Thats what she said.', ' Yeah.']|Michael
Season7-Episode08ViewingParty.csv|[' You know what Erin you do have to.', ' Michael! You are making this harder than it has to be.', '  Thats what she said.', '  Hey.']|Michael
Season7-Episode013TheSeminar.csv|[' You cant do that these days. You cant.', ' No, no, no. And people dont understand that is has nothing to do with making fun of a different nationality.', ' No, no. No, comedy is a place where the mind goes to tickle itself. Thats what she said. .  Ohh.', ' Thats good. Pleasure to meet you.']|David
Season7-Episode015PDA.csv|[' We werent in love last time.', ' I was in love with you.', ' Im not saying it wont be hard. But we can make it work. Thats what she said.', '']|Holly
Season7-Episode021GoodbyeMichael.csv|[' Later guys.', ' Got almost everybody. So... Hollys my family now.  Shes my family. The babies that I make with her, will be my children. The people that you work with, are just... when you get down to it... your very best friends. They say, on your deathbed, you never wish you spent more time at the office. But I will. Gotta be a lot better than a deathbed.  I actually dont understand deathbeds. I mean, who would buy that?', '  Well, I guess this is it. Hey will you guys let me know if this ever airs? Thank you. Alright... Oh!  This is gonna feel so good, getting this thing off my chest.  Thats what she said!', '  No he wasnt sad. He was full of hope. About Colorado, and he was hoping to get an upgrade as an awards member. And he said he was just real excited to get home and see Holly.']|Michael
Season7-Episode022TheInnerCircle.csv|[' Is this true, Ryan?', ' I did not see Rango.', ' Okay, I dont have time for this he said-she said.', ' Hes not saying anything!']|Deangelo
