SeasonEpisode	Line1	Line2	Line3	Line4	Line5	Line6
S2E2	120No, thanks. I'm good.	211That's what she said.	310Pam?	430Uh... my mother's coming.	511That's what she sa—nope.	610But... Okay. Well, suit yourself.
S2E2	110You can consider this my retirement from comedy. And in the future, if I want to say something funny or witty or do an impression, I will no longer, ever, do any of those things.	221Does that include That's What She Said?	310Mmmhmm. Yes.	420Wow! That is really hard. You really think you can go all day long? Well, you always left me satisfied and smiling, so... 	511THAT'S WHAT SHE SAID!	0
S2E10	150Why did you get it so big?	211A, that's what she said.	310And B, I wanted it to be impressive.	0	0	0
S2E12	160Does the skin look red and swollen?	241That's what she said.	310That's my joke. Damnit, Dwight.	0	0	0
S2E12	170[Jim popping Michael's bubble wrap cast] You should put butter on it.	211Uh, that's what she said. 	310See, haven't lost my sense of humor. No—no need, it was a non-stick grill.	0	0	0
S2E17	110[To Dwight, who's eating grapes]	211That's what she said!	340Ha! I don't get it.	0	0	0
S2E21	110How about the Phyllis/Angela dispute?	280You already did me.	311That's what she said.	0	0	0
S3E1	110Even if it didn't, at least we put this matter to bed.  	211...That's what she said.	0	0	0	0
S3E5	110I mean, they're just dough twisted up with some candy. They taste so good in my mouth.	291That's what she said.	0	0	0	0
S3E10	1&0I wanna give you something.	211Oh. That's what she said.	0	0	0	0
S3E12	110I want you to think about your future in this company. I want you to think about it long and hard.	241That's what she said.	310Don't. Don't you dare.	0	0	0
S3E17	1!0Let's just blow this party off.	211That's what she said.	0	0	0	0
S3E17	1!0Why is this so hard?	2!1That's what she said.	3!0Oh my God. What am I saying?	0	0	0
S3E21	110I need two men on this.	211That's what she said.	310No time! But she did. NO TIME! Guys, get on this.	0	0	0
S3E22	110No mustard! No mustard! Just... eat it. Eat it, Phyllis. Dip it in the water so it will slide down your gullet more easily.	2?1That's what she said!	0	0	0	0
S4E2	110Hey. Can you make that straighter?	211That's what she said.	330Did you plan it?	410No.	530[Finds note] Can you make that straighter? That job looks hard. You should put your mouth on that. How can you even use that one naturally?	610Blowing up balloons I thought.
S4E4	110And the best way to start is to hit start. And up comes the toolbar—	211that's what she said.	0	0	0	0
S4E7	120Well, I dont think I'll be here in ten years.	210That's what I said.	311That's what she said.	420That's what who said?	510I never know. I just say it. I say stuff like that, you know, to lighten the tension. When things sort of get hard.	621That's what she said.
S4E8	1+0And you were directly under her the entire time?	211That's what she said.	3+0Excuse me?	411That's what she said.	0	0
S4E8	110Come again?	211That's what she said?	310I don't know what you're talking about.	0	0	0
S4E8	1+0Mr. Schneider: And you were directly under her the entire time?	2+1Mr. Scott: That's what she said.	310Well, delivery is all wrong. She's butchering it.	0	0	0
S4E9	1!0AND YOU'RE HARDLY MY FIRST!	211THAT'S WHAT SHE SAID!	0	0	0	0
S4E12	140And... go. Force it in as deep as you can.	211That's what she said.	0	0	0	0
S5E1	120Yeah, well, if you're only free till three on Sunday and I can't get there till one, then it's gonna be pretty tight.	211[from Micahel's office] That's what she said.	0	0	0	0
S5E4	110It squeaks when you bang it. 	211That's what she said.	0	0	0	0
S5E5	1@0Don't make it harder than it has to be.	211That's what she said.	0	0	0	0
S5E6	1$0Dwight, get out of my nook!	231That's what she said! That's what she said! That's what she said!	320Good one.	0	0	0
S5E17	1%0Alright, Dwight! This is huge.	241That's what she said!	0	0	0	0
S6E18	1*0You need to get back on top.	211That's what she said.	0	0	0	0
S7E8	1~0Michael! You are making this harder than it has to be.	211That's what she said.	0	0	0	0
S7E13	1^0No, comedy is a place where the mind goes to tickle itself.	2^1That's what she said.	0	0	0	0
S7E15	1@0I'm not saying it won't be hard. But we can make it work.	2@1That's what she said.	0	0	0	0
S7E21	110This is gonna feel so good, getting this thing off my chest.	211That's what she said!	0	0	0	0
S9E5	1|0Wait! Wait. Hold on. Where's the band? 'Cause there's just no way you guys are making this magic with just your mouths.	2>1Yeah. That's what she said.	0	0	0	0
S9E23	140Michael. I cant believe you came.	211That's what she said.	0	0	0	0
